CP, 01, 1957082700,   , MTWC,   0, 109N, 1294W,  15,    0, DB
CP, 01, 1957082706,   , MTWC,   0, 112N, 1304W,  15,    0, DB
CP, 01, 1957082712,   , MTWC,   0, 115N, 1315W,  15,    0, DB
CP, 01, 1957082718,   , MTWC,   0, 118N, 1325W,  20,    0, DB
CP, 01, 1957082800,   , MTWC,   0, 121N, 1338W,  20,    0, DB
CP, 01, 1957082806,   , MTWC,   0, 124N, 1352W,  20,    0, DB
CP, 01, 1957082812,   , MTWC,   0, 125N, 1365W,  25,    0, TD
CP, 01, 1957082818,   , MTWC,   0, 124N, 1380W,  25,    0, TD
CP, 01, 1957082900,   , MTWC,   0, 123N, 1394W,  30,    0, TD
CP, 01, 1957082906,   , MTWC,   0, 121N, 1408W,  30,    0, TD
CP, 01, 1957082912,   , MTWC,   0, 118N, 1422W,  35,    0, TS
CP, 01, 1957082918,   , MTWC,   0, 116N, 1435W,  35,    0, TS
CP, 01, 1957083000,   , MTWC,   0, 117N, 1448W,  40,    0, TS
CP, 01, 1957083006,   , MTWC,   0, 119N, 1461W,  45,    0, TS
CP, 01, 1957083012,   , MTWC,   0, 125N, 1469W,  50,    0, TS
CP, 01, 1957083018,   , MTWC,   0, 133N, 1475W,  45,    0, TS
CP, 01, 1957083100,   , MTWC,   0, 142N, 1476W,  50,    0, TS
CP, 01, 1957083106,   , MTWC,   0, 149N, 1478W,  55,    0, TS
CP, 01, 1957083112,   , MTWC,   0, 151N, 1480W,  65,    0, TY
CP, 01, 1957083118,   , MTWC,   0, 150N, 1485W,  75,    0, TY
CP, 01, 1957090100,   , MTWC,   0, 151N, 1496W,  90,    0, TY
CP, 01, 1957090106,   , MTWC,   0, 151N, 1505W,  95,    0, TY
CP, 01, 1957090112,   , MTWC,   0, 152N, 1516W, 105,    0, TY
CP, 01, 1957090118,   , MTWC,   0, 153N, 1526W, 115,    0, TY
CP, 01, 1957090200,   , MTWC,   0, 155N, 1537W, 105,    0, TY
CP, 01, 1957090206,   , MTWC,   0, 161N, 1552W,  95,    0, TY
CP, 01, 1957090212,   , MTWC,   0, 168N, 1563W,  85,    0, TY
CP, 01, 1957090218,   , MTWC,   0, 175N, 1573W,  85,    0, TY
CP, 01, 1957090300,   , MTWC,   0, 181N, 1580W,  95,    0, TY
CP, 01, 1957090306,   , MTWC,   0, 190N, 1591W, 105,    0, TY
CP, 01, 1957090312,   , MTWC,   0, 199N, 1602W, 100,    0, TY
CP, 01, 1957090318,   , MTWC,   0, 208N, 1614W,  90,    0, TY
CP, 01, 1957090400,   , MTWC,   0, 215N, 1626W,  85,    0, TY
CP, 01, 1957090406,   , MTWC,   0, 220N, 1641W,  90,    0, TY
CP, 01, 1957090412,   , MTWC,   0, 230N, 1654W,  95,    0, TY
CP, 01, 1957090418,   , MTWC,   0, 238N, 1667W,  85,    0, TY
CP, 01, 1957090500,   , MTWC,   0, 244N, 1679W,  75,    0, TY
CP, 01, 1957090506,   , MTWC,   0, 247N, 1687W,  80,    0, TY
CP, 01, 1957090512,   , MTWC,   0, 249N, 1696W,  90,    0, TY
CP, 01, 1957090518,   , MTWC,   0, 250N, 1705W,  85,    0, TY
CP, 01, 1957090600,   , MTWC,   0, 251N, 1715W,  85,    0, TY
CP, 01, 1957090606,   , MTWC,   0, 252N, 1722W,  90,    0, TY
CP, 01, 1957090612,   , MTWC,   0, 254N, 1728W, 100,    0, TY
CP, 01, 1957090618,   , MTWC,   0, 255N, 1734W,  90,    0, TY
CP, 01, 1957090700,   , MTWC,   0, 255N, 1740W,  80,    0, TY
CP, 01, 1957090706,   , MTWC,   0, 253N, 1746W,  75,    0, TY
CP, 01, 1957090712,   , MTWC,   0, 250N, 1750W,  70,    0, TY
CP, 01, 1957090718,   , MTWC,   0, 246N, 1753W,  65,    0, TY
CP, 01, 1957090800,   , MTWC,   0, 240N, 1757W,  65,    0, TY
CP, 01, 1957090806,   , MTWC,   0, 231N, 1761W,  65,    0, TY
CP, 01, 1957090812,   , MTWC,   0, 224N, 1766W,  70,    0, TY
CP, 01, 1957090818,   , MTWC,   0, 217N, 1774W,  70,    0, TY
