CP, 03, 1957112500,   , MTWC,   0,  37N, 1756W,  15,    0, DB
CP, 03, 1957112506,   , MTWC,   0,  36N, 1760W,  15,    0, DB
CP, 03, 1957112512,   , MTWC,   0,  35N, 1765W,  15,    0, DB
CP, 03, 1957112518,   , MTWC,   0,  37N, 1768W,  20,    0, DB
CP, 03, 1957112600,   , MTWC,   0,  45N, 1763W,  20,    0, DB
CP, 03, 1957112606,   , MTWC,   0,  52N, 1757W,  20,    0, DB
CP, 03, 1957112612,   , MTWC,   0,  58N, 1750W,  25,    0, TD
CP, 03, 1957112618,   , MTWC,   0,  63N, 1742W,  25,    0, TD
CP, 03, 1957112700,   , MTWC,   0,  68N, 1735W,  30,    0, TD
CP, 03, 1957112706,   , MTWC,   0,  72N, 1726W,  30,    0, TD
CP, 03, 1957112712,   , MTWC,   0,  75N, 1717W,  30,    0, TD
CP, 03, 1957112718,   , MTWC,   0,  77N, 1707W,  35,    0, TS
CP, 03, 1957112800,   , MTWC,   0,  79N, 1695W,  40,    0, TS
CP, 03, 1957112806,   , MTWC,   0,  80N, 1682W,  45,    0, TS
CP, 03, 1957112812,   , MTWC,   0,  82N, 1668W,  50,    0, TS
CP, 03, 1957112818,   , MTWC,   0,  84N, 1655W,  55,    0, TS
CP, 03, 1957112900,   , MTWC,   0,  85N, 1642W,  50,    0, TS
CP, 03, 1957112906,   , MTWC,   0,  87N, 1631W,  55,    0, TS
CP, 03, 1957112912,   , MTWC,   0,  92N, 1624W,  65,    0, TY
CP, 03, 1957112918,   , MTWC,   0, 100N, 1618W,  75,    0, TY
CP, 03, 1957113000,   , MTWC,   0, 112N, 1613W,  85,    0, TY
CP, 03, 1957113006,   , MTWC,   0, 124N, 1609W,  95,    0, TY
CP, 03, 1957113012,   , MTWC,   0, 136N, 1611W, 105,    0, TY
CP, 03, 1957113018,   , MTWC,   0, 143N, 1613W, 120,    0, TY
CP, 03, 1957120100,   , MTWC,   0, 150N, 1618W, 125,    0, TY
CP, 03, 1957120106,   , MTWC,   0, 157N, 1625W, 115,    0, TY
CP, 03, 1957120112,   , MTWC,   0, 164N, 1633W, 105,    0, TY
CP, 03, 1957120118,   , MTWC,   0, 172N, 1641W,  95,    0, TY
CP, 03, 1957120200,   , MTWC,   0, 179N, 1648W,  85,    0, TY
CP, 03, 1957120206,   , MTWC,   0, 185N, 1655W,  90,    0, TY
CP, 03, 1957120212,   , MTWC,   0, 191N, 1662W,  80,    0, TY
CP, 03, 1957120218,   , MTWC,   0, 197N, 1669W,  90,    0, TY
CP, 03, 1957120300,   , MTWC,   0, 202N, 1675W, 105,    0, TY
CP, 03, 1957120306,   , MTWC,   0, 204N, 1681W, 115,    0, TY
CP, 03, 1957120312,   , MTWC,   0, 205N, 1686W, 120,    0, TY
CP, 03, 1957120318,   , MTWC,   0, 207N, 1693W, 105,    0, TY
CP, 03, 1957120400,   , MTWC,   0, 206N, 1700W,  90,    0, TY
CP, 03, 1957120406,   , MTWC,   0, 205N, 1706W,  75,    0, TY
CP, 03, 1957120412,   , MTWC,   0, 202N, 1712W,  65,    0, TY
CP, 03, 1957120418,   , MTWC,   0, 199N, 1719W,  55,    0, TS
CP, 03, 1957120500,   , MTWC,   0, 195N, 1726W,  50,    0, TS
CP, 03, 1957120506,   , MTWC,   0, 189N, 1733W,  45,    0, TS
CP, 03, 1957120512,   , MTWC,   0, 183N, 1741W,  50,    0, TS
CP, 03, 1957120518,   , MTWC,   0, 176N, 1750W,  40,    0, TS
CP, 03, 1957120600,   , MTWC,   0, 170N, 1759W,  35,    0, TS
CP, 03, 1957120606,   , MTWC,   0, 163N, 1769W,  35,    0, TS
CP, 03, 1957120612,   , MTWC,   0, 155N, 1781W,  40,    0, TS
CP, 03, 1957120618,   , MTWC,   0, 147N, 1789W,  40,    0, TS
CP, 03, 1957120700,   , MTWC,   0, 141N, 1796W,  45,    0, TS
CP, 03, 1957120706,   , MTWC,   0, 138N, 1799E,  40,    0, TS
CP, 03, 1957120712,   , MTWC,   0, 136N, 1795E,  40,    0, TS
CP, 03, 1957120718,   , MTWC,   0, 135N, 1796E,  35,    0, TS
CP, 03, 1957120800,   , MTWC,   0, 136N, 1799E,  30,    0, TD
CP, 03, 1957120806,   , MTWC,   0, 140N, 1798W,  25,    0, TD
CP, 03, 1957120812,   , MTWC,   0, 145N, 1800E,  20,    0, DB
CP, 03, 1957120818,   , MTWC,   0, 152N, 1797E,  20,    0, DB
CP, 03, 1957120900,   , MTWC,   0, 159N, 1793E,  20,    0, DB
