WP, 12, 1957090406,   , MTWC,   0, 122N, 1682W,  15,    0, DB
WP, 12, 1957090412,   , MTWC,   0, 125N, 1695W,  15,    0, DB
WP, 12, 1957090418,   , MTWC,   0, 128N, 1707W,  20,    0, DB
WP, 12, 1957090500,   , MTWC,   0, 132N, 1718W,  20,    0, DB
WP, 12, 1957090506,   , MTWC,   0, 138N, 1726W,  25,    0, TD
WP, 12, 1957090512,   , MTWC,   0, 145N, 1731W,  25,    0, TD
WP, 12, 1957090518,   , MTWC,   0, 151N, 1737W,  30,    0, TD
WP, 12, 1957090600,   , MTWC,   0, 156N, 1742W,  30,    0, TD
WP, 12, 1957090606,   , MTWC,   0, 162N, 1750W,  30,    0, TD
WP, 12, 1957090612,   , MTWC,   0, 165N, 1763W,  30,    0, TD
WP, 12, 1957090618,   , MTWC,   0, 167N, 1776W,  35,    0, TS
WP, 12, 1957090700,   , MTWC,   0, 170N, 1789W,  35,    0, TS
WP, 12, 1957090706,   , MTWC,   0, 173N, 1798E,  40,    0, TS
WP, 12, 1957090712,   , MTWC,   0, 178N, 1788E,  40,    0, TS
WP, 12, 1957090718,   , MTWC,   0, 184N, 1782E,  45,    0, TS
WP, 12, 1957090800,   , MTWC,   0, 190N, 1777E,  50,    0, TS
WP, 12, 1957090806,   , MTWC,   0, 196N, 1770E,  55,    0, TS
WP, 12, 1957090812,   , MTWC,   0, 197N, 1763E,  65,    0, TY
WP, 12, 1957090818,   , MTWC,   0, 199N, 1755E,  75,    0, TY
WP, 12, 1957090900,   , MTWC,   0, 198N, 1745E,  90,    0, TY
WP, 12, 1957090906,   , MTWC,   0, 198N, 1731E, 115,    0, TY
WP, 12, 1957090912,   , MTWC,   0, 197N, 1716E, 105,    0, TY
WP, 12, 1957090918,   , MTWC,   0, 194N, 1702E,  95,    0, TY
WP, 12, 1957091000,   , MTWC,   0, 192N, 1687E,  80,    0, TY
WP, 12, 1957091006,   , MTWC,   0, 191N, 1671E,  65,    0, TY
WP, 12, 1957091012,   , MTWC,   0, 188N, 1655E,  55,    0, TS
WP, 12, 1957091018,   , MTWC,   0, 185N, 1640E,  50,    0, TS
WP, 12, 1957091100,   , MTWC,   0, 183N, 1627E,  45,    0, TS
WP, 12, 1957091106,   , MTWC,   0, 181N, 1617E,  50,    0, TS
WP, 12, 1957091112,   , MTWC,   0, 179N, 1608E,  45,    0, TS
WP, 12, 1957091118,   , MTWC,   0, 176N, 1602E,  40,    0, TS
WP, 12, 1957091200,   , MTWC,   0, 172N, 1597E,  35,    0, TS
WP, 12, 1957091206,   , MTWC,   0, 165N, 1591E,  35,    0, TS
WP, 12, 1957091212,   , MTWC,   0, 161N, 1584E,  35,    0, TS
WP, 12, 1957091218,   , MTWC,   0, 157N, 1573E,  40,    0, TS
WP, 12, 1957091300,   , MTWC,   0, 155N, 1562E,  45,    0, TS
WP, 12, 1957091306,   , MTWC,   0, 154N, 1549E,  50,    0, TS
WP, 12, 1957091312,   , MTWC,   0, 155N, 1536E,  55,    0, TS
WP, 12, 1957091318,   , MTWC,   0, 156N, 1523E,  60,    0, TS
WP, 12, 1957091400,   , MTWC,   0, 157N, 1510E,  65,    0, TY
WP, 12, 1957091406,   , MTWC,   0, 159N, 1497E,  75,    0, TY
WP, 12, 1957091412,   , MTWC,   0, 162N, 1485E,  90,    0, TY
WP, 12, 1957091418,   , MTWC,   0, 168N, 1473E, 105,    0, TY
WP, 12, 1957091500,   , MTWC,   0, 173N, 1462E, 120,    0, TY
WP, 12, 1957091506,   , MTWC,   0, 179N, 1450E, 115,    0, TY
WP, 12, 1957091512,   , MTWC,   0, 184N, 1438E, 105,    0, TY
WP, 12, 1957091518,   , MTWC,   0, 189N, 1426E, 100,    0, TY
WP, 12, 1957091600,   , MTWC,   0, 196N, 1415E, 105,    0, TY
WP, 12, 1957091606,   , MTWC,   0, 205N, 1404E, 115,    0, TY
WP, 12, 1957091612,   , MTWC,   0, 216N, 1394E, 120,    0, TY
WP, 12, 1957091618,   , MTWC,   0, 227N, 1386E, 111,    0, TY
WP, 12, 1957091700,   , MTWC,   0, 237N, 1382E, 110,    0, TY
WP, 12, 1957091706,   , MTWC,   0, 248N, 1383E, 115,    0, TY
WP, 12, 1957091712,   , MTWC,   0, 256N, 1391E, 115,    0, TY
WP, 12, 1957091718,   , MTWC,   0, 267N, 1403E, 105,    0, TY
WP, 12, 1957091800,   , MTWC,   0, 281N, 1424E,  90,    0, TY
WP, 12, 1957091806,   , MTWC,   0, 296N, 1449E,  80,    0, TY
WP, 12, 1957091812,   , MTWC,   0, 315N, 1488E,  80,    0, TY
WP, 12, 1957091818,   , MTWC,   0, 338N, 1527E,  85,    0, TY
WP, 12, 1957091900,   , MTWC,   0, 365N, 1563E,  80,    0, TY
WP, 12, 1957091906,   , MTWC,   0, 383N, 1595E,  65,    0, TY
WP, 12, 1957091912,   , MTWC,   0, 408N, 1619E,  50,    0, TS
WP, 12, 1957091918,   , MTWC,   0, 419N, 1646E,  55,    0, EX
WP, 12, 1957092000,   , MTWC,   0, 422N, 1682E,  55,    0, EX
