WP, 20, 1957110200,   , MTWC,   0,  51N, 1643W,  15,    0, DB
WP, 20, 1957110206,   , MTWC,   0,  54N, 1655W,  15,    0, DB
WP, 20, 1957110212,   , MTWC,   0,  55N, 1667W,  20,    0, DB
WP, 20, 1957110218,   , MTWC,   0,  55N, 1680W,  20,    0, DB
WP, 20, 1957110300,   , MTWC,   0,  56N, 1695W,  20,    0, DB
WP, 20, 1957110306,   , MTWC,   0,  58N, 1710W,  25,    0, TD
WP, 20, 1957110312,   , MTWC,   0,  61N, 1725W,  30,    0, TD
WP, 20, 1957110318,   , MTWC,   0,  64N, 1740W,  30,    0, TD
WP, 20, 1957110400,   , MTWC,   0,  65N, 1754W,  35,    0, TS
WP, 20, 1957110406,   , MTWC,   0,  67N, 1767W,  40,    0, TS
WP, 20, 1957110412,   , MTWC,   0,  69N, 1781W,  50,    0, TS
WP, 20, 1957110418,   , MTWC,   0,  70N, 1795W,  45,    0, TS
WP, 20, 1957110500,   , MTWC,   0,  70N, 1791E,  50,    0, TS
WP, 20, 1957110506,   , MTWC,   0,  69N, 1777E,  40,    0, TS
WP, 20, 1957110512,   , MTWC,   0,  67N, 1764E,  35,    0, TS
WP, 20, 1957110518,   , MTWC,   0,  65N, 1750E,  35,    0, TS
WP, 20, 1957110600,   , MTWC,   0,  62N, 1739E,  40,    0, TS
WP, 20, 1957110606,   , MTWC,   0,  59N, 1732E,  45,    0, TS
WP, 20, 1957110612,   , MTWC,   0,  57N, 1725E,  50,    0, TS
WP, 20, 1957110618,   , MTWC,   0,  55N, 1718E,  55,    0, TS
WP, 20, 1957110700,   , MTWC,   0,  57N, 1713E,  65,    0, TY
WP, 20, 1957110706,   , MTWC,   0,  59N, 1706E,  75,    0, TY
WP, 20, 1957110712,   , MTWC,   0,  61N, 1700E,  90,    0, TY
WP, 20, 1957110718,   , MTWC,   0,  63N, 1692E,  95,    0, TY
WP, 20, 1957110800,   , MTWC,   0,  67N, 1683E,  85,    0, TY
WP, 20, 1957110806,   , MTWC,   0,  70N, 1674E,  70,    0, TY
WP, 20, 1957110812,   , MTWC,   0,  72N, 1665E,  55,    0, TS
WP, 20, 1957110818,   , MTWC,   0,  73N, 1656E,  45,    0, TS
WP, 20, 1957110900,   , MTWC,   0,  75N, 1648E,  40,    0, TS
WP, 20, 1957110906,   , MTWC,   0,  76N, 1641E,  35,    0, TS
WP, 20, 1957110912,   , MTWC,   0,  77N, 1635E,  35,    0, TS
WP, 20, 1957110918,   , MTWC,   0,  78N, 1630E,  35,    0, TS
