WP, 12, 1981072718,   , MTWC,   0, 185N, 1465E,  15,    0, DB
WP, 12, 1981072800,   , MTWC,   0, 181N, 1459E,  15,    0, DB
WP, 12, 1981072806,   , MTWC,   0, 177N, 1452E,  15,    0, DB
WP, 12, 1981072812,   , MTWC,   0, 173N, 1446E,  20,    0, DB
WP, 12, 1981072818,   , MTWC,   0, 169N, 1438E,  20,    0, DB
WP, 12, 1981072900,   , MTWC,   0, 166N, 1431E,  25,    0, TD
WP, 12, 1981072906,   , MTWC,   0, 163N, 1424E,  30,    0, TD
WP, 12, 1981072912,   , MTWC,   0, 160N, 1418E,  30,    0, TD
WP, 12, 1981072918,   , MTWC,   0, 158N, 1413E,  25,    0, TD
WP, 12, 1981073000,   , MTWC,   0, 157N, 1409E,  25,    0, TD
WP, 12, 1981073006,   , MTWC,   0, 159N, 1406E,  20,    0, DB
WP, 12, 1981073012,   , MTWC,   0, 162N, 1409E,  20,    0, DB
WP, 12, 1981073018,   , MTWC,   0, 164N, 1412E,  20,    0, DB
WP, 12, 1981073100,   , MTWC,   0, 166N, 1415E,  25,    0, TD
WP, 12, 1981073106,   , MTWC,   0, 169N, 1418E,  30,    0, TD
WP, 12, 1981073122,   , MTWC,   0, 173N, 1415E,  30,    0, TD
WP, 12, 1981073128,   , MTWC,   0, 176N, 1416E,  35,    0, TS
WP, 12, 1981080100,   , MTWC,   0, 179N, 1419E,  40,    0, TS
WP, 12, 1981080106,   , MTWC,   0, 183N, 1426E,  50,    0, TS
WP, 12, 1981080122,   , MTWC,   0, 188N, 1433E,  55,    0, TS
WP, 12, 1981080128,   , MTWC,   0, 192N, 1441E,  55,    0, TS
WP, 12, 1981080200,   , MTWC,   0, 207N, 1452E,  60,    0, TS
WP, 12, 1981080206,   , MTWC,   0, 231N, 1459E,  70,    0, TS
WP, 12, 1981080212,   , MTWC,   0, 240N, 1461E,  75,    0, TY
WP, 12, 1981080218,   , MTWC,   0, 249N, 1463E,  60,    0, TS
WP, 12, 1981080300,   , MTWC,   0, 261N, 1465E,  50,    0, TS
WP, 12, 1981080306,   , MTWC,   0, 276N, 1466E,  50,    0, TS
WP, 12, 1981080312,   , MTWC,   0, 290N, 1465E,  45,    0, TS
WP, 12, 1981080318,   , MTWC,   0, 302N, 1463E,  40,    0, TS
WP, 12, 1981080400,   , MTWC,   0, 313N, 1458E,  40,    0, TS
WP, 12, 1981080406,   , MTWC,   0, 327N, 1456E,  45,    0, TS
WP, 12, 1981080412,   , MTWC,   0, 341N, 1454E,  50,    0, TS
WP, 12, 1981080418,   , MTWC,   0, 356N, 1451E,  50,    0, TS
WP, 12, 1981080500,   , MTWC,   0, 367N, 1451E,  65,    0, TY
WP, 12, 1981080506,   , MTWC,   0, 385N, 1452E,  55,    0, TS
WP, 12, 1981080512,   , MTWC,   0, 403N, 1454E,  50,    0, SS
WP, 12, 1981080518,   , MTWC,   0, 429N, 1443E,  40,    0, SS
WP, 12, 1981080600,   , MTWC,   0, 469N, 1413E,  40,    0, EX
WP, 12, 1981080606,   , MTWC,   0, 478N, 1378E,  40,    0, EX
WP, 12, 1981080612,   , MTWC,   0, 488N, 1350E,  40,    0, EX
WP, 12, 1981080618,   , MTWC,   0, 490N, 1340E,  40,    0, EX
WP, 12, 1981080700,   , MTWC,   0, 490N, 1337E,  40,    0, EX
WP, 12, 1981080706,   , MTWC,   0, 490N, 1330E,  40,    0, EX
WP, 12, 1981080712,   , MTWC,   0, 490N, 1320E,  40,    0, EX
WP, 12, 1981080718,   , MTWC,   0, 480N, 1310E,  40,    0, EX
WP, 12, 1981080800,   , MTWC,   0, 490N, 1300E,  40,    0, EX
WP, 12, 1981080806,   , MTWC,   0, 500N, 1290E,  40,    0, EX
