EP, 08, 1994073018,   , MTWC,   0, 114N, 1204W,  25,    0, TD
EP, 08, 1994073100,   , MTWC,   0, 117N, 1214W,  25,    0, TD
EP, 08, 1994073106,   , MTWC,   0, 121N, 1226W,  25,    0, TD
EP, 08, 1994073112,   , MTWC,   0, 125N, 1238W,  25,    0, TD
EP, 08, 1994073118,   , MTWC,   0, 130N, 1253W,  25,    0, TD
EP, 08, 1994080100,   , MTWC,   0, 129N, 1269W,  25,    0, TD
EP, 08, 1994080106,   , MTWC,   0, 127N, 1286W,  25,    0, TD
EP, 08, 1994080112,   , MTWC,   0, 126N, 1303W,  25,    0, TD
EP, 08, 1994080118,   , MTWC,   0, 125N, 1320W,  30,    0, TD
EP, 08, 1994080200,   , MTWC,   0, 124N, 1336W,  30,    0, TD
EP, 08, 1994080206,   , MTWC,   0, 122N, 1350W,  30,    0, TD
EP, 08, 1994080212,   , MTWC,   0, 121N, 1365W,  30,    0, TD
EP, 08, 1994080218,   , MTWC,   0, 118N, 1379W,  30,    0, TD
EP, 08, 1994080300,   , MTWC,   0, 114N, 1391W,  35,    0, TS
EP, 08, 1994080306,   , MTWC,   0, 111N, 1400W,  35,    0, TS
EP, 08, 1994080312,   , MTWC,   0, 110N, 1408W,  35,    0, TS
EP, 08, 1994080318,   , MTWC,   0, 107N, 1420W,  35,    0, TS
EP, 08, 1994080400,   , MTWC,   0, 107N, 1435W,  30,    0, TD
EP, 08, 1994080406,   , MTWC,   0, 105N, 1451W,  30,    0, TD
EP, 08, 1994080412,   , MTWC,   0, 103N, 1464W,  25,    0, TD
EP, 08, 1994080418,   , MTWC,   0, 101N, 1478W,  25,    0, TD
EP, 08, 1994080500,   , MTWC,   0,  97N, 1492W,  30,    0, TD
EP, 08, 1994080506,   , MTWC,   0,  97N, 1509W,  30,    0, TD
EP, 08, 1994080512,   , MTWC,   0,  99N, 1527W,  30,    0, TD
EP, 08, 1994080518,   , MTWC,   0, 105N, 1542W,  30,    0, TD
EP, 08, 1994080600,   , MTWC,   0, 110N, 1553W,  30,    0, TD
EP, 08, 1994080606,   , MTWC,   0, 116N, 1559W,  30,    0, TD
EP, 08, 1994080612,   , MTWC,   0, 122N, 1565W,  30,    0, TD
EP, 08, 1994080618,   , MTWC,   0, 126N, 1575W,  35,    0, TS
EP, 08, 1994080700,   , MTWC,   0, 130N, 1584W,  40,    0, TS
EP, 08, 1994080706,   , MTWC,   0, 134N, 1592W,  45,    0, TS
EP, 08, 1994080712,   , MTWC,   0, 135N, 1600W,  50,    0, TS
EP, 08, 1994080718,   , MTWC,   0, 135N, 1612W,  45,    0, TS
EP, 08, 1994080800,   , MTWC,   0, 135N, 1623W,  45,    0, TS
EP, 08, 1994080806,   , MTWC,   0, 135N, 1635W,  40,    0, TS
EP, 08, 1994080812,   , MTWC,   0, 135N, 1648W,  45,    0, TS
EP, 08, 1994080818,   , MTWC,   0, 135N, 1663W,  55,    0, TS
EP, 08, 1994080900,   , MTWC,   0, 136N, 1675W,  60,    0, TS
EP, 08, 1994080906,   , MTWC,   0, 136N, 1682W,  65,    0, TY
EP, 08, 1994080912,   , MTWC,   0, 136N, 1691W,  65,    0, TY
EP, 08, 1994080918,   , MTWC,   0, 136N, 1700W,  55,    0, TS
EP, 08, 1994081000,   , MTWC,   0, 135N, 1710W,  45,    0, TS
EP, 08, 1994081006,   , MTWC,   0, 136N, 1716W,  45,    0, TS
EP, 08, 1994081012,   , MTWC,   0, 137N, 1722W,  40,    0, TS
EP, 08, 1994081018,   , MTWC,   0, 139N, 1727W,  40,    0, TS
EP, 08, 1994081100,   , MTWC,   0, 139N, 1733W,  35,    0, TS
EP, 08, 1994081106,   , MTWC,   0, 138N, 1742W,  35,    0, TS
EP, 08, 1994081112,   , MTWC,   0, 136N, 1751W,  35,    0, TS
EP, 08, 1994081118,   , MTWC,   0, 133N, 1759W,  40,    0, TS
EP, 08, 1994081200,   , MTWC,   0, 130N, 1768W,  40,    0, TS
EP, 08, 1994081206,   , MTWC,   0, 127N, 1778W,  45,    0, TS
EP, 08, 1994081212,   , MTWC,   0, 126N, 1788W,  50,    0, TS
EP, 08, 1994081218,   , MTWC,   0, 126N, 1799W,  50,    0, TS
EP, 08, 1994081300,   , MTWC,   0, 129N, 1790E,  45,    0, TS
EP, 08, 1994081306,   , MTWC,   0, 134N, 1781E,  40,    0, TS
EP, 08, 1994081312,   , MTWC,   0, 138N, 1772E,  35,    0, TS
EP, 08, 1994081318,   , MTWC,   0, 141N, 1763E,  35,    0, TS
EP, 08, 1994081400,   , MTWC,   0, 146N, 1753E,  35,    0, TS
EP, 08, 1994081406,   , MTWC,   0, 150N, 1742E,  35,    0, TS
EP, 08, 1994081412,   , MTWC,   0, 154N, 1733E,  35,    0, TS
EP, 08, 1994081418,   , MTWC,   0, 158N, 1725E,  30,    0, TD
EP, 08, 1994081500,   , MTWC,   0, 162N, 1718E,  30,    0, TD
EP, 08, 1994081506,   , MTWC,   0, 168N, 1711E,  25,    0, TD
EP, 08, 1994081512,   , MTWC,   0, 174N, 1706E,  25,    0, TD
EP, 08, 1994081518,   , MTWC,   0, 179N, 1702E,  25,    0, TD
EP, 08, 1994081600,   , MTWC,   0, 183N, 1700E,  30,    0, TD
EP, 08, 1994081606,   , MTWC,   0, 185N, 1698E,  30,    0, TD
EP, 08, 1994081612,   , MTWC,   0, 185N, 1695E,  35,    0, TS
EP, 08, 1994081618,   , MTWC,   0, 185N, 1692E,  30,    0, TD
EP, 08, 1994081700,   , MTWC,   0, 186N, 1689E,  30,    0, TD
EP, 08, 1994081706,   , MTWC,   0, 187N, 1689E,  25,    0, TD
EP, 08, 1994081712,   , MTWC,   0, 188N, 1692E,  25,    0, TD
EP, 08, 1994081718,   , MTWC,   0, 189N, 1697E,  25,    0, TD
EP, 08, 1994081800,   , MTWC,   0, 191N, 1701E,  25,    0, TD
