EP, 10, 1994081000,   , MTWC,   0, 104N,  922W,  25,    0, TD
EP, 10, 1994081006,   , MTWC,   0, 104N,  931W,  25,    0, TD
EP, 10, 1994081012,   , MTWC,   0, 105N,  941W,  30,    0, TD
EP, 10, 1994081018,   , MTWC,   0, 105N,  951W,  30,    0, TD
EP, 10, 1994081100,   , MTWC,   0, 108N,  961W,  35,    0, TS
EP, 10, 1994081106,   , MTWC,   0, 111N,  971W,  45,    0, TS
EP, 10, 1994081112,   , MTWC,   0, 112N,  982W,  55,    0, TS
EP, 10, 1994081118,   , MTWC,   0, 112N,  994W,  50,    0, TS
EP, 10, 1994081200,   , MTWC,   0, 113N, 1006W,  50,    0, TS
EP, 10, 1994081206,   , MTWC,   0, 115N, 1017W,  45,    0, TS
EP, 10, 1994081212,   , MTWC,   0, 118N, 1028W,  50,    0, TS
EP, 10, 1994081218,   , MTWC,   0, 120N, 1038W,  45,    0, TS
EP, 10, 1994081300,   , MTWC,   0, 123N, 1048W,  50,    0, TS
EP, 10, 1994081306,   , MTWC,   0, 125N, 1058W,  55,    0, TS
EP, 10, 1994081312,   , MTWC,   0, 129N, 1065W,  50,    0, TS
EP, 10, 1994081318,   , MTWC,   0, 133N, 1069W,  40,    0, TS
EP, 10, 1994081400,   , MTWC,   0, 137N, 1073W,  40,    0, TS
EP, 10, 1994081406,   , MTWC,   0, 139N, 1078W,  40,    0, TS
EP, 10, 1994081412,   , MTWC,   0, 140N, 1084W,  40,    0, TS
EP, 10, 1994081418,   , MTWC,   0, 140N, 1092W,  40,    0, TS
EP, 10, 1994081500,   , MTWC,   0, 139N, 1100W,  45,    0, TS
EP, 10, 1994081506,   , MTWC,   0, 138N, 1110W,  50,    0, TS
EP, 10, 1994081512,   , MTWC,   0, 137N, 1120W,  65,    0, TY
EP, 10, 1994081518,   , MTWC,   0, 136N, 1128W,  55,    0, TS
EP, 10, 1994081600,   , MTWC,   0, 137N, 1136W,  50,    0, TS
EP, 10, 1994081606,   , MTWC,   0, 137N, 1145W,  45,    0, TS
EP, 10, 1994081612,   , MTWC,   0, 137N, 1155W,  50,    0, TS
EP, 10, 1994081618,   , MTWC,   0, 136N, 1163W,  55,    0, TS
EP, 10, 1994081700,   , MTWC,   0, 138N, 1172W,  45,    0, TS
EP, 10, 1994081706,   , MTWC,   0, 142N, 1179W,  40,    0, TS
EP, 10, 1994081712,   , MTWC,   0, 146N, 1188W,  40,    0, TS
EP, 10, 1994081718,   , MTWC,   0, 150N, 1198W,  40,    0, TS
EP, 10, 1994081800,   , MTWC,   0, 153N, 1209W,  45,    0, TS
EP, 10, 1994081806,   , MTWC,   0, 153N, 1223W,  45,    0, TS
EP, 10, 1994081812,   , MTWC,   0, 153N, 1240W,  50,    0, TS
EP, 10, 1994081818,   , MTWC,   0, 153N, 1257W,  55,    0, TS
EP, 10, 1994081900,   , MTWC,   0, 153N, 1275W,  60,    0, TS
EP, 10, 1994081906,   , MTWC,   0, 152N, 1292W,  65,    0, TY
EP, 10, 1994081912,   , MTWC,   0, 151N, 1309W,  75,    0, TY
EP, 10, 1994081918,   , MTWC,   0, 151N, 1325W,  80,    0, TY
EP, 10, 1994082000,   , MTWC,   0, 150N, 1340W,  90,    0, TY
