WP, 19, 1994081200,   , MTWC,   0, 200N, 1520E,  25,    0, TD
WP, 19, 1994081206,   , MTWC,   0, 198N, 1510E,  25,    0, TD
WP, 19, 1994081212,   , MTWC,   0, 197N, 1500E,  25,    0, TD
WP, 19, 1994081218,   , MTWC,   0, 195N, 1491E,  25,    0, TD
WP, 19, 1994081300,   , MTWC,   0, 193N, 1483E,  25,    0, TD
WP, 19, 1994081306,   , MTWC,   0, 191N, 1476E,  25,    0, TD
WP, 19, 1994081312,   , MTWC,   0, 189N, 1469E,  30,    0, TD
WP, 19, 1994081318,   , MTWC,   0, 184N, 1466E,  30,    0, TD
WP, 19, 1994081400,   , MTWC,   0, 178N, 1464E,  30,    0, TD
WP, 19, 1994081406,   , MTWC,   0, 177N, 1455E,  30,    0, TD
WP, 19, 1994081412,   , MTWC,   0, 178N, 1447E,  35,    0, TS
WP, 19, 1994081418,   , MTWC,   0, 180N, 1438E,  40,    0, TS
WP, 19, 1994081500,   , MTWC,   0, 183N, 1426E,  45,    0, TS
WP, 19, 1994081506,   , MTWC,   0, 184N, 1415E,  50,    0, TS
WP, 19, 1994081512,   , MTWC,   0, 184N, 1406E,  55,    0, TS
WP, 19, 1994081518,   , MTWC,   0, 182N, 1397E,  60,    0, TS
WP, 19, 1994081600,   , MTWC,   0, 180N, 1390E,  65,    0, TY
WP, 19, 1994081606,   , MTWC,   0, 177N, 1382E,  65,    0, TY
WP, 19, 1994081612,   , MTWC,   0, 176N, 1371E,  70,    0, TY
WP, 19, 1994081618,   , MTWC,   0, 176N, 1361E,  75,    0, TY
WP, 19, 1994081700,   , MTWC,   0, 178N, 1351E,  80,    0, TY
WP, 19, 1994081706,   , MTWC,   0, 181N, 1340E,  85,    0, TY
WP, 19, 1994081712,   , MTWC,   0, 184N, 1331E,  90,    0, TY
WP, 19, 1994081718,   , MTWC,   0, 187N, 1322E,  90,    0, TY
WP, 19, 1994081800,   , MTWC,   0, 190N, 1313E,  85,    0, TY
WP, 19, 1994081806,   , MTWC,   0, 195N, 1307E, 100,    0, TY
WP, 19, 1994081812,   , MTWC,   0, 201N, 1299E, 105,    0, TY
WP, 19, 1994081818,   , MTWC,   0, 208N, 1289E, 115,    0, TY
WP, 19, 1994081821,   , MTWC,   0, 210N, 1284E, 120,    0, TY
WP, 19, 1994081900,   , MTWC,   0, 212N, 1279E, 125,    0, TY
WP, 19, 1994081906,   , MTWC,   0, 218N, 1270E, 140,    0, ST
WP, 19, 1994081912,   , MTWC,   0, 222N, 1260E, 150,    0, ST
WP, 19, 1994081918,   , MTWC,   0, 225N, 1253E, 140,    0, ST
WP, 19, 1994082000,   , MTWC,   0, 229N, 1249E, 125,    0, TY
WP, 19, 1994082006,   , MTWC,   0, 236N, 1247E, 120,    0, TY
WP, 19, 1994082012,   , MTWC,   0, 245N, 1245E, 115,    0, TY
WP, 19, 1994082018,   , MTWC,   0, 256N, 1239E, 110,    0, TY
WP, 19, 1994082100,   , MTWC,   0, 264N, 1229E, 105,    0, TY
WP, 19, 1994082106,   , MTWC,   0, 270N, 1221E, 100,    0, TY
WP, 19, 1994082112,   , MTWC,   0, 276N, 1212E,  90,    0, TY
WP, 19, 1994082118,   , MTWC,   0, 281N, 1199E,  75,    0, TY
WP, 19, 1994082200,   , MTWC,   0, 287N, 1186E,  45,    0, TS
WP, 19, 1994082206,   , MTWC,   0, 292N, 1172E,  35,    0, TS
WP, 19, 1994082212,   , MTWC,   0, 299N, 1160E,  30,    0, TD
WP, 19, 1994082218,   , MTWC,   0, 305N, 1152E,  30,    0, TD
WP, 19, 1994082300,   , MTWC,   0, 312N, 1150E,  30,    0, TD
WP, 19, 1994082306,   , MTWC,   0, 320N, 1149E,  30,    0, TD
WP, 19, 1994082312,   , MTWC,   0, 330N, 1152E,  30,    0, TD
WP, 19, 1994082318,   , MTWC,   0, 339N, 1157E,  30,    0, TD
WP, 19, 1994082400,   , MTWC,   0, 350N, 1172E,  30,    0, TD
WP, 19, 1994082406,   , MTWC,   0, 360N, 1190E,  30,    0, TD
WP, 19, 1994082412,   , MTWC,   0, 368N, 1210E,  30,    0, TD
WP, 19, 1994082418,   , MTWC,   0, 375N, 1222E,  30,    0, TD
WP, 19, 1994082500,   , MTWC,   0, 382N, 1238E,  30,    0, EX
WP, 19, 1994082506,   , MTWC,   0, 387N, 1257E,  25,    0, EX
WP, 19, 1994082512,   , MTWC,   0, 390N, 1275E,  25,    0, EX
WP, 19, 1994082518,   , MTWC,   0, 400N, 1300E,  25,    0, EX
WP, 19, 1994082600,   , MTWC,   0, 408N, 1325E,  30,    0, EX
WP, 19, 1994082606,   , MTWC,   0, 413N, 1350E,  35,    0, EX
WP, 19, 1994082612,   , MTWC,   0, 420N, 1370E,  35,    0, EX
WP, 19, 1994082618,   , MTWC,   0, 427N, 1392E,  35,    0, EX
