WP, 60, 2000081706,   , MTWC,   0, 313N, 1341E,  25,    0, SD
WP, 60, 2000081712,   , MTWC,   0, 311N, 1354E,  25,    0, SD
WP, 60, 2000081718,   , MTWC,   0, 308N, 1366E,  30,    0, SD
WP, 60, 2000081800,   , MTWC,   0, 304N, 1375E,  30,    0, SD
WP, 60, 2000081806,   , MTWC,   0, 299N, 1382E,  35,    0, SS
WP, 60, 2000081812,   , MTWC,   0, 295N, 1387E,  35,    0, SS
WP, 60, 2000081818,   , MTWC,   0, 292N, 1391E,  30,    0, TD
WP, 60, 2000081900,   , MTWC,   0, 290N, 1394E,  25,    0, TD
WP, 60, 2000081906,   , MTWC,   0, 289N, 1397E,  25,    0, TD
WP, 60, 2000081912,   , MTWC,   0, 289N, 1399E,  30,    0, TD
WP, 60, 2000081918,   , MTWC,   0, 288N, 1402E,  35,    0, TS
WP, 60, 2000082000,   , MTWC,   0, 289N, 1406E,  40,    0, TS
WP, 60, 2000082006,   , MTWC,   0, 291N, 1412E,  40,    0, TS
WP, 60, 2000082012,   , MTWC,   0, 294N, 1419E,  35,    0, TS
WP, 60, 2000082018,   , MTWC,   0, 298N, 1427E,  40,    0, TS
WP, 60, 2000082100,   , MTWC,   0, 303N, 1436E,  35,    0, TS
WP, 60, 2000082106,   , MTWC,   0, 309N, 1446E,  35,    0, TS
WP, 60, 2000082112,   , MTWC,   0, 317N, 1458E,  35,    0, SS
WP, 60, 2000082118,   , MTWC,   0, 326N, 1469E,  35,    0, SS
WP, 60, 2000082200,   , MTWC,   0, 336N, 1481E,  30,    0, SD
WP, 60, 2000082206,   , MTWC,   0, 346N, 1494E,  30,    0, SD
WP, 60, 2000082212,   , MTWC,   0, 354N, 1507E,  30,    0, SD
WP, 60, 2000082218,   , MTWC,   0, 361N, 1521E,  30,    0, SD
WP, 60, 2000082300,   , MTWC,   0, 362N, 1538E,  25,    0, SD
WP, 60, 2000082306,   , MTWC,   0, 372N, 1556E,  25,    0, EX
WP, 60, 2000082312,   , MTWC,   0, 388N, 1578E,  25,    0, EX
WP, 60, 2000082318,   , MTWC,   0, 400N, 1601E,  25,    0, EX
