CP, 03, 2002102100,   , MTWC,   0,  72N, 1462W,  15,    0, DB
CP, 03, 2002102106,   , MTWC,   0,  71N, 1468W,  15,    0, DB
CP, 03, 2002102112,   , MTWC,   0,  70N, 1474W,  15,    0, DB
CP, 03, 2002102118,   , MTWC,   0,  70N, 1482W,  15,    0, DB
CP, 03, 2002102200,   , MTWC,   0,  72N, 1492W,  20,    0, DB
CP, 03, 2002102206,   , MTWC,   0,  73N, 1502W,  20,    0, DB
CP, 03, 2002102212,   , MTWC,   0,  74N, 1510W,  20,    0, DB
CP, 03, 2002102218,   , MTWC,   0,  74N, 1518W,  20,    0, DB
CP, 03, 2002102300,   , MTWC,   0,  76N, 1525W,  25,    0, DB
CP, 03, 2002102306,   , MTWC,   0,  79N, 1531W,  25,    0, TD
CP, 03, 2002102312,   , MTWC,   0,  83N, 1536W,  25,    0, TD
CP, 03, 2002102318,   , MTWC,   0,  87N, 1540W,  30,    0, TD
CP, 03, 2002102400,   , MTWC,   0,  89N, 1543W,  30,    0, TD
CP, 03, 2002102406,   , MTWC,   0,  91N, 1545W,  35,    0, TS
CP, 03, 2002102412,   , MTWC,   0,  93N, 1544W,  45,    0, TS
CP, 03, 2002102418,   , MTWC,   0,  95N, 1543W,  35,    0, TS
CP, 03, 2002102500,   , MTWC,   0,  98N, 1542W,  30,    0, TD
CP, 03, 2002102506,   , MTWC,   0, 100N, 1541W,  30,    0, TD
CP, 03, 2002102512,   , MTWC,   0, 103N, 1542W,  30,    0, TD
CP, 03, 2002102518,   , MTWC,   0, 107N, 1545W,  25,    0, TD
CP, 03, 2002102600,   , MTWC,   0, 110N, 1549W,  30,    0, TD
CP, 03, 2002102606,   , MTWC,   0, 113N, 1554W,  30,    0, TD
CP, 03, 2002102612,   , MTWC,   0, 114N, 1558W,  30,    0, TD
CP, 03, 2002102618,   , MTWC,   0, 115N, 1563W,  40,    0, TS
CP, 03, 2002102700,   , MTWC,   0, 116N, 1568W,  45,    0, TS
CP, 03, 2002102706,   , MTWC,   0, 117N, 1573W,  50,    0, TS
CP, 03, 2002102712,   , MTWC,   0, 119N, 1578W,  65,    0, TY
CP, 03, 2002102718,   , MTWC,   0, 121N, 1581W,  60,    0, TS
CP, 03, 2002102800,   , MTWC,   0, 122N, 1584W,  55,    0, TS
CP, 03, 2002102806,   , MTWC,   0, 124N, 1587W,  55,    0, TS
CP, 03, 2002102812,   , MTWC,   0, 126N, 1590W,  65,    0, TY
CP, 03, 2002102818,   , MTWC,   0, 127N, 1594W,  70,    0, TY
CP, 03, 2002102900,   , MTWC,   0, 128N, 1598W,  70,    0, TY
CP, 03, 2002102906,   , MTWC,   0, 130N, 1602W,  70,    0, TY
CP, 03, 2002102912,   , MTWC,   0, 132N, 1604W,  65,    0, TY
CP, 03, 2002102918,   , MTWC,   0, 136N, 1607W,  55,    0, TS
CP, 03, 2002103000,   , MTWC,   0, 138N, 1612W,  55,    0, TS
CP, 03, 2002103006,   , MTWC,   0, 139N, 1623W,  55,    0, TS
CP, 03, 2002103012,   , MTWC,   0, 138N, 1634W,  55,    0, TS
CP, 03, 2002103018,   , MTWC,   0, 137N, 1643W,  60,    0, TS
CP, 03, 2002103100,   , MTWC,   0, 138N, 1653W,  60,    0, TS
CP, 03, 2002103106,   , MTWC,   0, 137N, 1662W,  65,    0, TY
CP, 03, 2002103112,   , MTWC,   0, 136N, 1669W,  70,    0, TY
CP, 03, 2002103118,   , MTWC,   0, 134N, 1681W,  60,    0, TS
