WP, 14, 2002071306,   , MTWC,   0, 285N, 1685E,  25,    0, SS
WP, 14, 2002071312,   , MTWC,   0, 279N, 1692E,  25,    0, SS
WP, 14, 2002071318,   , MTWC,   0, 270N, 1695E,  25,    0, SS
WP, 14, 2002071400,   , MTWC,   0, 262N, 1694E,  25,    0, SS
WP, 14, 2002071406,   , MTWC,   0, 252N, 1691E,  20,    0, DB
WP, 14, 2002071412,   , MTWC,   0, 243N, 1687E,  20,    0, DB
WP, 14, 2002071418,   , MTWC,   0, 235N, 1682E,  20,    0, DB
WP, 14, 2002071500,   , MTWC,   0, 228N, 1675E,  20,    0, DB
WP, 14, 2002071506,   , MTWC,   0, 222N, 1668E,  20,    0, DB
WP, 14, 2002071512,   , MTWC,   0, 219N, 1657E,  20,    0, DB
WP, 14, 2002071518,   , MTWC,   0, 216N, 1643E,  20,    0, DB
WP, 14, 2002071600,   , MTWC,   0, 214N, 1629E,  20,    0, DB
WP, 14, 2002071606,   , MTWC,   0, 213N, 1614E,  25,    0, TD
WP, 14, 2002071612,   , MTWC,   0, 214N, 1603E,  25,    0, TD
WP, 14, 2002071618,   , MTWC,   0, 213N, 1595E,  25,    0, TD
WP, 14, 2002071700,   , MTWC,   0, 211N, 1587E,  25,    0, TD
WP, 14, 2002071706,   , MTWC,   0, 209N, 1579E,  30,    0, TD
WP, 14, 2002071712,   , MTWC,   0, 208N, 1571E,  30,    0, TD
WP, 14, 2002071718,   , MTWC,   0, 207N, 1561E,  30,    0, TD
WP, 14, 2002071800,   , MTWC,   0, 209N, 1550E,  30,    0, TD
WP, 14, 2002071806,   , MTWC,   0, 211N, 1539E,  35,    0, TS
WP, 14, 2002071812,   , MTWC,   0, 212N, 1525E,  40,    0, TS
WP, 14, 2002071818,   , MTWC,   0, 214N, 1510E,  45,    0, TS
WP, 14, 2002071900,   , MTWC,   0, 218N, 1496E,  50,    0, TS
WP, 14, 2002071906,   , MTWC,   0, 222N, 1481E,  40,    0, TS
WP, 14, 2002071912,   , MTWC,   0, 227N, 1465E,  40,    0, TS
WP, 14, 2002071918,   , MTWC,   0, 231N, 1449E,  40,    0, TS
WP, 14, 2002072000,   , MTWC,   0, 235N, 1434E,  40,    0, TS
WP, 14, 2002072006,   , MTWC,   0, 234N, 1421E,  50,    0, TS
WP, 14, 2002072012,   , MTWC,   0, 235N, 1410E,  50,    0, TS
WP, 14, 2002072018,   , MTWC,   0, 236N, 1402E,  55,    0, TS
WP, 14, 2002072100,   , MTWC,   0, 239N, 1390E,  55,    0, TS
WP, 14, 2002072106,   , MTWC,   0, 237N, 1378E,  50,    0, TS
WP, 14, 2002072112,   , MTWC,   0, 237N, 1368E,  50,    0, TS
WP, 14, 2002072118,   , MTWC,   0, 236N, 1358E,  55,    0, TS
WP, 14, 2002072200,   , MTWC,   0, 235N, 1348E,  65,    0, TY
WP, 14, 2002072206,   , MTWC,   0, 233N, 1339E,  75,    0, TY
WP, 14, 2002072212,   , MTWC,   0, 233N, 1332E,  75,    0, TY
WP, 14, 2002072218,   , MTWC,   0, 231N, 1324E,  85,    0, TY
WP, 14, 2002072300,   , MTWC,   0, 230N, 1318E,  90,    0, TY
WP, 14, 2002072306,   , MTWC,   0, 229N, 1311E, 100,    0, TY
WP, 14, 2002072312,   , MTWC,   0, 226N, 1305E, 115,    0, TY
WP, 14, 2002072318,   , MTWC,   0, 221N, 1301E, 105,    0, TY
WP, 14, 2002072400,   , MTWC,   0, 217N, 1302E,  95,    0, TY
WP, 14, 2002072406,   , MTWC,   0, 212N, 1306E,  85,    0, TY
WP, 14, 2002072412,   , MTWC,   0, 208N, 1315E,  75,    0, TY
WP, 14, 2002072418,   , MTWC,   0, 206N, 1327E,  65,    0, TY
WP, 14, 2002072500,   , MTWC,   0, 207N, 1339E,  55,    0, TS
WP, 14, 2002072506,   , MTWC,   0, 218N, 1349E,  50,    0, TS
WP, 14, 2002072512,   , MTWC,   0, 232N, 1354E,  45,    0, TS
WP, 14, 2002072518,   , MTWC,   0, 246N, 1350E,  45,    0, TS
WP, 14, 2002072600,   , MTWC,   0, 257N, 1345E,  55,    0, TS
WP, 14, 2002072606,   , MTWC,   0, 270N, 1339E,  45,    0, TS
WP, 14, 2002072612,   , MTWC,   0, 282N, 1333E,  35,    0, TS
WP, 14, 2002072618,   , MTWC,   0, 298N, 1320E,  30,    0, TD
WP, 14, 2002072700,   , MTWC,   0, 306N, 1306E,  25,    0, TD
WP, 14, 2002072706,   , MTWC,   0, 311N, 1299E,  25,    0, TD
WP, 14, 2002072712,   , MTWC,   0, 317N, 1290E,  20,    0, DB
WP, 14, 2002072718,   , MTWC,   0, 323N, 1283E,  20,    0, DB
WP, 14, 2002072800,   , MTWC,   0, 328N, 1279E,  20,    0, DB
WP, 14, 2002072806,   , MTWC,   0, 332N, 1278E,  20,    0, DB
WP, 14, 2002072812,   , MTWC,   0, 336N, 1279E,  20,    0, DB
WP, 14, 2002072818,   , MTWC,   0, 340N, 1282E,  20,    0, DB
WP, 14, 2002072900,   , MTWC,   0, 345N, 1287E,  20,    0, DB
