WP, 18, 2002081006,   , MTWC,   0, 106N, 1312E,  20, 0, DB
WP, 18, 2002081012,   , MTWC,   0, 105N, 1310E,  20, 0, DB
WP, 18, 2002081018,   , MTWC,   0, 104N, 1307E,  25, 0, TD 
WP, 18, 2002081100,   , MTWC,   0, 105N, 1304E,  30, 0, TD 
WP, 18, 2002081106,   , MTWC,   0, 107N, 1300E,  30, 0, TD 
WP, 18, 2002081112,   , MTWC,   0, 111N, 1295E,  35, 0, TS
WP, 18, 2002081118,   , MTWC,   0, 115N, 1289E,  35, 0, TS 
WP, 18, 2002081200,   , MTWC,   0, 121N, 1282E,  35, 0, TS 
WP, 18, 2002081206,   , MTWC,   0, 127N, 1277E,  35, 0, TS 
WP, 18, 2002081212,   , MTWC,   0, 133N, 1267E,  40, 0, TS 
WP, 18, 2002081218,   , MTWC,   0, 138N, 1257E,  40, 0, TS 
WP, 18, 2002081300,   , MTWC,   0, 142N, 1242E,  30, 0, TD
WP, 18, 2002081306,   , MTWC,   0, 144N, 1225E,  30, 0, TD
WP, 18, 2002081312,   , MTWC,   0, 144N, 1209E,  20, 0, TD 
WP, 18, 2002081318,   , MTWC,   0, 139N, 1195E,  20, 0, DB
WP, 18, 2002081400,   , MTWC,   0, 135N, 1185E,  20, 0, DB
WP, 18, 2002081406,   , MTWC,   0, 138N, 1178E,  20, 0, DB
WP, 18, 2002081412,   , MTWC,   0, 145N, 1172E,  20, 0, DB
WP, 18, 2002081418,   , MTWC,   0, 150N, 1180E,  20, 0, DB
