WP, 61, 2002091700,   , MTWC,   0, 153N, 1509E,  15,    0, DB
WP, 61, 2002091706,   , MTWC,   0, 161N, 1503E,  15,    0, DB
WP, 61, 2002091712,   , MTWC,   0, 171N, 1497E,  20,    0, DB
WP, 61, 2002091718,   , MTWC,   0, 178N, 1480E,  25,    0, TD
WP, 61, 2002091800,   , MTWC,   0, 185N, 1472E,  30,    0, TD
WP, 61, 2002091806,   , MTWC,   0, 191N, 1464E,  30,    0, TD
WP, 61, 2002091812,   , MTWC,   0, 197N, 1455E,  40,    0, TS
WP, 61, 2002091818,   , MTWC,   0, 203N, 1445E,  30,    0, LO
WP, 61, 2002091900,   , MTWC,   0, 207N, 1435E,  30,    0, LO
WP, 61, 2002091906,   , MTWC,   0, 210N, 1426E,  30,    0, LO
WP, 61, 2002091912,   , MTWC,   0, 214N, 1419E,  30,    0, SS
WP, 61, 2002091918,   , MTWC,   0, 217N, 1412E,  30,    0, SS
WP, 61, 2002092000,   , MTWC,   0, 221N, 1404E,  35,    0, SS
WP, 61, 2002092006,   , MTWC,   0, 225N, 1394E,  35,    0, SS
WP, 61, 2002092012,   , MTWC,   0, 231N, 1386E,  35,    0, SS
WP, 61, 2002092018,   , MTWC,   0, 238N, 1378E,  35,    0, SS
WP, 61, 2002092100,   , MTWC,   0, 248N, 1370E,  40,    0, SS
WP, 61, 2002092106,   , MTWC,   0, 260N, 1368E,  40,    0, SS
WP, 61, 2002092112,   , MTWC,   0, 272N, 1369E,  40,    0, SS
WP, 61, 2002092118,   , MTWC,   0, 282N, 1375E,  40,    0, TS
WP, 61, 2002092200,   , MTWC,   0, 294N, 1382E,  40,    0, TS
WP, 61, 2002092206,   , MTWC,   0, 308N, 1389E,  45,    0, TS
WP, 61, 2002092212,   , MTWC,   0, 321N, 1401E,  45,    0, TS
WP, 61, 2002092218,   , MTWC,   0, 335N, 1416E,  45,    0, TS
WP, 61, 2002092300,   , MTWC,   0, 351N, 1435E,  45,    0, TS
WP, 61, 2002092306,   , MTWC,   0, 368N, 1460E,  45,    0, TS
WP, 61, 2002092312,   , MTWC,   0, 385N, 1495E,  50,    0, TS
WP, 61, 2002092318,   , MTWC,   0, 410N, 1535E,  45,    0, EX
WP, 61, 2002092400,   , MTWC,   0, 435N, 1585E,  45,    0, EX
WP, 61, 2002092406,   , MTWC,   0, 448N, 1635E,  45,    0, EX
WP, 61, 2002092412,   , MTWC,   0, 462N, 1685E,  45,    0, EX
WP, 61, 2002092418,   , MTWC,   0, 480N, 1735E,  45,    0, EX
WP, 61, 2002092500,   , MTWC,   0, 495N, 1775E,  45,    0, EX
WP, 61, 2002092506,   , MTWC,   0, 510N, 1785W,  45,    0, EX
WP, 61, 2002092512,   , MTWC,   0, 522N, 1745W,  45,    0, EX
