CP, 01, 2013081500,   , MTWC,   0,  76N, 1673W,  25,    0, TD
CP, 01, 2013081506,   , MTWC,   0,  78N, 1681W,  30,    0, TD
CP, 01, 2013081512,   , MTWC,   0,  82N, 1689W,  25,    0, TD
CP, 01, 2013081518,   , MTWC,   0,  86N, 1699W,  30,    0, TD
CP, 01, 2013081600,   , MTWC,   0,  89N, 1709W,  35,    0, TS
CP, 01, 2013081606,   , MTWC,   0,  92N, 1719W,  45,    0, TS
CP, 01, 2013081612,   , MTWC,   0,  94N, 1730W,  50,    0, TS
CP, 01, 2013081618,   , MTWC,   0,  97N, 1739W,  50,    0, TS
CP, 01, 2013081700,   , MTWC,   0, 100N, 1750W,  45,    0, TS
CP, 01, 2013081706,   , MTWC,   0, 104N, 1760W,  50,    0, TS
CP, 01, 2013081712,   , MTWC,   0, 108N, 1769W,  50,    0, TS
CP, 01, 2013081718,   , MTWC,   0, 112N, 1779W,  65,    0, TY
CP, 01, 2013081800,   , MTWC,   0, 115N, 1790W,  60,    0, TS
CP, 01, 2013081806,   , MTWC,   0, 119N, 1799W,  70,    0, TY
CP, 01, 2013081812,   , MTWC,   0, 124N, 1791E,  75,    0, TS
CP, 01, 2013081818,   , MTWC,   0, 128N, 1789E,  85,    0, TY
CP, 01, 2013081900,   , MTWC,   0, 133N, 1784E, 115,    0, MH
CP, 01, 2013081906,   , MTWC,   0, 139N, 1779E, 100,    0, MH
CP, 01, 2013081912,   , MTWC,   0, 145N, 1772E,  85,    0, TY
CP, 01, 2013081918,   , MTWC,   0, 147N, 1764E,  75,    0, TY
CP, 01, 2013082000,   , MTWC,   0, 153N, 1756E,  55,    0, TS
CP, 01, 2013082006,   , MTWC,   0, 162N, 1748E,  45,    0, TS
CP, 01, 2013082012,   , MTWC,   0, 173N, 1739E,  50,    0, TS
CP, 01, 2013082018,   , MTWC,   0, 181N, 1728E,  45,    0, TS
CP, 01, 2013082100,   , MTWC,   0, 186N, 1718E,  40,    0, TS
CP, 01, 2013082106,   , MTWC,   0, 195N, 1713E,  50,    0, TS
CP, 01, 2013082112,   , MTWC,   0, 203N, 1706E,  50,    0, TS
CP, 01, 2013082118,   , MTWC,   0, 212N, 1701E,  55,    0, TS
CP, 01, 2013082200,   , MTWC,   0, 221N, 1698E,  45,    0, TS
CP, 01, 2013082206,   , MTWC,   0, 232N, 1696E,  45,    0, TS
CP, 01, 2013082212,   , MTWC,   0, 243N, 1692E,  50,    0, TS
CP, 01, 2013082218,   , MTWC,   0, 252N, 1690E,  50,    0, TS
CP, 01, 2013082300,   , MTWC,   0, 260N, 1689E,  40,    0, TS
CP, 01, 2013082306,   , MTWC,   0, 264N, 1689E,  45,    0, TS
CP, 01, 2013082312,   , MTWC,   0, 268N, 1690E,  40,    0, TS
CP, 01, 2013082318,   , MTWC,   0, 271N, 1692E,  35,    0, TS
CP, 01, 2013082400,   , MTWC,   0, 275N, 1693E,  35,    0, TS
CP, 01, 2013082406,   , MTWC,   0, 279N, 1689E,  45,    0, TS
CP, 01, 2013082412,   , MTWC,   0, 280N, 1685E,  40,    0, TS
CP, 01, 2013082418,   , MTWC,   0, 282N, 1681E,  35,    0, SS
CP, 01, 2013082500,   , MTWC,   0, 284N, 1669E,  35,    0, SS
CP, 01, 2013082506,   , MTWC,   0, 286N, 1662E,  35,    0, SS
CP, 01, 2013082512,   , MTWC,   0, 292N, 1659E,  35,    0, SS
CP, 01, 2013082518,   , MTWC,   0, 297N, 1658E,  30,    0, SD
CP, 01, 2013082600,   , MTWC,   0, 308N, 1654E,  30,    0, SD
CP, 01, 2013082606,   , MTWC,   0, 320N, 1653E,  25,    0, SD
CP, 01, 2013082612,   , MTWC,   0, 334N, 1656E,  25,    0, TD
CP, 01, 2013082618,   , MTWC,   0, 352N, 1658E,  25,    0, TD
