WP, 09, 2013072818,   , MTWC,   0, 127N, 1216E,  25,    0, TD
WP, 09, 2013072900,   , MTWC,   0, 129N, 1211E,  25,    0, TD
WP, 09, 2013072906,   , MTWC,   0, 133N, 1207E,  25,    0, TD
WP, 09, 2013072912,   , MTWC,   0, 136N, 1203E,  25,    0, TD
WP, 09, 2013072918,   , MTWC,   0, 139N, 1197E,  25,    0, TD
WP, 09, 2013073000,   , MTWC,   0, 141N, 1191E,  30,    0, TD
WP, 09, 2013073006,   , MTWC,   0, 142N, 1181E,  30,    0, TD
WP, 09, 2013073012,   , MTWC,   0, 144N, 1173E,  35,    0, TS
WP, 09, 2013073018,   , MTWC,   0, 146N, 1168E,  45,    0, TS
WP, 09, 2013073100,   , MTWC,   0, 148N, 1162E,  45,    0, TS
WP, 09, 2013073106,   , MTWC,   0, 149N, 1155E,  40,    0, TS
WP, 09, 2013073112,   , MTWC,   0, 152N, 1149E,  40,    0, TS
WP, 09, 2013073118,   , MTWC,   0, 153N, 1144E,  45,    0, TS
WP, 09, 2013080100,   , MTWC,   0, 156N, 1139E,  50,    0, TS
WP, 09, 2013080106,   , MTWC,   0, 161N, 1136E,  45,    0, TS
WP, 09, 2013080112,   , MTWC,   0, 166N, 1134E,  50,    0, TS
WP, 09, 2013080118,   , MTWC,   0, 170N, 1130E,  55,    0, TS
WP, 09, 2013080200,   , MTWC,   0, 177N, 1126E,  60,    0, TS
WP, 09, 2013080206,   , MTWC,   0, 188N, 1118E,  65,    0, TY
WP, 09, 2013080212,   , MTWC,   0, 197N, 1108E,  65,    0, TY
WP, 09, 2013080218,   , MTWC,   0, 204N, 1093E,  55,    0, TS
WP, 09, 2013080300,   , MTWC,   0, 211N, 1081E,  60,    0, TS
WP, 09, 2013080306,   , MTWC,   0, 216N, 1065E,  50,    0, TS
WP, 09, 2013080312,   , MTWC,   0, 221N, 1047E,  40,    0, TS
WP, 09, 2013080318,   , MTWC,   0, 227N, 1041E,  35,    0, TS
WP, 09, 2013080400,   , MTWC,   0, 230N, 1030E,  30,    0, TD
WP, 09, 2013080406,   , MTWC,   0, 231N, 1021E,  30,    0, TD
WP, 09, 2013080412,   , MTWC,   0, 231N, 1011E,  25,    0, TD
WP, 09, 2013080418,   , MTWC,   0, 231N, 1000E,  25,    0, TD
