WP, 30, 2013110100,   , MTWC,   0,  69N, 1425E,  25,    0, TD
WP, 30, 2013110106,   , MTWC,   0,  70N, 1410E,  25,    0, TD
WP, 30, 2013110112,   , MTWC,   0,  71N, 1396E,  25,    0, TD
WP, 30, 2013110118,   , MTWC,   0,  70N, 1383E,  30,    0, TD
WP, 30, 2013110200,   , MTWC,   0,  71N, 1370E,  30,    0, TD
WP, 30, 2013110206,   , MTWC,   0,  71N, 1359E,  30,    0, TD
WP, 30, 2013110212,   , MTWC,   0,  73N, 1351E,  30,    0, TD
WP, 30, 2013110218,   , MTWC,   0,  75N, 1342E,  30,    0, TD
WP, 30, 2013110300,   , MTWC,   0,  82N, 1329E,  25,    0, TD
WP, 30, 2013110306,   , MTWC,   0,  85N, 1310E,  30,    0, TD
WP, 30, 2013110312,   , MTWC,   0,  88N, 1293E,  35,    0, TS
WP, 30, 2013110318,   , MTWC,   0,  91N, 1276E,  35,    0, TS
WP, 30, 2013110400,   , MTWC,   0,  94N, 1264E,  35,    0, TS
WP, 30, 2013110406,   , MTWC,   0,  98N, 1250E,  30,    0, TD
WP, 30, 2013110412,   , MTWC,   0,  99N, 1231E,  30,    0, TD
WP, 30, 2013110418,   , MTWC,   0, 104N, 1214E,  30,    0, TD
WP, 30, 2013110500,   , MTWC,   0, 108N, 1194E,  35,    0, TS
WP, 30, 2013110506,   , MTWC,   0, 107N, 1169E,  35,    0, TS
WP, 30, 2013110512,   , MTWC,   0, 111N, 1150E,  35,    0, TS
WP, 30, 2013110518,   , MTWC,   0, 116N, 1134E,  30,    0, TD
WP, 30, 2013110600,   , MTWC,   0, 118N, 1115E,  30,    0, TD
WP, 30, 2013110606,   , MTWC,   0, 115N, 1101E,  25,    0, TD
WP, 30, 2013110612,   , MTWC,   0, 115N, 1089E,  30,    0, TD
WP, 30, 2013110618,   , MTWC,   0, 119N, 1078E,  25,    0, TD
WP, 30, 2013110700,   , MTWC,   0, 122N, 1059E,  25,    0, TD
WP, 30, 2013110706,   , MTWC,   0, 121N, 1035E,  25,    0, TD
WP, 30, 2013110712,   , MTWC,   0, 118N, 1021E,  25,    0, TD
WP, 30, 2013110718,   , MTWC,   0, 120N, 1010E,  30,    0, TD
