WP, 24, 2013100518,   , MTWC,   0, 121N, 1419E,  25,    0, TD
WP, 24, 2013100600,   , MTWC,   0, 122N, 1408E,  25,    0, TD
WP, 24, 2013100606,   , MTWC,   0, 123N, 1399E,  25,    0, TD
WP, 24, 2013100612,   , MTWC,   0, 124N, 1390E,  25,    0, TD
WP, 24, 2013100618,   , MTWC,   0, 125N, 1382E,  30,    0, TD
WP, 24, 2013100700,   , MTWC,   0, 126N, 1371E,  30,    0, TD
WP, 24, 2013100706,   , MTWC,   0, 127N, 1361E,  30,    0, TD
WP, 24, 2013100712,   , MTWC,   0, 129N, 1351E,  30,    0, TD
WP, 24, 2013100718,   , MTWC,   0, 133N, 1343E,  30,    0, TD
WP, 24, 2013100800,   , MTWC,   0, 135N, 1329E,  30,    0, TD
WP, 24, 2013100806,   , MTWC,   0, 136N, 1321E,  35,    0, TS
WP, 24, 2013100812,   , MTWC,   0, 140N, 1314E,  45,    0, TS
WP, 24, 2013100818,   , MTWC,   0, 142N, 1307E,  45,    0, TS
WP, 24, 2013100900,   , MTWC,   0, 143N, 1300E,  50,    0, TS
WP, 24, 2013100906,   , MTWC,   0, 144N, 1295E,  45,    0, TS
WP, 24, 2013100912,   , MTWC,   0, 145N, 1290E,  55,    0, TS
WP, 24, 2013100918,   , MTWC,   0, 147N, 1285E,  65,    0, TY
WP, 24, 2013101000,   , MTWC,   0, 152N, 1279E,  65,    0, TY
WP, 24, 2013101006,   , MTWC,   0, 153N, 1269E,  75,    0, TY
WP, 24, 2013101012,   , MTWC,   0, 154N, 1261E,  80,    0, TY
WP, 24, 2013101018,   , MTWC,   0, 154N, 1253E,  80,    0, TY
WP, 24, 2013101100,   , MTWC,   0, 153N, 1245E,  85,    0, TY
WP, 24, 2013101106,   , MTWC,   0, 154N, 1239E,  80,    0, TY
WP, 24, 2013101112,   , MTWC,   0, 155N, 1224E,  75,    0, TY
WP, 24, 2013101118,   , MTWC,   0, 154N, 1205E,  65,    0, TY
WP, 24, 2013101200,   , MTWC,   0, 152N, 1192E,  65,    0, TY
WP, 24, 2013101206,   , MTWC,   0, 152N, 1181E,  65,    0, TY
WP, 24, 2013101212,   , MTWC,   0, 151N, 1169E,  70,    0, TY
WP, 24, 2013101218,   , MTWC,   0, 152N, 1157E,  70,    0, TY
WP, 24, 2013101300,   , MTWC,   0, 153N, 1147E,  70,    0, TY
WP, 24, 2013101306,   , MTWC,   0, 153N, 1136E,  85,    0, TY
WP, 24, 2013101312,   , MTWC,   0, 154N, 1128E,  80,    0, TY
WP, 24, 2013101318,   , MTWC,   0, 154N, 1120E,  90,    0, TY
WP, 24, 2013101400,   , MTWC,   0, 156N, 1114E,  85,    0, TY
WP, 24, 2013101406,   , MTWC,   0, 159N, 1107E,  85,    0, TY
WP, 24, 2013101412,   , MTWC,   0, 161N, 1100E,  80,    0, TY
WP, 24, 2013101418,   , MTWC,   0, 161N, 1091E,  70,    0, TY
WP, 24, 2013101500,   , MTWC,   0, 158N, 1082E,  60,    0, TS
WP, 24, 2013101506,   , MTWC,   0, 154N, 1072E,  50,    0, TS
WP, 24, 2013101512,   , MTWC,   0, 154N, 1062E,  40,    0, TS
WP, 24, 2013101518,   , MTWC,   0, 155N, 1052E,  35,    0, TS
WP, 24, 2013101600,   , MTWC,   0, 156N, 1041E,  30,    0, TD
WP, 24, 2013101606,   , MTWC,   0, 158N, 1032E,  30,    0, TD
WP, 24, 2013101612,   , MTWC,   0, 159N, 1024E,  25,    0, TD
WP, 24, 2013101618,   , MTWC,   0, 162N, 1015E,  25,    0, TD
