WP, 60, 2013082906,   , MTWC, 0, 293N, 1691E,  20, 1005, DB,
WP, 60, 2013082912,   , MTWC, 0, 290N, 1690E,  20, 1005, DB,
WP, 60, 2013082918,   , MTWC, 0, 288N, 1691E,  25, 1003, TD,
WP, 60, 2013083000,   , MTWC, 0, 288N, 1695E,  30, 1002, TD,
WP, 60, 2013083006,   , MTWC, 0, 291N, 1700E,  35, 1000, TS,
WP, 60, 2013083012,   , MTWC, 0, 296N, 1709E,  40,  998, TS,
WP, 60, 2013083018,   , MTWC, 0, 303N, 1718E,  45,  996, TS,
WP, 60, 2013083100,   , MTWC, 0, 312N, 1730E,  45,  996, TS,
WP, 60, 2013083106,   , MTWC, 0, 319N, 1740E,  35,  998, TS,
WP, 60, 2013083112,   , MTWC, 0, 325N, 1748E,  35,  999, TS,
WP, 60, 2013083118,   , MTWC, 0, 330N, 1754E,  30, 1000, SD,
WP, 60, 2013090100,   , MTWC, 0, 333N, 1760E,  35,  998, SS,
WP, 60, 2013090106,   , MTWC, 0, 335N, 1764E,  35,  998, SS,
WP, 60, 2013090112,   , MTWC, 0, 336N, 1767E,  35,  998, SS,
WP, 60, 2013090118,   , MTWC, 0, 337N, 1769E,  40,  996, SS,
WP, 60, 2013090200,   , MTWC, 0, 337N, 1771E,  40,  996, SS,
WP, 60, 2013090206,   , MTWC, 0, 337N, 1773E,  40,  996, SS,
WP, 60, 2013090212,   , MTWC, 0, 337N, 1774E,  40,  996, SS,
WP, 60, 2013090218,   , MTWC, 0, 336N, 1774E,  40,  997, SS,
WP, 60, 2013090300,   , MTWC, 0, 335N, 1773E,  35,  999, SS,
WP, 60, 2013090306,   , MTWC, 0, 332N, 1771E,  35,  999, SS,
WP, 60, 2013090312,   , MTWC, 0, 327N, 1770E,  35, 1000, SS,
WP, 60, 2013090318,   , MTWC, 0, 323N, 1768E,  35, 1000, SS,
WP, 60, 2013090400,   , MTWC, 0, 320N, 1762E,  30, 1002, SD,
WP, 60, 2013090406,   , MTWC, 0, 318N, 1755E,  30, 1002, SD,
WP, 60, 2013090412,   , MTWC, 0, 319N, 1746E,  30, 1002, SD,
WP, 60, 2013090418,   , MTWC, 0, 317N, 1736E,  25, 1004, SD,
WP, 60, 2013090500,   , MTWC, 0, 315N, 1725E,  25, 1005, SD,
WP, 60, 2013090506,   , MTWC, 0, 312N, 1716E,  20, 1007, SD,
WP, 60, 2013090512,   , MTWC, 0, 310N, 1711E,  20, 1008, SD,
WP, 60, 2013090518,   , MTWC, 0, 309N, 1706E,  15, 1010, SD,
WP, 60, 2013090600,   , MTWC, 0, 308N, 1702E,  15, 1010, SD,
WP, 60, 2013090606,   , MTWC, 0, 306N, 1700E,  15, 1011, SD,
WP, 60, 2013090612,   , MTWC, 0, 303N, 1699E,  15, 1011, SD,
WP, 60, 2013090618,   , MTWC, 0, 302N, 1698E,  15, 1011, SD,
