WP, 23, 2014122706,   , MTWC,   0,  68N, 1307E,  25,    0, TD
WP, 23, 2014122712,   , MTWC,   0,  70N, 1301E,  30,    0, TD
WP, 23, 2014122718,   , MTWC,   0,  73N, 1293E,  35,    0, TS
WP, 23, 2014122800,   , MTWC,   0,  74N, 1287E,  40,    0, TS
WP, 23, 2014122806,   , MTWC,   0,  79N, 1280E,  45,    0, TS
WP, 23, 2014122812,   , MTWC,   0,  82N, 1272E,  55,    0, TS
WP, 23, 2014122818,   , MTWC,   0,  86N, 1266E,  65,    0, TY
WP, 23, 2014122900,   , MTWC,   0,  90N, 1260E,  50,    0, TS
WP, 23, 2014122906,   , MTWC,   0,  94N, 1254E,  45,    0, TS
WP, 23, 2014122912,   , MTWC,   0,  95N, 1247E,  55,    0, TS
WP, 23, 2014122918,   , MTWC,   0,  99N, 1241E,  50,    0, TS
WP, 23, 2014123000,   , MTWC,   0, 101N, 1230E,  45,    0, TS
WP, 23, 2014123006,   , MTWC,   0,  96N, 1224E,  40,    0, TS
WP, 23, 2014123012,   , MTWC,   0,  94N, 1221E,  35,    0, TS
WP, 23, 2014123018,   , MTWC,   0,  90N, 1218E,  35,    0, TS
WP, 23, 2014123100,   , MTWC,   0,  87N, 1216E,  30,    0, TD
WP, 23, 2014123106,   , MTWC,   0,  82N, 1208E,  30,    0, TD
WP, 23, 2014123112,   , MTWC,   0,  75N, 1204E,  30,    0, TD
WP, 23, 2014123118,   , MTWC,   0,  69N, 1195E,  25,    0, TD
WP, 23, 2015010100,   , MTWC,   0,  68N, 1190E,  25,    0, TD
WP, 23, 2015010106,   , MTWC,   0,  66N, 1185E,  25,    0, TD
WP, 23, 2015010112,   , MTWC,   0,  64N, 1175E,  25,    0, TD
