WP, 60, 2014060900,   , MTWC,   0, 209N, 1200E,  30,    0, TD,   0,    ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   W,   0,    ,   0,   0,      MITAG, S,
WP, 60, 2014060906,   , MTWC,   0, 210N, 1207E,  35,    0, TS
WP, 60, 2014060912,   , MTWC,   0, 211N, 1211E,  35,    0, TS
WP, 60, 2014060918,   , MTWC,   0, 211N, 1216E,  40,    0, TS
WP, 60, 2014061000,   , MTWC,   0, 214N, 1220E,  35,    0, TS
WP, 60, 2014061006,   , MTWC,   0, 220N, 1226E,  35,    0, TS
WP, 60, 2014061012,   , MTWC,   0, 224N, 1237E,  40,    0, TS
WP, 60, 2014061018,   , MTWC,   0, 231N, 1248E,  45,    0, TS
WP, 60, 2014061100,   , MTWC,   0, 234N, 1259E,  45,    0, TS
WP, 60, 2014061106,   , MTWC,   0, 240N, 1281E,  45,    0, TS
WP, 60, 2014061112,   , MTWC,   0, 256N, 1301E,  40,    0, TS
WP, 60, 2014061118,   , MTWC,   0, 272N, 1325E,  45,    0, TS
WP, 60, 2014061200,   , MTWC,   0, 288N, 1359E,  35,    0, TS
WP, 60, 2014061206,   , MTWC,   0, 295N, 1374E,  30,    0, EX
WP, 60, 2014061212,   , MTWC,   0, 306N, 1396E,  30,    0, EX
