进入西北太平洋
CP, 01, 2015071300,   , MTWC,   0, 131N, 1795E,  55,    0, TS
CP, 01, 2015071306,   , MTWC,   0, 136N, 1787E,  65,    0, TY
CP, 01, 2015071312,   , MTWC,   0, 142N, 1775E,  75,    0, TY
CP, 01, 2015071318,   , MTWC,   0, 147N, 1764E,  85,    0, TY
CP, 01, 2015071400,   , MTWC,   0, 152N, 1754E,  95,    0, TY
CP, 01, 2015071406,   , MTWC,   0, 158N, 1743E,  90,    0, TY
CP, 01, 2015071412,   , MTWC,   0, 164N, 1732E,  75,    0, TY
CP, 01, 2015071418,   , MTWC,   0, 167N, 1720E,  70,    0, TY
CP, 01, 2015071500,   , MTWC,   0, 170N, 1713E,  65,    0, TY
CP, 01, 2015071506,   , MTWC,   0, 174N, 1701E,  55,    0, TS
CP, 01, 2015071512,   , MTWC,   0, 178N, 1688E,  55,    0, TS
CP, 01, 2015071518,   , MTWC,   0, 182N, 1677E,  55,    0, TS
CP, 01, 2015071600,   , MTWC,   0, 186N, 1666E,  45,    0, TS
CP, 01, 2015071606,   , MTWC,   0, 186N, 1654E,  50,    0, TS
CP, 01, 2015071612,   , MTWC,   0, 184N, 1639E,  50,    0, TS
CP, 01, 2015071618,   , MTWC,   0, 184N, 1622E,  40,    0, TS
CP, 01, 2015071700,   , MTWC,   0, 185N, 1610E,  35,    0, TS
CP, 01, 2015071706,   , MTWC,   0, 184N, 1597E,  35,    0, TS
CP, 01, 2015071712,   , MTWC,   0, 182N, 1585E,  40,    0, TS
CP, 01, 2015071718,   , MTWC,   0, 181N, 1576E,  45,    0, TS
CP, 01, 2015071800,   , MTWC,   0, 180N, 1565E,  35,    0, TS
CP, 01, 2015071806,   , MTWC,   0, 179N, 1556E,  30,    0, TD
CP, 01, 2015071812,   , MTWC,   0, 180N, 1544E,  30,    0, TD
CP, 01, 2015071818,   , MTWC,   0, 182N, 1531E,  30,    0, TD
CP, 01, 2015071900,   , MTWC,   0, 186N, 1522E,  35,    0, TS
CP, 01, 2015071906,   , MTWC,   0, 192N, 1515E,  35,    0, TS
CP, 01, 2015071912,   , MTWC,   0, 199N, 1504E,  40,    0, TS
CP, 01, 2015071918,   , MTWC,   0, 203N, 1495E,  45,    0, TS
CP, 01, 2015072000,   , MTWC,   0, 210N, 1485E,  50,    0, TS
CP, 01, 2015072006,   , MTWC,   0, 214N, 1475E,  60,    0, TS
CP, 01, 2015072012,   , MTWC,   0, 217N, 1463E,  70,    0, TY
CP, 01, 2015072018,   , MTWC,   0, 219N, 1454E,  80,    0, TY
CP, 01, 2015072100,   , MTWC,   0, 223N, 1440E,  85,    0, TY
CP, 01, 2015072106,   , MTWC,   0, 226N, 1429E,  90,    0, TY
CP, 01, 2015072112,   , MTWC,   0, 229N, 1417E,  95,    0, TY
CP, 01, 2015072118,   , MTWC,   0, 230N, 1405E,  95,    0, TY
CP, 01, 2015072200,   , MTWC,   0, 232N, 1396E,  95,    0, TY
CP, 01, 2015072206,   , MTWC,   0, 236N, 1385E,  95,    0, TY
CP, 01, 2015072212,   , MTWC,   0, 238N, 1377E,  95,    0, TY
CP, 01, 2015072215,   , MTWC,   0, 240N, 1373E, 100,    0, TY
CP, 01, 2015072218,   , MTWC,   0, 241N, 1368E,  95,    0, TY
CP, 01, 2015072300,   , MTWC,   0, 244N, 1359E,  95,    0, TY
CP, 01, 2015072306,   , MTWC,   0, 246N, 1351E,  85,    0, TY
CP, 01, 2015072312,   , MTWC,   0, 246N, 1343E,  85,    0, TY
CP, 01, 2015072318,   , MTWC,   0, 247N, 1334E,  85,    0, TY
CP, 01, 2015072400,   , MTWC,   0, 248N, 1327E,  85,    0, TY
CP, 01, 2015072406,   , MTWC,   0, 249N, 1318E,  85,    0, TY
CP, 01, 2015072412,   , MTWC,   0, 250N, 1311E,  75,    0, TY
CP, 01, 2015072418,   , MTWC,   0, 255N, 1306E,  70,    0, TY
CP, 01, 2015072500,   , MTWC,   0, 262N, 1300E,  75,    0, TY
CP, 01, 2015072506,   , MTWC,   0, 273N, 1295E,  65,    0, TY
CP, 01, 2015072512,   , MTWC,   0, 284N, 1292E,  55,    0, TS
CP, 01, 2015072518,   , MTWC,   0, 297N, 1291E,  45,    0, TS
CP, 01, 2015072600,   , MTWC,   0, 310N, 1292E,  45,    0, TS
CP, 01, 2015072606,   , MTWC,   0, 322N, 1294E,  40,    0, TS
CP, 01, 2015072612,   , MTWC,   0, 335N, 1300E,  30,    0, TD
CP, 01, 2015072618,   , MTWC,   0, 348N, 1308E,  25,    0, TD
CP, 01, 2015072700,   , MTWC,   0, 358N, 1317E,  20,    0, EX
CP, 01, 2015072706,   , MTWC,   0, 365N, 1327E,  20,    0, EX
CP, 01, 2015072712,   , MTWC,   0, 372N, 1341E,  25,    0, EX
CP, 01, 2015072718,   , MTWC,   0, 380N, 1358E,  25,    0, EX
