进入西北太平洋
CP, 03, 2015090118,   , MTWC,   0, 237N, 1799E,  85,    0, TY
CP, 03, 2015090200,   , MTWC,   0, 240N, 1797E,  90,    0, TY
CP, 03, 2015090206,   , MTWC,   0, 243N, 1793E,  90,    0, TY
CP, 03, 2015090212,   , MTWC,   0, 245N, 1789E,  85,    0, TY
CP, 03, 2015090218,   , MTWC,   0, 247N, 1784E,  85,    0, TY
CP, 03, 2015090300,   , MTWC,   0, 247N, 1782E,  85,    0, TY
CP, 03, 2015090306,   , MTWC,   0, 246N, 1780E,  90,    0, TY
CP, 03, 2015090312,   , MTWC,   0, 244N, 1777E,  80,    0, TY
CP, 03, 2015090318,   , MTWC,   0, 241N, 1774E,  75,    0, TY
CP, 03, 2015090400,   , MTWC,   0, 238N, 1769E,  75,    0, TY
CP, 03, 2015090406,   , MTWC,   0, 236N, 1763E,  70,    0, TY
CP, 03, 2015090412,   , MTWC,   0, 235N, 1757E,  70,    0, TY
CP, 03, 2015090418,   , MTWC,   0, 235N, 1748E,  70,    0, TY
CP, 03, 2015090500,   , MTWC,   0, 235N, 1739E,  75,    0, TY
CP, 03, 2015090506,   , MTWC,   0, 236N, 1728E,  80,    0, TY
CP, 03, 2015090512,   , MTWC,   0, 236N, 1717E,  85,    0, TY
CP, 03, 2015090518,   , MTWC,   0, 237N, 1706E,  90,    0, TY
CP, 03, 2015090600,   , MTWC,   0, 239N, 1695E,  85,    0, TY
CP, 03, 2015090606,   , MTWC,   0, 240N, 1686E,  85,    0, TY
CP, 03, 2015090612,   , MTWC,   0, 243N, 1675E,  85,    0, TY
CP, 03, 2015090618,   , MTWC,   0, 244N, 1663E,  85,    0, TY
CP, 03, 2015090700,   , MTWC,   0, 247N, 1654E,  85,    0, TY
CP, 03, 2015090706,   , MTWC,   0, 250N, 1642E,  85,    0, TY
CP, 03, 2015090712,   , MTWC,   0, 252N, 1629E,  90,    0, TY
CP, 03, 2015090718,   , MTWC,   0, 256N, 1617E,  85,    0, TY
CP, 03, 2015090800,   , MTWC,   0, 261N, 1602E,  85,    0, TY
CP, 03, 2015090806,   , MTWC,   0, 267N, 1587E,  90,    0, TY
CP, 03, 2015090812,   , MTWC,   0, 272N, 1573E,  90,    0, TY
CP, 03, 2015090818,   , MTWC,   0, 281N, 1559E,  80,    0, TY
CP, 03, 2015090900,   , MTWC,   0, 290N, 1547E,  85,    0, TY
CP, 03, 2015090906,   , MTWC,   0, 298N, 1534E,  90,    0, TY
CP, 03, 2015090912,   , MTWC,   0, 307N, 1523E,  85,    0, TY
CP, 03, 2015090918,   , MTWC,   0, 316N, 1510E,  70,    0, TY
CP, 03, 2015091000,   , MTWC,   0, 326N, 1501E,  55,    0, TS
CP, 03, 2015091006,   , MTWC,   0, 338N, 1494E,  55,    0, TS
CP, 03, 2015091012,   , MTWC,   0, 350N, 1487E,  60,    0, TS
CP, 03, 2015091018,   , MTWC,   0, 368N, 1480E,  60,    0, TS
CP, 03, 2015091100,   , MTWC,   0, 385N, 1473E,  60,    0, TS
CP, 03, 2015091106,   , MTWC,   0, 406N, 1473E,  55,    0, TS
CP, 03, 2015091112,   , MTWC,   0, 432N, 1481E,  50,    0, EX
CP, 03, 2015091118,   , MTWC,   0, 460N, 1486E,  50,    0, EX
CP, 03, 2015091200,   , MTWC,   0, 488N, 1498E,  50,    0, EX
CP, 03, 2015091206,   , MTWC,   0, 499N, 1517E,  50,    0, EX
CP, 03, 2015091212,   , MTWC,   0, 514N, 1538E,  50,    0, EX
CP, 03, 2015091218,   , MTWC,   0, 523N, 1560E,  50,    0, EX
CP, 03, 2015091300,   , MTWC,   0, 531N, 1594E,  50,    0, EX
