WP, 03, 2015030918,   , MTWC, 0,  56N, 1721E,  20, 1006, DB,  0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Bavi,
WP, 03, 2015031000,   , MTWC, 0,  57N, 1721E,  20, 1006, DB,
WP, 03, 2015031006,   , MTWC, 0,  59N, 1720E,  20, 1005, DB,
WP, 03, 2015031012,   , MTWC, 0,  62N, 1717E,  20, 1005, DB,
WP, 03, 2015031018,   , MTWC, 0,  65N, 1713E,  25, 1003, TD,
WP, 03, 2015031100,   , MTWC, 0,  67N, 1708E,  25, 1002, TD,
WP, 03, 2015031106,   , MTWC, 0,  68N, 1699E,  30, 1000, TD,
WP, 03, 2015031112,   , MTWC, 0,  69N, 1690E,  35,  998, TS,
WP, 03, 2015031118,   , MTWC, 0,  71N, 1680E,  40,  996, TS,
WP, 03, 2015031200,   , MTWC, 0,  76N, 1669E,  40,  995, TS,
WP, 03, 2015031206,   , MTWC, 0,  80N, 1656E,  45,  992, TS,
WP, 03, 2015031212,   , MTWC, 0,  82N, 1641E,  45,  991, TS,
WP, 03, 2015031218,   , MTWC, 0,  85N, 1627E,  50,  988, TS,
WP, 03, 2015031300,   , MTWC, 0,  89N, 1613E,  50,  987, TS,
WP, 03, 2015031306,   , MTWC, 0,  96N, 1600E,  55,  984, TS,
WP, 03, 2015031312,   , MTWC, 0, 104N, 1585E,  55,  983, TS,
WP, 03, 2015031318,   , MTWC, 0, 112N, 1567E,  60,  980, TS,
WP, 03, 2015031400,   , MTWC, 0, 121N, 1550E,  65,  977, TY,
WP, 03, 2015031406,   , MTWC, 0, 126N, 1535E,  65,  977, TY,
WP, 03, 2015031412,   , MTWC, 0, 132N, 1521E,  65,  977, TY,
WP, 03, 2015031418,   , MTWC, 0, 139N, 1503E,  65,  978, TY,
WP, 03, 2015031500,   , MTWC, 0, 141N, 1485E,  65,  978, TY,
WP, 03, 2015031506,   , MTWC, 0, 140N, 1466E,  60,  980, TS,
WP, 03, 2015031512,   , MTWC, 0, 138N, 1448E,  60,  982, TS,
WP, 03, 2015031518,   , MTWC, 0, 135N, 1426E,  55,  984, TS,
WP, 03, 2015031600,   , MTWC, 0, 136N, 1409E,  55,  983, TS,
WP, 03, 2015031606,   , MTWC, 0, 140N, 1397E,  60,  979, TS,
WP, 03, 2015031612,   , MTWC, 0, 143N, 1385E,  65,  977, TY,
WP, 03, 2015031618,   , MTWC, 0, 149N, 1374E,  55,  983, TS,
WP, 03, 2015031700,   , MTWC, 0, 154N, 1364E,  50,  986, TS,
WP, 03, 2015031706,   , MTWC, 0, 155N, 1354E,  45,  990, TS,
WP, 03, 2015031712,   , MTWC, 0, 156N, 1344E,  40,  994, TS,
WP, 03, 2015031718,   , MTWC, 0, 157N, 1336E,  35,  996, TS,
WP, 03, 2015031800,   , MTWC, 0, 158N, 1328E,  30,  998, LO,
WP, 03, 2015031806,   , MTWC, 0, 160N, 1320E,  30,  999, LO,
WP, 03, 2015031812,   , MTWC, 0, 161N, 1311E,  25, 1002, LO,
WP, 03, 2015031818,   , MTWC, 0, 161N, 1305E,  25, 1002, LO,
WP, 03, 2015031900,   , MTWC, 0, 160N, 1300E,  25, 1003, LO,
WP, 03, 2015031906,   , MTWC, 0, 158N, 1291E,  20, 1005, LO,
WP, 03, 2015031912,   , MTWC, 0, 154N, 1282E,  20, 1005, LO,
WP, 03, 2015031918,   , MTWC, 0, 150N, 1275E,  20, 1005, LO,
WP, 03, 2015032000,   , MTWC, 0, 148N, 1267E,  20, 1006, LO,
WP, 03, 2015032006,   , MTWC, 0, 145N, 1260E,  20, 1006, LO,
WP, 03, 2015032012,   , MTWC, 0, 144N, 1251E,  20, 1006, LO,
WP, 03, 2015032018,   , MTWC, 0, 145N, 1241E,  20, 1006, LO,
WP, 03, 2015032100,   , MTWC, 0, 145N, 1232E,  20, 1006, LO,
WP, 03, 2015032106,   , MTWC, 0, 143N, 1224E,  20, 1006, LO,
WP, 03, 2015032112,   , MTWC, 0, 140N, 1219E,  15, 1008, LO,
WP, 03, 2015032118,   , MTWC, 0, 139N, 1214E,  15, 1009, LO,
