WP, 17, 2015081306,   , MTWC, 0, 130N, 1657E,  20, 1005, WV, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Atsani,
WP, 17, 2015081312,   , MTWC, 0, 135N, 1652E,  20, 1005, WV,
WP, 17, 2015081318,   , MTWC, 0, 140N, 1646E,  20, 1005, WV,
WP, 17, 2015081400,   , MTWC, 0, 144N, 1640E,  25, 1003, WV,
WP, 17, 2015081406,   , MTWC, 0, 147N, 1635E,  25, 1002, TD,
WP, 17, 2015081412,   , MTWC, 0, 149N, 1630E,  30, 1000, TD,
WP, 17, 2015081418,   , MTWC, 0, 149N, 1626E,  35,  998, TS,
WP, 17, 2015081500,   , MTWC, 0, 148N, 1623E,  40,  995, TS,
WP, 17, 2015081506,   , MTWC, 0, 148N, 1620E,  45,  992, TS,
WP, 17, 2015081512,   , MTWC, 0, 149N, 1617E,  50,  988, TS,
WP, 17, 2015081518,   , MTWC, 0, 148N, 1614E,  50,  986, TS,
WP, 17, 2015081600,   , MTWC, 0, 146N, 1610E,  55,  982, TS,
WP, 17, 2015081606,   , MTWC, 0, 144N, 1605E,  65,  976, TY,
WP, 17, 2015081612,   , MTWC, 0, 144N, 1600E,  70,  974, TY,
WP, 17, 2015081618,   , MTWC, 0, 144N, 1596E,  80,  968, TY,
WP, 17, 2015081700,   , MTWC, 0, 144N, 1591E,  90,  962, TY,
WP, 17, 2015081706,   , MTWC, 0, 146N, 1585E,  95,  958, TY,
WP, 17, 2015081712,   , MTWC, 0, 151N, 1579E, 105,  943, TY,
WP, 17, 2015081718,   , MTWC, 0, 156N, 1572E, 115,  934, TY,
WP, 17, 2015081800,   , MTWC, 0, 160N, 1562E, 120,  932, TY,
WP, 17, 2015081806,   , MTWC, 0, 163N, 1554E, 122,  930, TY,
WP, 17, 2015081812,   , MTWC, 0, 170N, 1548E, 125,  926, TY,
WP, 17, 2015081818,   , MTWC, 0, 179N, 1538E, 130,  922, TY,
WP, 17, 2015081900,   , MTWC, 0, 185N, 1527E, 135,  915, ST,
WP, 17, 2015081906,   , MTWC, 0, 190N, 1519E, 140,  910, ST,
WP, 17, 2015081912,   , MTWC, 0, 196N, 1512E, 140,  909, ST,
WP, 17, 2015081918,   , MTWC, 0, 204N, 1503E, 135,  910, ST,
WP, 17, 2015082000,   , MTWC, 0, 212N, 1494E, 135,  911, ST,
WP, 17, 2015082006,   , MTWC, 0, 220N, 1484E, 132,  914, ST,
WP, 17, 2015082012,   , MTWC, 0, 226N, 1477E, 130,  917, TY,
WP, 17, 2015082018,   , MTWC, 0, 233N, 1471E, 120,  925, TY,
WP, 17, 2015082100,   , MTWC, 0, 241N, 1464E, 115,  935, TY,
WP, 17, 2015082106,   , MTWC, 0, 249N, 1460E, 105,  944, TY,
WP, 17, 2015082112,   , MTWC, 0, 257N, 1456E,  95,  950, TY,
WP, 17, 2015082118,   , MTWC, 0, 264N, 1452E,  90,  953, TY,
WP, 17, 2015082200,   , MTWC, 0, 270N, 1449E,  90,  953, TY,
WP, 17, 2015082206,   , MTWC, 0, 276N, 1449E,  90,  954, TY,
WP, 17, 2015082212,   , MTWC, 0, 283N, 1451E,  90,  954, TY,
WP, 17, 2015082218,   , MTWC, 0, 290N, 1453E,  85,  956, TY,
WP, 17, 2015082300,   , MTWC, 0, 296N, 1456E,  85,  957, TY,
WP, 17, 2015082306,   , MTWC, 0, 301N, 1461E,  85,  957, TY,
WP, 17, 2015082312,   , MTWC, 0, 307N, 1467E,  80,  960, TY,
WP, 17, 2015082318,   , MTWC, 0, 314N, 1474E,  75,  963, TY,
WP, 17, 2015082400,   , MTWC, 0, 321N, 1482E,  75,  963, TY,
WP, 17, 2015082406,   , MTWC, 0, 325N, 1492E,  75,  964, TY,
WP, 17, 2015082412,   , MTWC, 0, 329N, 1510E,  75,  964, TY,
WP, 17, 2015082418,   , MTWC, 0, 340N, 1536E,  70,  966, TY,
WP, 17, 2015082500,   , MTWC, 0, 355N, 1556E,  65,  968, TY,
WP, 17, 2015082506,   , MTWC, 0, 377N, 1576E,  60,  964, TS,
WP, 17, 2015082512,   , MTWC, 0, 393N, 1593E,  70,  959, EX,
WP, 17, 2015082518,   , MTWC, 0, 395N, 1610E,  65,  962, EX,
WP, 17, 2015082600,   , MTWC, 0, 398N, 1625E,  65,  964, EX,
WP, 17, 2015082606,   , MTWC, 0, 401N, 1638E,  60,  965, EX,
WP, 17, 2015082612,   , MTWC, 0, 405N, 1642E,  55,  968, EX,
WP, 17, 2015082618,   , MTWC, 0, 406N, 1644E,  55,  969, EX,
WP, 17, 2015082700,   , MTWC, 0, 406N, 1646E,  50,  972, EX,
WP, 17, 2015082706,   , MTWC, 0, 405N, 1647E,  45,  976, EX,
WP, 17, 2015082712,   , MTWC, 0, 403N, 1648E,  45,  978, EX,
WP, 17, 2015082718,   , MTWC, 0, 403N, 1649E,  40,  982, EX,
WP, 17, 2015082800,   , MTWC, 0, 404N, 1651E,  40,  985, EX,
WP, 17, 2015082806,   , MTWC, 0, 408N, 1654E,  35,  988, EX,
WP, 17, 2015082812,   , MTWC, 0, 420N, 1659E,  35,  990, EX,
WP, 17, 2015082818,   , MTWC, 0, 436N, 1665E,  35,  992, EX,
WP, 17, 2015082900,   , MTWC, 0, 455N, 1674E,  30,  994, EX,
WP, 17, 2015082906,   , MTWC, 0, 478N, 1682E,  25,  997, EX,
WP, 17, 2015082912,   , MTWC, 0, 505N, 1680E,  25,  998, EX,
