WP, 20, 2016092000,   , MTWC,   0,  90N, 1548E,  15,    0, DB
WP, 20, 2016092006,   , MTWC,   0,  92N, 1533E,  20,    0, DB
WP, 20, 2016092012,   , MTWC,   0,  94N, 1518E,  20,    0, DB
WP, 20, 2016092018,   , MTWC,   0,  96N, 1503E,  25,    0, TD
WP, 20, 2016092100,   , MTWC,   0, 100N, 1490E,  25,    0, TD
WP, 20, 2016092106,   , MTWC,   0, 103N, 1475E,  30,    0, TD
WP, 20, 2016092112,   , MTWC,   0, 106N, 1461E,  30,    0, TD
WP, 20, 2016092118,   , MTWC,   0, 110N, 1449E,  35,    0, TS
WP, 20, 2016092200,   , MTWC,   0, 116N, 1442E,  35,    0, TS
WP, 20, 2016092206,   , MTWC,   0, 123N, 1433E,  35,    0, TS
WP, 20, 2016092212,   , MTWC,   0, 133N, 1418E,  35,    0, TS
WP, 20, 2016092218,   , MTWC,   0, 146N, 1408E,  35,    0, TS
WP, 20, 2016092300,   , MTWC,   0, 157N, 1401E,  40,    0, TS
WP, 20, 2016092306,   , MTWC,   0, 161N, 1394E,  45,    0, TS
WP, 20, 2016092312,   , MTWC,   0, 164N, 1385E,  50,    0, TS
WP, 20, 2016092318,   , MTWC,   0, 169N, 1375E,  55,    0, TS
WP, 20, 2016092400,   , MTWC,   0, 174N, 1365E,  60,    0, TS
WP, 20, 2016092406,   , MTWC,   0, 179N, 1353E,  65,    0, TY
WP, 20, 2016092412,   , MTWC,   0, 184N, 1341E,  70,    0, TY
WP, 20, 2016092418,   , MTWC,   0, 189N, 1328E,  75,    0, TY
WP, 20, 2016092500,   , MTWC,   0, 194N, 1316E,  80,    0, TY
WP, 20, 2016092506,   , MTWC,   0, 199N, 1304E,  80,    0, TY
WP, 20, 2016092512,   , MTWC,   0, 201N, 1294E,  85,    0, TY
WP, 20, 2016092518,   , MTWC,   0, 205N, 1282E,  85,    0, TY
WP, 20, 2016092600,   , MTWC,   0, 208N, 1273E,  90,    0, TY
WP, 20, 2016092606,   , MTWC,   0, 214N, 1262E,  95,    0, TY
WP, 20, 2016092612,   , MTWC,   0, 219N, 1252E, 100,    0, TY
WP, 20, 2016092618,   , MTWC,   0, 224N, 1241E, 105,    0, TY
WP, 20, 2016092700,   , MTWC,   0, 232N, 1229E, 120,    0, TY
WP, 20, 2016092706,   , MTWC,   0, 241N, 1217E, 105,    0, TY
WP, 20, 2016092712,   , MTWC,   0, 242N, 1205E,  70,    0, TY
WP, 20, 2016092718,   , MTWC,   0, 245N, 1194E,  55,    0, TS
WP, 20, 2016092800,   , MTWC,   0, 249N, 1181E,  55,    0, TS
WP, 20, 2016092806,   , MTWC,   0, 252N, 1169E,  40,    0, TS
WP, 20, 2016092812,   , MTWC,   0, 253N, 1164E,  35,    0, TS
WP, 20, 2016092818,   , MTWC,   0, 256N, 1161E,  30,    0, TD
WP, 20, 2016092900,   , MTWC,   0, 261N, 1162E,  30,    0, TD
WP, 20, 2016092906,   , MTWC,   0, 267N, 1167E,  25,    0, TD
WP, 20, 2016092912,   , MTWC,   0, 276N, 1171E,  20,    0, DB
WP, 20, 2016092918,   , MTWC,   0, 288N, 1175E,  20,    0, DB
WP, 20, 2016093000,   , MTWC,   0, 301N, 1180E,  20,    0, DB
