WP, 23, 2016100200,   , MTWC,   0, 146N, 1714W,  15,    0, DB
WP, 23, 2016100206,   , MTWC,   0, 147N, 1724W,  15,    0, DB
WP, 23, 2016100212,   , MTWC,   0, 149N, 1735W,  20,    0, DB
WP, 23, 2016100218,   , MTWC,   0, 152N, 1745W,  25,    0, TD
WP, 23, 2016100300,   , MTWC,   0, 155N, 1757W,  25,    0, TD
WP, 23, 2016100306,   , MTWC,   0, 159N, 1770W,  30,    0, TD
WP, 23, 2016100312,   , MTWC,   0, 162N, 1784W,  35,    0, TS
WP, 23, 2016100318,   , MTWC,   0, 164N, 1798W,  40,    0, TS
WP, 23, 2016100400,   , MTWC,   0, 166N, 1787E,  35,    0, TS
WP, 23, 2016100406,   , MTWC,   0, 169N, 1776E,  30,    0, TD
WP, 23, 2016100412,   , MTWC,   0, 172N, 1765E,  30,    0, LO
WP, 23, 2016100418,   , MTWC,   0, 175N, 1759E,  30,    0, LO
WP, 23, 2016100500,   , MTWC,   0, 179N, 1745E,  30,    0, LO
WP, 23, 2016100506,   , MTWC,   0, 182N, 1731E,  30,    0, LO
WP, 23, 2016100512,   , MTWC,   0, 181N, 1716E,  35,    0, LO
WP, 23, 2016100518,   , MTWC,   0, 179N, 1701E,  35,    0, LO
WP, 23, 2016100600,   , MTWC,   0, 179N, 1687E,  35,    0, TS
WP, 23, 2016100606,   , MTWC,   0, 180N, 1669E,  35,    0, TS
WP, 23, 2016100612,   , MTWC,   0, 181N, 1654E,  30,    0, TD
WP, 23, 2016100618,   , MTWC,   0, 181N, 1643E,  30,    0, TD
WP, 23, 2016100700,   , MTWC,   0, 183N, 1633E,  35,    0, TS
WP, 23, 2016100706,   , MTWC,   0, 185N, 1619E,  35,    0, TS
WP, 23, 2016100712,   , MTWC,   0, 188N, 1603E,  40,    0, TS
WP, 23, 2016100718,   , MTWC,   0, 191N, 1588E,  40,    0, TS
WP, 23, 2016100800,   , MTWC,   0, 193N, 1573E,  40,    0, TS
WP, 23, 2016100806,   , MTWC,   0, 195N, 1559E,  50,    0, TS
WP, 23, 2016100812,   , MTWC,   0, 199N, 1543E,  55,    0, TS
WP, 23, 2016100818,   , MTWC,   0, 206N, 1527E,  55,    0, TS
WP, 23, 2016100900,   , MTWC,   0, 212N, 1511E,  60,    0, TS
WP, 23, 2016100906,   , MTWC,   0, 221N, 1498E,  70,    0, TY
WP, 23, 2016100912,   , MTWC,   0, 230N, 1484E,  75,    0, TY
WP, 23, 2016100918,   , MTWC,   0, 238N, 1473E,  80,    0, TY
WP, 23, 2016101000,   , MTWC,   0, 246N, 1464E,  90,    0, TY
WP, 23, 2016101006,   , MTWC,   0, 255N, 1459E, 105,    0, TY
WP, 23, 2016101012,   , MTWC,   0, 263N, 1458E, 125,    0, TY
WP, 23, 2016101018,   , MTWC,   0, 272N, 1458E, 115,    0, TY
WP, 23, 2016101100,   , MTWC,   0, 278N, 1460E, 105,    0, TY
WP, 23, 2016101106,   , MTWC,   0, 285N, 1467E, 100,    0, TY
WP, 23, 2016101112,   , MTWC,   0, 293N, 1475E, 125,    0, TY
WP, 23, 2016101118,   , MTWC,   0, 303N, 1489E, 140,    0, ST
WP, 23, 2016101200,   , MTWC,   0, 313N, 1510E, 130,    0, ST
WP, 23, 2016101206,   , MTWC,   0, 326N, 1537E, 115,    0, TY
WP, 23, 2016101212,   , MTWC,   0, 339N, 1568E, 105,    0, TY
WP, 23, 2016101218,   , MTWC,   0, 359N, 1610E,  90,    0, TY
WP, 23, 2016101300,   , MTWC,   0, 382N, 1662E,  75,    0, TY
WP, 23, 2016101306,   , MTWC,   0, 403N, 1712E,  65,    0, TY
WP, 23, 2016101312,   , MTWC,   0, 417N, 1766E,  65,    0, EX
WP, 23, 2016101318,   , MTWC,   0, 421N, 1764W,  65,    0, EX
WP, 23, 2016101400,   , MTWC,   0, 425N, 1730W,  65,    0, EX
