WP, 09, 2018062418,   , MTWC,   0, 203N, 1460E,  20,    0, SS
WP, 09, 2018062500,   , MTWC,   0, 200N, 1445E,  20,    0, SS
WP, 09, 2018062506,   , MTWC,   0, 199N, 1430E,  25,    0, SS
WP, 09, 2018062512,   , MTWC,   0, 198N, 1415E,  25,    0, SS
WP, 09, 2018062518,   , MTWC,   0, 197N, 1400E,  25,    0, SS
WP, 09, 2018062600,   , MTWC,   0, 195N, 1387E,  20,    0, DB
WP, 09, 2018062606,   , MTWC,   0, 194N, 1375E,  20,    0, DB
WP, 09, 2018062612,   , MTWC,   0, 192N, 1367E,  20,    0, DB
WP, 09, 2018062618,   , MTWC,   0, 189N, 1362E,  20,    0, DB
WP, 09, 2018062700,   , MTWC,   0, 185N, 1357E,  25,    0, TD
WP, 09, 2018062706,   , MTWC,   0, 184N, 1347E,  25,    0, TD
WP, 09, 2018062712,   , MTWC,   0, 187N, 1339E,  30,    0, TD
WP, 09, 2018062718,   , MTWC,   0, 191N, 1332E,  30,    0, TD
WP, 09, 2018062800,   , MTWC,   0, 195N, 1328E,  35,    0, TS
WP, 09, 2018062806,   , MTWC,   0, 198N, 1323E,  40,    0, TS
WP, 09, 2018062812,   , MTWC,   0, 199N, 1315E,  50,    0, TS
WP, 09, 2018062818,   , MTWC,   0, 198N, 1309E,  60,    0, TS
WP, 09, 2018062900,   , MTWC,   0, 197N, 1304E,  65,    0, TY
WP, 09, 2018062906,   , MTWC,   0, 198N, 1301E,  60,    0, TS
WP, 09, 2018062912,   , MTWC,   0, 199N, 1300E,  55,    0, TS
WP, 09, 2018062918,   , MTWC,   0, 202N, 1297E,  55,    0, TS
WP, 09, 2018063000,   , MTWC,   0, 206N, 1295E,  55,    0, TS
WP, 09, 2018063006,   , MTWC,   0, 210N, 1292E,  60,    0, TS
WP, 09, 2018063012,   , MTWC,   0, 217N, 1287E,  65,    0, TY
WP, 09, 2018063018,   , MTWC,   0, 226N, 1281E,  55,    0, TS
WP, 09, 2018070100,   , MTWC,   0, 235N, 1275E,  60,    0, TS
WP, 09, 2018070106,   , MTWC,   0, 243N, 1272E,  65,    0, TY
WP, 09, 2018070112,   , MTWC,   0, 252N, 1269E,  70,    0, TY
WP, 09, 2018070118,   , MTWC,   0, 262N, 1268E,  80,    0, TY
WP, 09, 2018070200,   , MTWC,   0, 272N, 1270E,  90,    0, TY
WP, 09, 2018070206,   , MTWC,   0, 282N, 1273E,  90,    0, TY
WP, 09, 2018070212,   , MTWC,   0, 295N, 1278E,  85,    0, TY
WP, 09, 2018070218,   , MTWC,   0, 307N, 1279E,  85,    0, TY
WP, 09, 2018070300,   , MTWC,   0, 320N, 1282E,  75,    0, TY
WP, 09, 2018070306,   , MTWC,   0, 332N, 1288E,  65,    0, TY
WP, 09, 2018070312,   , MTWC,   0, 344N, 1296E,  55,    0, TS
WP, 09, 2018070318,   , MTWC,   0, 357N, 1309E,  50,    0, TS
WP, 09, 2018070400,   , MTWC,   0, 373N, 1325E,  45,    0, EX
WP, 09, 2018070406,   , MTWC,   0, 394N, 1348E,  45,    0, EX
WP, 09, 2018070412,   , MTWC,   0, 405N, 1367E,  45,    0, EX
WP, 09, 2018070418,   , MTWC,   0, 409N, 1382E,  45,    0, EX
WP, 09, 2018070500,   , MTWC,   0, 413N, 1395E,  45,    0, EX
WP, 09, 2018070506,   , MTWC,   0, 417N, 1404E,  45,    0, EX
WP, 09, 2018070512,   , MTWC,   0, 422N, 1417E,  45,    0, EX
WP, 09, 2018070518,   , MTWC,   0, 427N, 1440E,  45,    0, EX
