WP, 29, 2019112412,   , MTWC, 0,  77N, 1595E,  15, 0, DB,   0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Kammuri,
WP, 29, 2019112418,   , MTWC, 0,  81N, 1583E,  20, 0, DB,
WP, 29, 2019112500,   , MTWC, 0,  86N, 1569E,  20, 0, DB,
WP, 29, 2019112506,   , MTWC, 0,  92N, 1552E,  25, 0, TD,
WP, 29, 2019112512,   , MTWC, 0,  99N, 1535E,  25, 0, TD,
WP, 29, 2019112518,   , MTWC, 0, 105N, 1516E,  30, 0, TD,
WP, 29, 2019112600,   , MTWC, 0, 109N, 1495E,  35,  0, TS,
WP, 29, 2019112606,   , MTWC, 0, 113N, 1474E,  35,  0, TS,
WP, 29, 2019112612,   , MTWC, 0, 115N, 1453E,  40,  0, TS,
WP, 29, 2019112618,   , MTWC, 0, 115N, 1436E,  45,  0, TS,
WP, 29, 2019112700,   , MTWC, 0, 114N, 1421E,  50,  0, TS,
WP, 29, 2019112706,   , MTWC, 0, 115N, 1408E,  55,  0, TS,
WP, 29, 2019112712,   , MTWC, 0, 117N, 1400E,  60,  0, TS,
WP, 29, 2019112718,   , MTWC, 0, 120N, 1396E,  70,  0, TY,
WP, 29, 2019112800,   , MTWC, 0, 122N, 1392E,  70,  0, TY,
WP, 29, 2019112806,   , MTWC, 0, 126N, 1388E,  65,  0, TY,
WP, 29, 2019112812,   , MTWC, 0, 132N, 1385E,  60,  0, TS,
WP, 29, 2019112818,   , MTWC, 0, 139N, 1383E,  55,  0, TS,
WP, 29, 2019112900,   , MTWC, 0, 143N, 1381E,  50,  0, TS,
WP, 29, 2019112906,   , MTWC, 0, 144N, 1379E,  50,  0, TS,
WP, 29, 2019112912,   , MTWC, 0, 143N, 1376E,  55,  0, TS,
WP, 29, 2019112918,   , MTWC, 0, 142N, 1371E,  60,  0, TS,
WP, 29, 2019113000,   , MTWC, 0, 140N, 1362E,  65,  0, TS,
WP, 29, 2019113006,   , MTWC, 0, 136N, 1351E,  65,  0, TS,
WP, 29, 2019113012,   , MTWC, 0, 133N, 1340E,  60,  0, TS,
WP, 29, 2019113018,   , MTWC, 0, 132N, 1328E,  60,  0, TS,
WP, 29, 2019120100,   , MTWC, 0, 132N, 1315E,  65,  0, TS,
WP, 29, 2019120106,   , MTWC, 0, 133N, 1302E,  70,  0, TS,
WP, 29, 2019120112,   , MTWC, 0, 132N, 1291E,  75,  0, TY,
WP, 29, 2019120118,   , MTWC, 0, 130N, 1279E,  80,  0, TY,
WP, 29, 2019120200,   , MTWC, 0, 130N, 1267E,  90,  0, TY,
WP, 29, 2019120206,   , MTWC, 0, 130N, 1256E, 105,  0, TY,
WP, 29, 2019120212,   , MTWC, 0, 130N, 1245E, 110,  0, TY,
WP, 29, 2019120218,   , MTWC, 0, 131N, 1234E, 105,  0, TY,
WP, 29, 2019120300,   , MTWC, 0, 132N, 1223E,  90,  0, TY,
WP, 29, 2019120306,   , MTWC, 0, 134N, 1211E,  75,  0, TY,
WP, 29, 2019120312,   , MTWC, 0, 139N, 1198E,  65,  0, TY,
WP, 29, 2019120318,   , MTWC, 0, 141N, 1188E,  55,  0, TS,
WP, 29, 2019120400,   , MTWC, 0, 142N, 1180E,  45,  0, TS,
WP, 29, 2019120406,   , MTWC, 0, 142N, 1174E,  50,  0, TS,
WP, 29, 2019120412,   , MTWC, 0, 143N, 1166E,  45,  0, TS,
WP, 29, 2019120418,   , MTWC, 0, 144N, 1155E,  35, 0, TS,
WP, 29, 2019120500,   , MTWC, 0, 142N, 1146E,  30, 0, TD,
WP, 29, 2019120506,   , MTWC, 0, 138N, 1137E,  30, 0, TD,
WP, 29, 2019120512,   , MTWC, 0, 131N, 1133E,  25, 0, TD,
WP, 29, 2019120518,   , MTWC, 0, 123N, 1132E,  20, 0, DB,
WP, 29, 2019120600,   , MTWC, 0, 112N, 1131E,  20, 0, DB,
