WP, 30, 2019122000,   , MTWC, 0,  45N, 1470E,  20, 0, DB,   0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Phanfone,
WP, 30, 2019122006,   , MTWC, 0,  48N, 1457E,  20, 0, DB,
WP, 30, 2019122012,   , MTWC, 0,  50N, 1444E,  20, 0, DB,
WP, 30, 2019122018,   , MTWC, 0,  50N, 1433E,  20, 0, DB,
WP, 30, 2019122100,   , MTWC, 0,  51N, 1424E,  25, 0, TD,
WP, 30, 2019122106,   , MTWC, 0,  54N, 1417E,  30, 0, TD,
WP, 30, 2019122112,   , MTWC, 0,  59N, 1408E,  30, 0, TD,
WP, 30, 2019122118,   , MTWC, 0,  65N, 1399E,  35, 0, TS,
WP, 30, 2019122200,   , MTWC, 0,  71N, 1391E,  35, 0, TS,
WP, 30, 2019122206,   , MTWC, 0,  76N, 1381E,  40, 0, TS,
WP, 30, 2019122212,   , MTWC, 0,  84N, 1370E,  40, 0, TS,
WP, 30, 2019122218,   , MTWC, 0,  91N, 1355E,  45, 0, TS,
WP, 30, 2019122300,   , MTWC, 0,  96N, 1338E,  45,  0, TS,
WP, 30, 2019122306,   , MTWC, 0, 101N, 1322E,  50,  0, TS,
WP, 30, 2019122312,   , MTWC, 0, 105N, 1308E,  55,  0, TS,
WP, 30, 2019122318,   , MTWC, 0, 107N, 1291E,  65,  0, TY,
WP, 30, 2019122400,   , MTWC, 0, 109N, 1276E,  70,  0, TY,
WP, 30, 2019122406,   , MTWC, 0, 111N, 1262E,  80,  0, TY,
WP, 30, 2019122412,   , MTWC, 0, 114N, 1248E,  85,  0, TY,
WP, 30, 2019122418,   , MTWC, 0, 116N, 1235E,  95,  0, TY,
WP, 30, 2019122500,   , MTWC, 0, 117N, 1224E, 100,  0, TY,
WP, 30, 2019122506,   , MTWC, 0, 119N, 1213E, 100,  0, TY,
WP, 30, 2019122512,   , MTWC, 0, 122N, 1201E,  90,  0, TY,
WP, 30, 2019122518,   , MTWC, 0, 127N, 1192E,  80,  0, TY,
WP, 30, 2019122600,   , MTWC, 0, 131N, 1185E,  85,  0, TY,
WP, 30, 2019122606,   , MTWC, 0, 135N, 1180E,  85,  0, TY,
WP, 30, 2019122612,   , MTWC, 0, 140N, 1176E,  80,  0, TY,
WP, 30, 2019122618,   , MTWC, 0, 145N, 1173E,  75,  0, TY,
WP, 30, 2019122700,   , MTWC, 0, 149N, 1170E,  65,  0, TY,
WP, 30, 2019122706,   , MTWC, 0, 150N, 1167E,  55,  0, TS,
WP, 30, 2019122712,   , MTWC, 0, 150N, 1163E,  50, 0, TS,
WP, 30, 2019122718,   , MTWC, 0, 149N, 1158E,  45, 0, TS,
WP, 30, 2019122800,   , MTWC, 0, 147N, 1151E,  35, 0, TS,
WP, 30, 2019122806,   , MTWC, 0, 145N, 1140E,  30, 0, TD,
WP, 30, 2019122812,   , MTWC, 0, 145N, 1130E,  25, 0, TD,
WP, 30, 2019122818,   , MTWC, 0, 145N, 1121E,  20, 0, DB,
WP, 30, 2019122900,   , MTWC, 0, 146N, 1115E,  20, 0, DB,
WP, 30, 2019122906,   , MTWC, 0, 145N, 1112E,  15, 0, DB,
WP, 30, 2019122912,   , MTWC, 0, 144N, 1109E,  15, 0, DB,
WP, 30, 2019122918,   , MTWC, 0, 142N, 1105E,  15, 0, DB,
