WP, 60, 2019062100,   , MTWC,   0,  91N, 1420E,  15,    0, DB,   0,    ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   W,   0,    ,   0,   0,      SEPAT, S,
WP, 60, 2019062106,   , MTWC,   0,  92N, 1397E,  15,    0, DB
WP, 60, 2019062112,   , MTWC,   0,  93N, 1374E,  15,    0, DB
WP, 60, 2019062118,   , MTWC,   0,  95N, 1354E,  15,    0, DB
WP, 60, 2019062200,   , MTWC,   0,  98N, 1337E,  20,    0, DB
WP, 60, 2019062206,   , MTWC,   0, 102N, 1320E,  20,    0, DB
WP, 60, 2019062212,   , MTWC,   0, 108N, 1306E,  20,    0, DB
WP, 60, 2019062218,   , MTWC,   0, 116N, 1294E,  25,    0, TD
WP, 60, 2019062300,   , MTWC,   0, 126N, 1288E,  25,    0, TD
WP, 60, 2019062306,   , MTWC,   0, 138N, 1282E,  25,    0, TD
WP, 60, 2019062312,   , MTWC,   0, 150N, 1279E,  25,    0, TD
WP, 60, 2019062318,   , MTWC,   0, 161N, 1277E,  30,    0, TD
WP, 60, 2019062400,   , MTWC,   0, 169N, 1276E,  30,    0, TD
WP, 60, 2019062406,   , MTWC,   0, 174N, 1276E,  30,    0, TD
WP, 60, 2019062412,   , MTWC,   0, 179N, 1277E,  30,    0, TD
WP, 60, 2019062418,   , MTWC,   0, 184N, 1278E,  30,    0, TD
WP, 60, 2019062500,   , MTWC,   0, 189N, 1279E,  35,    0, TS
WP, 60, 2019062506,   , MTWC,   0, 194N, 1280E,  30,    0, TD
WP, 60, 2019062512,   , MTWC,   0, 198N, 1280E,  30,    0, TD
WP, 60, 2019062518,   , MTWC,   0, 206N, 1279E,  30,    0, TD
WP, 60, 2019062600,   , MTWC,   0, 217N, 1279E,  35,    0, TS
WP, 60, 2019062606,   , MTWC,   0, 231N, 1282E,  40,    0, TS
WP, 60, 2019062612,   , MTWC,   0, 248N, 1288E,  35,    0, TS
WP, 60, 2019062618,   , MTWC,   0, 267N, 1296E,  35,    0, TS
WP, 60, 2019062700,   , MTWC,   0, 285N, 1303E,  35,    0, TS
WP, 60, 2019062706,   , MTWC,   0, 307N, 1320E,  35,    0, TS
WP, 60, 2019062712,   , MTWC,   0, 328N, 1348E,  40,    0, TS
WP, 60, 2019062718,   , MTWC,   0, 341N, 1379E,  45,    0, TS
WP, 60, 2019062800,   , MTWC,   0, 352N, 1414E,  50,    0, TS
WP, 60, 2019062806,   , MTWC,   0, 360N, 1467E,  45,    0, TS
WP, 60, 2019062812,   , MTWC,   0, 369N, 1510E,  40,    0, TS
WP, 60, 2019062818,   , MTWC,   0, 380N, 1542E,  35,    0, EX
WP, 60, 2019062900,   , MTWC,   0, 390N, 1563E,  35,    0, EX
WP, 60, 2019062906,   , MTWC,   0, 399N, 1587E,  35,    0, EX
WP, 60, 2019062912,   , MTWC,   0, 410N, 1602E,  35,    0, EX
WP, 60, 2019062918,   , MTWC,   0, 422N, 1609E,  35,    0, EX
WP, 60, 2019063000,   , MTWC,   0, 438N, 1616E,  35,    0, EX
WP, 60, 2019063006,   , MTWC,   0, 443N, 1633E,  35,    0, EX
WP, 60, 2019063012,   , MTWC,   0, 450N, 1655E,  35,    0, EX
WP, 60, 2019063018,   , MTWC,   0, 461N, 1682E,  35,    0, EX
