WP, 03, 2019031100,   , MTWC,   0,  31N, 1630E,  15,    0, DB
WP, 03, 2019031106,   , MTWC,   0,  34N, 1623E,  15,    0, DB
WP, 03, 2019031112,   , MTWC,   0,  35N, 1615E,  15,    0, DB
WP, 03, 2019031118,   , MTWC,   0,  37N, 1605E,  15,    0, DB
WP, 03, 2019031200,   , MTWC,   0,  40N, 1594E,  15,    0, DB
WP, 03, 2019031206,   , MTWC,   0,  42N, 1585E,  20,    0, DB
WP, 03, 2019031212,   , MTWC,   0,  45N, 1575E,  20,    0, DB
WP, 03, 2019031218,   , MTWC,   0,  48N, 1566E,  20,    0, DB
WP, 03, 2019031300,   , MTWC,   0,  53N, 1553E,  20,    0, DB
WP, 03, 2019031306,   , MTWC,   0,  57N, 1539E,  20,    0, DB
WP, 03, 2019031312,   , MTWC,   0,  60N, 1525E,  20,    0, DB
WP, 03, 2019031318,   , MTWC,   0,  65N, 1511E,  25,    0, TD
WP, 03, 2019031400,   , MTWC,   0,  70N, 1498E,  25,    0, TD
WP, 03, 2019031406,   , MTWC,   0,  75N, 1483E,  25,    0, TD
WP, 03, 2019031412,   , MTWC,   0,  77N, 1469E,  25,    0, TD
WP, 03, 2019031418,   , MTWC,   0,  79N, 1456E,  25,    0, TD
WP, 03, 2019031500,   , MTWC,   0,  80N, 1442E,  30,    0, TD
WP, 03, 2019031506,   , MTWC,   0,  80N, 1430E,  30,    0, TD
WP, 03, 2019031512,   , MTWC,   0,  79N, 1419E,  30,    0, TD
WP, 03, 2019031518,   , MTWC,   0,  78N, 1409E,  30,    0, TD
WP, 03, 2019031600,   , MTWC,   0,  77N, 1399E,  30,    0, TD
WP, 03, 2019031606,   , MTWC,   0,  76N, 1387E,  30,    0, TD
WP, 03, 2019031612,   , MTWC,   0,  75N, 1375E,  30,    0, TD
WP, 03, 2019031618,   , MTWC,   0,  73N, 1361E,  35,    0, TS
WP, 03, 2019031700,   , MTWC,   0,  74N, 1348E,  35,    0, TS
WP, 03, 2019031706,   , MTWC,   0,  74N, 1338E,  40,    0, TS
WP, 03, 2019031712,   , MTWC,   0,  72N, 1328E,  35,    0, TS
WP, 03, 2019031718,   , MTWC,   0,  70N, 1315E,  30,    0, TD
WP, 03, 2019031800,   , MTWC,   0,  67N, 1301E,  30,    0, TD
WP, 03, 2019031806,   , MTWC,   0,  65N, 1288E,  25,    0, TD
WP, 03, 2019031812,   , MTWC,   0,  66N, 1275E,  25,    0, TD
WP, 03, 2019031818,   , MTWC,   0,  66N, 1264E,  25,    0, TD
WP, 03, 2019031900,   , MTWC,   0,  64N, 1251E,  20,    0, DB
WP, 03, 2019031906,   , MTWC,   0,  66N, 1235E,  20,    0, DB
WP, 03, 2019031912,   , MTWC,   0,  68N, 1221E,  20,    0, DB
