WP, 20, 2019100300,   , MTWC,   0, 138N, 1685E,  15,    0, DB
WP, 20, 2019100306,   , MTWC,   0, 141N, 1681E,  20,    0, DB
WP, 20, 2019100312,   , MTWC,   0, 144N, 1676E,  20,    0, DB
WP, 20, 2019100318,   , MTWC,   0, 148N, 1670E,  25,    0, TD
WP, 20, 2019100400,   , MTWC,   0, 152N, 1663E,  25,    0, TD
WP, 20, 2019100406,   , MTWC,   0, 155N, 1656E,  30,    0, TD
WP, 20, 2019100412,   , MTWC,   0, 158N, 1646E,  35,    0, TS
WP, 20, 2019100418,   , MTWC,   0, 157N, 1638E,  40,    0, TS
WP, 20, 2019100500,   , MTWC,   0, 151N, 1625E,  35,    0, TS
WP, 20, 2019100506,   , MTWC,   0, 152N, 1611E,  35,    0, TS
WP, 20, 2019100512,   , MTWC,   0, 152N, 1597E,  40,    0, TS
WP, 20, 2019100518,   , MTWC,   0, 151N, 1578E,  45,    0, TS
WP, 20, 2019100600,   , MTWC,   0, 147N, 1558E,  55,    0, TS
WP, 20, 2019100606,   , MTWC,   0, 144N, 1541E,  65,    0, TY
WP, 20, 2019100612,   , MTWC,   0, 145N, 1527E,  75,    0, TY
WP, 20, 2019100618,   , MTWC,   0, 149N, 1511E,  95,    0, TY
WP, 20, 2019100700,   , MTWC,   0, 151N, 1496E, 125,    0, TY
WP, 20, 2019100706,   , MTWC,   0, 155N, 1482E, 168,    0, ST
WP, 20, 2019100712,   , MTWC,   0, 161N, 1466E, 175,    0, ST
WP, 20, 2019100718,   , MTWC,   0, 165N, 1449E, 155,    0, ST
WP, 20, 2019100800,   , MTWC,   0, 169N, 1438E, 135,    0, ST
WP, 20, 2019100806,   , MTWC,   0, 177N, 1427E, 120,    0, TY
WP, 20, 2019100812,   , MTWC,   0, 184N, 1418E, 125,    0, TY
WP, 20, 2019100818,   , MTWC,   0, 192N, 1408E, 140,    0, ST
WP, 20, 2019100900,   , MTWC,   0, 198N, 1404E, 145,    0, ST
WP, 20, 2019100906,   , MTWC,   0, 206N, 1399E, 145,    0, ST
WP, 20, 2019100912,   , MTWC,   0, 212N, 1396E, 140,    0, ST
WP, 20, 2019100918,   , MTWC,   0, 220N, 1398E, 140,    0, ST
WP, 20, 2019101000,   , MTWC,   0, 232N, 1399E, 140,    0, ST
WP, 20, 2019101006,   , MTWC,   0, 244N, 1394E, 130,    0, ST
WP, 20, 2019101012,   , MTWC,   0, 253N, 1390E, 122,    0, TY
WP, 20, 2019101018,   , MTWC,   0, 263N, 1385E, 110,    0, TY
WP, 20, 2019101100,   , MTWC,   0, 275N, 1380E, 105,    0, TY
WP, 20, 2019101106,   , MTWC,   0, 288N, 1375E, 100,    0, TY
WP, 20, 2019101112,   , MTWC,   0, 299N, 1371E, 105,    0, TY
WP, 20, 2019101118,   , MTWC,   0, 308N, 1370E, 110,    0, TY
WP, 20, 2019101200,   , MTWC,   0, 321N, 1374E,  95,    0, TY
WP, 20, 2019101206,   , MTWC,   0, 337N, 1382E,  85,    0, TY
WP, 20, 2019101212,   , MTWC,   0, 356N, 1394E,  75,    0, TY
WP, 20, 2019101218,   , MTWC,   0, 382N, 1418E,  65,    0, TY
WP, 20, 2019101300,   , MTWC,   0, 400N, 1450E,  55,    0, EX
WP, 20, 2019101306,   , MTWC,   0, 420N, 1499E,  55,    0, EX
WP, 20, 2019101312,   , MTWC,   0, 442N, 1561E,  50,    0, EX
WP, 20, 2019101318,   , MTWC,   0, 471N, 1636E,  50,    0, EX
WP, 20, 2019101400,   , MTWC,   0, 511N, 1708E,  50,    0, EX
WP, 20, 2019101406,   , MTWC,   0, 539N, 1759E,  50,    0, EX
WP, 20, 2019101412,   , MTWC,   0, 566N, 1797E,  50,    0, EX
WP, 20, 2019101418,   , MTWC,   0, 574N, 1780W,  50,    0, EX
