WP, 26, 2019111000,   , MTWC, 0, 110N, 1710E,  20, 0, DB,
WP, 26, 2019111006,   , MTWC, 0, 114N, 1700E,  20, 0, DB,
WP, 26, 2019111012,   , MTWC, 0, 119N, 1691E,  20, 0, DB,
WP, 26, 2019111018,   , MTWC, 0, 125N, 1684E,  25, 0, TD,
WP, 26, 2019111100,   , MTWC, 0, 134N, 1679E,  25, 0, TD,
WP, 26, 2019111106,   , MTWC, 0, 140N, 1672E,  30, 0, TD,
WP, 26, 2019111112,   , MTWC, 0, 144N, 1657E,  30, 0, TD,
WP, 26, 2019111118,   , MTWC, 0, 148N, 1640E,  30, 0, TD,
WP, 26, 2019111200,   , MTWC, 0, 152N, 1626E,  35, 0, TS,
WP, 26, 2019111206,   , MTWC, 0, 157N, 1611E,  35, 0, TS,
WP, 26, 2019111212,   , MTWC, 0, 162N, 1594E,  40,  0, TS,
WP, 26, 2019111218,   , MTWC, 0, 167N, 1574E,  45,  0, TS,
WP, 26, 2019111300,   , MTWC, 0, 173N, 1560E,  45,  0, TS,
WP, 26, 2019111306,   , MTWC, 0, 172N, 1546E,  55,  0, TS,
WP, 26, 2019111312,   , MTWC, 0, 170N, 1532E,  55,  0, TS,
WP, 26, 2019111318,   , MTWC, 0, 170N, 1518E,  60,  0, TS,
WP, 26, 2019111400,   , MTWC, 0, 171N, 1499E,  45,  0, TS,
WP, 26, 2019111406,   , MTWC, 0, 173N, 1484E,  50,  0, TS,
WP, 26, 2019111412,   , MTWC, 0, 177N, 1465E,  65,  0, TS,
WP, 26, 2019111418,   , MTWC, 0, 183N, 1451E,  85,  0, TY,
WP, 26, 2019111500,   , MTWC, 0, 190N, 1437E, 110,  0, TY,
WP, 26, 2019111506,   , MTWC, 0, 201N, 1426E, 122,  0, TY,
WP, 26, 2019111512,   , MTWC, 0, 212N, 1422E, 115,  0, TY,
WP, 26, 2019111518,   , MTWC, 0, 223N, 1425E, 100,  0, TY,
WP, 26, 2019111600,   , MTWC, 0, 238N, 1433E, 105,  0, TY,
WP, 26, 2019111606,   , MTWC, 0, 249N, 1448E, 115,  0, TY,
WP, 26, 2019111612,   , MTWC, 0, 259N, 1467E, 105,  0, TY,
WP, 26, 2019111618,   , MTWC, 0, 264N, 1494E,  85,  0, TY,
WP, 26, 2019111700,   , MTWC, 0, 265N, 1522E,  75,  0, TY,
WP, 26, 2019111706,   , MTWC, 0, 266N, 1552E,  60,  0, TS,
WP, 26, 2019111712,   , MTWC, 0, 261N, 1567E,  45, 0, SS,
WP, 26, 2019111718,   , MTWC, 0, 253N, 1580E,  35, 0, SS,
WP, 26, 2019111800,   , MTWC, 0, 239N, 1583E,  25, 0, SD,
WP, 26, 2019111806,   , MTWC, 0, 222N, 1578E,  20, 0, SD,
WP, 26, 2019111812,   , MTWC, 0, 205N, 1562E,  20, 0, SD,
WP, 26, 2019111818,   , MTWC, 0, 200N, 1543E,  15, 0, SD,
WP, 26, 2019111900,   , MTWC, 0, 195N, 1525E,  15, 0, SD,
