WP, 60, 2022080600,   , MTWC,   0, 150N, 1162E,  15,    0, DB,   0,    ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   W,   0,    ,   0,   0,      MULAN, S,
WP, 60, 2022080606,   , MTWC,   0, 154N, 1156E,  20,    0, DB
WP, 60, 2022080612,   , MTWC,   0, 159N, 1149E,  25,    0, TD
WP, 60, 2022080618,   , MTWC,   0, 163N, 1141E,  30,    0, TD
WP, 60, 2022080700,   , MTWC,   0, 166N, 1132E,  35,    0, TS
WP, 60, 2022080706,   , MTWC,   0, 168N, 1122E,  30,    0, TD
WP, 60, 2022080712,   , MTWC,   0, 169N, 1114E,  25,    0, TD
WP, 60, 2022080718,   , MTWC,   0, 166N, 1109E,  25,    0, TD
WP, 60, 2022080800,   , MTWC,   0, 161N, 1104E,  30,    0, TD
WP, 60, 2022080806,   , MTWC,   0, 154N, 1107E,  30,    0, TD
WP, 60, 2022080812,   , MTWC,   0, 156N, 1112E,  30,    0, TD
WP, 60, 2022080818,   , MTWC,   0, 158N, 1119E,  30,    0, MD
WP, 60, 2022080900,   , MTWC,   0, 162N, 1127E,  35,    0, MD
WP, 60, 2022080906,   , MTWC,   0, 173N, 1134E,  35,    0, MD
WP, 60, 2022080912,   , MTWC,   0, 184N, 1127E,  40,    0, TS
WP, 60, 2022080918,   , MTWC,   0, 192N, 1119E,  40,    0, TS
WP, 60, 2022081000,   , MTWC,   0, 200N, 1110E,  50,    0, TS
WP, 60, 2022081006,   , MTWC,   0, 204N, 1099E,  45,    0, TS
WP, 60, 2022081012,   , MTWC,   0, 206N, 1092E,  45,    0, TS
WP, 60, 2022081018,   , MTWC,   0, 209N, 1079E,  40,    0, TS
WP, 60, 2022081100,   , MTWC,   0, 213N, 1065E,  35,    0, TS
WP, 60, 2022081106,   , MTWC,   0, 216N, 1050E,  30,    0, TD
WP, 60, 2022081112,   , MTWC,   0, 219N, 1035E,  25,    0, TD
WP, 60, 2022081118,   , MTWC,   0, 221N, 1022E,  20,    0, DB
WP, 60, 2022081200,   , MTWC,   0, 223N, 1010E,  20,    0, DB
