EP, 05, 2023073000,   , MTWC,   0, 130N,  979W,  15,    0, DB
EP, 05, 2023073006,   , MTWC,   0, 132N,  986W,  15,    0, DB
EP, 05, 2023073012,   , MTWC,   0, 133N,  993W,  20,    0, DB
EP, 05, 2023073018,   , MTWC,   0, 135N, 1001W,  20,    0, DB
EP, 05, 2023073100,   , MTWC,   0, 138N, 1008W,  25,    0, TD
EP, 05, 2023073106,   , MTWC,   0, 140N, 1016W,  30,    0, TD
EP, 05, 2023073112,   , MTWC,   0, 143N, 1026W,  35,    0, TS
EP, 05, 2023073118,   , MTWC,   0, 148N, 1037W,  40,    0, TS
EP, 05, 2023080100,   , MTWC,   0, 154N, 1050W,  45,    0, TS
EP, 05, 2023080106,   , MTWC,   0, 157N, 1064W,  45,    0, TS
EP, 05, 2023080112,   , MTWC,   0, 160N, 1078W,  50,    0, TS
EP, 05, 2023080118,   , MTWC,   0, 161N, 1093W,  55,    0, TS
EP, 05, 2023080200,   , MTWC,   0, 161N, 1106W,  70,    0, TY
EP, 05, 2023080206,   , MTWC,   0, 159N, 1120W,  85,    0, TY
EP, 05, 2023080212,   , MTWC,   0, 157N, 1135W,  90,    0, TY
EP, 05, 2023080218,   , MTWC,   0, 155N, 1149W,  95,    0, TY
EP, 05, 2023080300,   , MTWC,   0, 153N, 1162W, 105,    0, TY
EP, 05, 2023080306,   , MTWC,   0, 151N, 1177W, 115,    0, TY
EP, 05, 2023080312,   , MTWC,   0, 149N, 1193W, 105,    0, TY
EP, 05, 2023080318,   , MTWC,   0, 145N, 1210W, 100,    0, TY
EP, 05, 2023080400,   , MTWC,   0, 142N, 1226W, 120,    0, TY
EP, 05, 2023080406,   , MTWC,   0, 141N, 1243W, 105,    0, TY
EP, 05, 2023080412,   , MTWC,   0, 140N, 1261W,  95,    0, TY
EP, 05, 2023080418,   , MTWC,   0, 138N, 1277W,  90,    0, TY
EP, 05, 2023080500,   , MTWC,   0, 137N, 1293W,  85,    0, TY
EP, 05, 2023080506,   , MTWC,   0, 135N, 1308W,  90,    0, TY
EP, 05, 2023080512,   , MTWC,   0, 134N, 1325W,  95,    0, TY
EP, 05, 2023080518,   , MTWC,   0, 133N, 1340W, 110,    0, TY
EP, 05, 2023080600,   , MTWC,   0, 132N, 1356W, 115,    0, TY
EP, 05, 2023080606,   , MTWC,   0, 131N, 1374W, 125,    0, TY
EP, 05, 2023080612,   , MTWC,   0, 130N, 1392W, 115,    0, TY
EP, 05, 2023080618,   , MTWC,   0, 129N, 1412W, 130,    0, ST
EP, 05, 2023080700,   , MTWC,   0, 127N, 1431W, 120,    0, TY
EP, 05, 2023080706,   , MTWC,   0, 126N, 1452W, 115,    0, TY
EP, 05, 2023080712,   , MTWC,   0, 124N, 1473W, 105,    0, TY
EP, 05, 2023080718,   , MTWC,   0, 123N, 1493W, 100,    0, TY
EP, 05, 2023080800,   , MTWC,   0, 121N, 1513W, 115,    0, TY
EP, 05, 2023080806,   , MTWC,   0, 118N, 1533W, 125,    0, TY
EP, 05, 2023080812,   , MTWC,   0, 115N, 1552W, 115,    0, TY
EP, 05, 2023080818,   , MTWC,   0, 115N, 1571W, 130,    0, ST
EP, 05, 2023080900,   , MTWC,   0, 114N, 1592W, 115,    0, TY
EP, 05, 2023080906,   , MTWC,   0, 114N, 1612W, 110,    0, TY
EP, 05, 2023080912,   , MTWC,   0, 114N, 1631W, 125,    0, TY
EP, 05, 2023080918,   , MTWC,   0, 115N, 1651W, 140,    0, ST
EP, 05, 2023081000,   , MTWC,   0, 116N, 1669W, 120,    0, TY
EP, 05, 2023081006,   , MTWC,   0, 119N, 1689W, 110,    0, TY
EP, 05, 2023081012,   , MTWC,   0, 121N, 1707W, 100,    0, TY
EP, 05, 2023081018,   , MTWC,   0, 125N, 1722W, 105,    0, TY
EP, 05, 2023081100,   , MTWC,   0, 129N, 1738W, 120,    0, TY
EP, 05, 2023081106,   , MTWC,   0, 135N, 1755W, 115,    0, TY
EP, 05, 2023081112,   , MTWC,   0, 142N, 1771W, 105,    0, TY
EP, 05, 2023081118,   , MTWC,   0, 148N, 1786W, 100,    0, TY
EP, 05, 2023081200,   , MTWC,   0, 156N, 1799W,  95,    0, TY
EP, 05, 2023081206,   , MTWC,   0, 164N, 1790E,  90,    0, TY
EP, 05, 2023081212,   , MTWC,   0, 171N, 1780E,  80,    0, TY
EP, 05, 2023081218,   , MTWC,   0, 177N, 1768E,  70,    0, TY
EP, 05, 2023081300,   , MTWC,   0, 180N, 1753E,  60,    0, TS
EP, 05, 2023081306,   , MTWC,   0, 181N, 1741E,  50,    0, TS
EP, 05, 2023081312,   , MTWC,   0, 181N, 1727E,  35,    0, TS
EP, 05, 2023081318,   , MTWC,   0, 183N, 1714E,  35,    0, TS
EP, 05, 2023081400,   , MTWC,   0, 187N, 1702E,  35,    0, TS
EP, 05, 2023081406,   , MTWC,   0, 193N, 1692E,  40,    0, TS
EP, 05, 2023081412,   , MTWC,   0, 197N, 1686E,  45,    0, TS
EP, 05, 2023081418,   , MTWC,   0, 202N, 1681E,  40,    0, TS
EP, 05, 2023081500,   , MTWC,   0, 206N, 1678E,  40,    0, TS
EP, 05, 2023081506,   , MTWC,   0, 214N, 1677E,  40,    0, TS
EP, 05, 2023081512,   , MTWC,   0, 226N, 1679E,  35,    0, TS
EP, 05, 2023081518,   , MTWC,   0, 236N, 1682E,  35,    0, TS
EP, 05, 2023081600,   , MTWC,   0, 244N, 1684E,  30,    0, TD
EP, 05, 2023081606,   , MTWC,   0, 254N, 1686E,  30,    0, TD
EP, 05, 2023081612,   , MTWC,   0, 268N, 1687E,  25,    0, SD
EP, 05, 2023081618,   , MTWC,   0, 278N, 1684E,  25,    0, SD
EP, 05, 2023081700,   , MTWC,   0, 289N, 1682E,  25,    0, SD
EP, 05, 2023081706,   , MTWC,   0, 298N, 1677E,  25,    0, SD
EP, 05, 2023081712,   , MTWC,   0, 305N, 1673E,  25,    0, TD
EP, 05, 2023081718,   , MTWC,   0, 312N, 1667E,  30,    0, TD
EP, 05, 2023081800,   , MTWC,   0, 317N, 1662E,  30,    0, TD
EP, 05, 2023081806,   , MTWC,   0, 320N, 1660E,  30,    0, TD
EP, 05, 2023081812,   , MTWC,   0, 322N, 1661E,  35,    0, TS
EP, 05, 2023081818,   , MTWC,   0, 325N, 1669E,  40,    0, TS
EP, 05, 2023081900,   , MTWC,   0, 329N, 1675E,  35,    0, TS
EP, 05, 2023081906,   , MTWC,   0, 332N, 1680E,  35,    0, TS
EP, 05, 2023081912,   , MTWC,   0, 332N, 1687E,  35,    0, TS
EP, 05, 2023081918,   , MTWC,   0, 331N, 1695E,  30,    0, TD
EP, 05, 2023082000,   , MTWC,   0, 329N, 1704E,  40,    0, TS
EP, 05, 2023082006,   , MTWC,   0, 326N, 1715E,  35,    0, TS
EP, 05, 2023082012,   , MTWC,   0, 324N, 1727E,  35,    0, TS
EP, 05, 2023082018,   , MTWC,   0, 326N, 1739E,  35,    0, TS
EP, 05, 2023082100,   , MTWC,   0, 329N, 1750E,  30,    0, TD
EP, 05, 2023082106,   , MTWC,   0, 335N, 1758E,  30,    0, TD
EP, 05, 2023082112,   , MTWC,   0, 343N, 1770E,  30,    0, TD
EP, 05, 2023082118,   , MTWC,   0, 353N, 1783E,  40,    0, TS
EP, 05, 2023082200,   , MTWC,   0, 362N, 1796E,  35,    0, TS
EP, 05, 2023082206,   , MTWC,   0, 371N, 1788W,  35,    0, SS
EP, 05, 2023082212,   , MTWC,   0, 379N, 1776W,  35,    0, SS
EP, 05, 2023082218,   , MTWC,   0, 392N, 1768W,  35,    0, EX
EP, 05, 2023082300,   , MTWC,   0, 407N, 1761W,  35,    0, EX
EP, 05, 2023082306,   , MTWC,   0, 421N, 1755W,  35,    0, EX
