WP, 18, 2023121312,   , MTWC,   0,  28N, 1450E,  15,    0, DB
WP, 18, 2023121318,   , MTWC,   0,  29N, 1444E,  15,    0, DB
WP, 18, 2023121400,   , MTWC,   0,  31N, 1437E,  15,    0, DB
WP, 18, 2023121406,   , MTWC,   0,  34N, 1429E,  20,    0, DB
WP, 18, 2023121412,   , MTWC,   0,  37N, 1421E,  20,    0, DB
WP, 18, 2023121418,   , MTWC,   0,  41N, 1411E,  20,    0, DB
WP, 18, 2023121500,   , MTWC,   0,  45N, 1400E,  20,    0, DB
WP, 18, 2023121506,   , MTWC,   0,  51N, 1388E,  25,    0, TD
WP, 18, 2023121512,   , MTWC,   0,  57N, 1378E,  25,    0, TD
WP, 18, 2023121518,   , MTWC,   0,  61N, 1365E,  30,    0, TD
WP, 18, 2023121600,   , MTWC,   0,  62N, 1354E,  30,    0, TD
WP, 18, 2023121606,   , MTWC,   0,  66N, 1337E,  35,    0, TS
WP, 18, 2023121612,   , MTWC,   0,  69N, 1323E,  35,    0, TS
WP, 18, 2023121618,   , MTWC,   0,  71N, 1312E,  35,    0, TS
WP, 18, 2023121700,   , MTWC,   0,  72N, 1303E,  40,    0, TS
WP, 18, 2023121706,   , MTWC,   0,  73N, 1294E,  35,    0, TS
WP, 18, 2023121712,   , MTWC,   0,  72N, 1285E,  35,    0, TS
WP, 18, 2023121718,   , MTWC,   0,  72N, 1276E,  35,    0, TS
WP, 18, 2023121800,   , MTWC,   0,  73N, 1267E,  35,    0, TS
WP, 18, 2023121806,   , MTWC,   0,  74N, 1260E,  30,    0, TD
WP, 18, 2023121812,   , MTWC,   0,  73N, 1255E,  25,    0, TD
WP, 18, 2023121818,   , MTWC,   0,  71N, 1249E,  25,    0, TD
WP, 18, 2023121900,   , MTWC,   0,  69N, 1244E,  25,    0, TD
WP, 18, 2023121906,   , MTWC,   0,  66N, 1236E,  20,    0, DB
WP, 18, 2023121912,   , MTWC,   0,  64N, 1226E,  20,    0, DB
WP, 18, 2023121918,   , MTWC,   0,  62N, 1212E,  20,    0, DB
WP, 18, 2023122000,   , MTWC,   0,  61N, 1199E,  20,    0, DB
WP, 18, 2023122006,   , MTWC,   0,  64N, 1185E,  25,    0, TD
WP, 18, 2023122012,   , MTWC,   0,  69N, 1170E,  25,    0, TD
WP, 18, 2023122018,   , MTWC,   0,  74N, 1159E,  30,    0, TD
WP, 18, 2023122100,   , MTWC,   0,  80N, 1150E,  30,    0, TD
WP, 18, 2023122106,   , MTWC,   0,  88N, 1144E,  30,    0, TD
WP, 18, 2023122112,   , MTWC,   0,  93N, 1137E,  30,    0, TD
WP, 18, 2023122118,   , MTWC,   0, 101N, 1130E,  35,    0, TS
WP, 18, 2023122200,   , MTWC,   0, 109N, 1125E,  25,    0, TD
WP, 18, 2023122206,   , MTWC,   0, 112N, 1121E,  25,    0, TD
WP, 18, 2023122212,   , MTWC,   0, 113N, 1118E,  25,    0, TD
WP, 18, 2023122218,   , MTWC,   0, 111N, 1115E,  20,    0, DB
WP, 18, 2023122300,   , MTWC,   0, 107N, 1112E,  20,    0, DB
WP, 18, 2023122306,   , MTWC,   0, 104N, 1107E,  20,    0, DB
WP, 18, 2023122312,   , MTWC,   0, 101N, 1100E,  20,    0, DB
WP, 18, 2023122318,   , MTWC,   0,  99N, 1093E,  20,    0, DB
