WP, 01, 2024052312,   , MTWC, 0,  75N, 1305E,  20, 1008, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Ewiniar,
WP, 01, 2024052318,   , MTWC, 0,  85N, 1294E,  20, 1008, DB,
WP, 01, 2024052400,   , MTWC, 0,  94N, 1283E,  20, 1008, DB,
WP, 01, 2024052406,   , MTWC, 0, 100N, 1271E,  25, 1006, TD,
WP, 01, 2024052412,   , MTWC, 0, 107N, 1259E,  30, 1004, TD,
WP, 01, 2024052418,   , MTWC, 0, 115N, 1247E,  35, 1002, TS,
WP, 01, 2024052500,   , MTWC, 0, 122N, 1238E,  35, 1001, TS,
WP, 01, 2024052506,   , MTWC, 0, 127N, 1228E,  40,  999, TS,
WP, 01, 2024052512,   , MTWC, 0, 133N, 1221E,  45,  996, TS,
WP, 01, 2024052518,   , MTWC, 0, 137N, 1218E,  50,  992, TS,
WP, 01, 2024052600,   , MTWC, 0, 141N, 1216E,  55,  989, TS,
WP, 01, 2024052606,   , MTWC, 0, 144N, 1217E,  65,  983, TY,
WP, 01, 2024052612,   , MTWC, 0, 149N, 1220E,  85,  972, TY,
WP, 01, 2024052618,   , MTWC, 0, 154N, 1224E,  95,  968, TY,
WP, 01, 2024052700,   , MTWC, 0, 157N, 1228E, 100,  963, TY,
WP, 01, 2024052706,   , MTWC, 0, 162N, 1231E,  90,  969, TY,
WP, 01, 2024052712,   , MTWC, 0, 168N, 1237E,  80,  974, TY,
WP, 01, 2024052718,   , MTWC, 0, 175N, 1245E,  70,  978, TY,
WP, 01, 2024052800,   , MTWC, 0, 186N, 1255E,  70,  977, TY,
WP, 01, 2024052806,   , MTWC, 0, 198N, 1267E,  75,  974, TY,
WP, 01, 2024052812,   , MTWC, 0, 212N, 1280E,  80,  971, TY,
WP, 01, 2024052818,   , MTWC, 0, 226N, 1294E,  90,  968, TY,
WP, 01, 2024052900,   , MTWC, 0, 242N, 1308E,  90,  969, TY,
WP, 01, 2024052906,   , MTWC, 0, 253N, 1320E,  85,  971, TY,
WP, 01, 2024052912,   , MTWC, 0, 266N, 1331E,  80,  974, TY,
WP, 01, 2024052915,   , MTWC, 0, 269N, 1334E,  85,  971, TY,
WP, 01, 2024052918,   , MTWC, 0, 274N, 1338E,  75,  976, TY,
WP, 01, 2024053000,   , MTWC, 0, 281N, 1347E,  65,  982, TY,
WP, 01, 2024053006,   , MTWC, 0, 289N, 1358E,  55,  985, TS,
WP, 01, 2024053012,   , MTWC, 0, 300N, 1371E,  50,  987, EX,
WP, 01, 2024053018,   , MTWC, 0, 312N, 1384E,  50,  988, EX,
WP, 01, 2024053100,   , MTWC, 0, 322N, 1402E,  45,  990, EX,
WP, 01, 2024053106,   , MTWC, 0, 333N, 1426E,  45,  990, EX,
WP, 01, 2024053112,   , MTWC, 0, 347N, 1459E,  40,  991, EX,
WP, 01, 2024053118,   , MTWC, 0, 363N, 1493E,  40,  991, EX,
WP, 01, 2024060100,   , MTWC, 0, 376N, 1531E,  40,  992, EX,
WP, 01, 2024060106,   , MTWC, 0, 387N, 1565E,  40,  992, EX,
WP, 01, 2024060112,   , MTWC, 0, 396N, 1600E,  35,  993, EX,
WP, 01, 2024060118,   , MTWC, 0, 408N, 1642E,  35,  993, EX,
WP, 01, 2024060200,   , MTWC, 0, 425N, 1677E,  30,  994, EX,
