WP, 04, 2024071718,   , MTWC, 0, 125N, 1245E,  20, 1006, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Prapiroon,
WP, 04, 2024071800,   , MTWC, 0, 125N, 1234E,  20, 1006, DB,
WP, 04, 2024071806,   , MTWC, 0, 125N, 1223E,  20, 1005, DB,
WP, 04, 2024071812,   , MTWC, 0, 125N, 1212E,  20, 1005, DB,
WP, 04, 2024071818,   , MTWC, 0, 126N, 1201E,  25, 1003, TD,
WP, 04, 2024071900,   , MTWC, 0, 130N, 1189E,  25, 1002, TD,
WP, 04, 2024071906,   , MTWC, 0, 138N, 1176E,  25, 1002, TD,
WP, 04, 2024071912,   , MTWC, 0, 145N, 1167E,  30, 1000, TD,
WP, 04, 2024071918,   , MTWC, 0, 150N, 1157E,  30, 1000, TD,
WP, 04, 2024072000,   , MTWC, 0, 153N, 1146E,  30,  999, TD,
WP, 04, 2024072006,   , MTWC, 0, 156N, 1135E,  30,  999, TD,
WP, 04, 2024072012,   , MTWC, 0, 160N, 1126E,  35,  997, TS,
WP, 04, 2024072018,   , MTWC, 0, 161N, 1117E,  40,  995, TS,
WP, 04, 2024072100,   , MTWC, 0, 163N, 1112E,  45,  993, TS,
WP, 04, 2024072106,   , MTWC, 0, 170N, 1110E,  45,  992, TS,
WP, 04, 2024072112,   , MTWC, 0, 179N, 1109E,  55,  986, TS,
WP, 04, 2024072118,   , MTWC, 0, 187N, 1102E,  65,  982, TY,
WP, 04, 2024072200,   , MTWC, 0, 195N, 1093E,  55,  984, TS,
WP, 04, 2024072206,   , MTWC, 0, 200N, 1084E,  65,  978, TY,
WP, 04, 2024072212,   , MTWC, 0, 206N, 1081E,  70,  972, TY,
WP, 04, 2024072218,   , MTWC, 0, 211N, 1079E,  70,  974, TY,
WP, 04, 2024072300,   , MTWC, 0, 215N, 1077E,  55,  982, TS,
WP, 04, 2024072306,   , MTWC, 0, 218N, 1078E,  40,  992, TS,
WP, 04, 2024072312,   , MTWC, 0, 219N, 1077E,  30,  996, TD,
WP, 04, 2024072318,   , MTWC, 0, 219N, 1074E,  25,  998, TD,
WP, 04, 2024072400,   , MTWC, 0, 217N, 1071E,  20, 1000, DB,
WP, 04, 2024072406,   , MTWC, 0, 214N, 1070E,  20, 1001, DB,
WP, 04, 2024072412,   , MTWC, 0, 210N, 1070E,  15, 1003, DB,
WP, 04, 2024072418,   , MTWC, 0, 206N, 1072E,  15, 1003, DB,
WP, 04, 2024072500,   , MTWC, 0, 204N, 1076E,  15, 1003, DB,
WP, 04, 2024072506,   , MTWC, 0, 204N, 1081E,  15, 1004, DB,
WP, 04, 2024072512,   , MTWC, 0, 205N, 1085E,  15, 1004, DB,
