WP, 05, 2024071806,   , MTWC, 0, 100N, 1356E,  20, 1008, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Gaemi,
WP, 05, 2024071812,   , MTWC, 0, 107N, 1347E,  20, 1008, DB,
WP, 05, 2024071818,   , MTWC, 0, 116N, 1338E,  20, 1007, DB,
WP, 05, 2024071900,   , MTWC, 0, 123N, 1329E,  20, 1007, DB,
WP, 05, 2024071906,   , MTWC, 0, 129N, 1320E,  25, 1005, TD,
WP, 05, 2024071912,   , MTWC, 0, 134N, 1310E,  30, 1002, TD,
WP, 05, 2024071918,   , MTWC, 0, 141N, 1298E,  30, 1001, TD,
WP, 05, 2024072000,   , MTWC, 0, 150N, 1289E,  35,  998, TS,
WP, 05, 2024072006,   , MTWC, 0, 159N, 1280E,  40,  996, TS,
WP, 05, 2024072012,   , MTWC, 0, 166N, 1272E,  45,  993, TS,
WP, 05, 2024072018,   , MTWC, 0, 167N, 1265E,  45,  992, TS,
WP, 05, 2024072100,   , MTWC, 0, 167N, 1260E,  50,  989, TS,
WP, 05, 2024072106,   , MTWC, 0, 166N, 1257E,  50,  988, TS,
WP, 05, 2024072112,   , MTWC, 0, 167N, 1256E,  50,  987, TS,
WP, 05, 2024072118,   , MTWC, 0, 170N, 1256E,  55,  985, TS,
WP, 05, 2024072200,   , MTWC, 0, 175N, 1256E,  55,  984, TS,
WP, 05, 2024072206,   , MTWC, 0, 180N, 1256E,  60,  981, TS,
WP, 05, 2024072212,   , MTWC, 0, 185N, 1255E,  65,  978, TY,
WP, 05, 2024072218,   , MTWC, 0, 190N, 1253E,  70,  974, TY,
WP, 05, 2024072300,   , MTWC, 0, 196N, 1250E,  75,  970, TY,
WP, 05, 2024072306,   , MTWC, 0, 207N, 1248E,  85,  960, TY,
WP, 05, 2024072312,   , MTWC, 0, 217N, 1245E,  95,  951, TY,
WP, 05, 2024072315,   , MTWC, 0, 224N, 1240E, 110,  936, TY,
WP, 05, 2024072318,   , MTWC, 0, 230N, 1235E, 125,  922, TY,
WP, 05, 2024072400,   , MTWC, 0, 236N, 1231E, 140,  900, ST,
WP, 05, 2024072403,   , MTWC, 0, 239N, 1229E, 150,  890, ST,
WP, 05, 2024072406,   , MTWC, 0, 241N, 1225E, 155,  884, ST,
WP, 05, 2024072407,   , MTWC, 0, 242N, 1221E, 160,  875, ST,
WP, 05, 2024072409,   , MTWC, 0, 240N, 1220E, 145,  891, ST,
WP, 05, 2024072412,   , MTWC, 0, 237N, 1216E, 125,  908, TY,
WP, 05, 2024072413,   , MTWC, 0, 236N, 1217E, 110,  923, TY,
WP, 05, 2024072414,   , MTWC, 0, 238N, 1218E, 100,  930, TY,
WP, 05, 2024072415,   , MTWC, 0, 241N, 1218E,  90,  940, TY,
WP, 05, 2024072416,   , MTWC, 0, 244N, 1217E,  75,  955, TY,
WP, 05, 2024072418,   , MTWC, 0, 246N, 1214E,  70,  960, TY,
WP, 05, 2024072421,   , MTWC, 0, 249N, 1210E,  70,  962, TY,
WP, 05, 2024072500,   , MTWC, 0, 250N, 1205E,  65,  966, TY,
WP, 05, 2024072506,   , MTWC, 0, 249N, 1200E,  65,  968, TY,
WP, 05, 2024072512,   , MTWC, 0, 251N, 1195E,  60,  972, TS,
WP, 05, 2024072518,   , MTWC, 0, 254N, 1191E,  55,  976, TS,
WP, 05, 2024072600,   , MTWC, 0, 260N, 1185E,  45,  982, TS,
WP, 05, 2024072606,   , MTWC, 0, 267N, 1180E,  40,  985, TS,
WP, 05, 2024072612,   , MTWC, 0, 273N, 1174E,  35,  988, LO,
WP, 05, 2024072618,   , MTWC, 0, 281N, 1169E,  30,  991, LO,
WP, 05, 2024072700,   , MTWC, 0, 289N, 1163E,  25,  994, LO,
WP, 05, 2024072706,   , MTWC, 0, 297N, 1158E,  20,  995, LO,
WP, 05, 2024072712,   , MTWC, 0, 298N, 1153E,  20,  996, LO,
WP, 05, 2024072718,   , MTWC, 0, 296N, 1147E,  15,  998, LO,
