WP, 06, 2024080518,   , MTWC, 0, 251N, 1410E,  20, 1006, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Maria,
WP, 06, 2024080600,   , MTWC, 0, 253N, 1407E,  20, 1005, DB,
WP, 06, 2024080606,   , MTWC, 0, 255N, 1407E,  25, 1003, TD,
WP, 06, 2024080612,   , MTWC, 0, 255N, 1408E,  30, 1001, TD,
WP, 06, 2024080618,   , MTWC, 0, 254N, 1410E,  30, 1000, TD,
WP, 06, 2024080700,   , MTWC, 0, 252N, 1412E,  35,  998, TS,
WP, 06, 2024080706,   , MTWC, 0, 254N, 1415E,  35,  997, TS,
WP, 06, 2024080712,   , MTWC, 0, 256N, 1420E,  40,  995, TS,
WP, 06, 2024080718,   , MTWC, 0, 259N, 1428E,  45,  992, TS,
WP, 06, 2024080800,   , MTWC, 0, 266N, 1440E,  55,  987, TS,
WP, 06, 2024080806,   , MTWC, 0, 276N, 1449E,  65,  981, TY,
WP, 06, 2024080812,   , MTWC, 0, 288N, 1454E,  75,  974, TY,
WP, 06, 2024080818,   , MTWC, 0, 300N, 1457E,  85,  968, TY,
WP, 06, 2024080900,   , MTWC, 0, 310N, 1458E,  75,  972, TY,
WP, 06, 2024080906,   , MTWC, 0, 320N, 1458E,  70,  974, TY,
WP, 06, 2024080912,   , MTWC, 0, 330N, 1458E,  65,  976, TY,
WP, 06, 2024080918,   , MTWC, 0, 342N, 1457E,  60,  979, TS,
WP, 06, 2024081000,   , MTWC, 0, 352N, 1455E,  55,  981, TS,
WP, 06, 2024081006,   , MTWC, 0, 360N, 1453E,  45,  987, TS,
WP, 06, 2024081012,   , MTWC, 0, 365N, 1451E,  45,  988, TS,
WP, 06, 2024081018,   , MTWC, 0, 370N, 1448E,  45,  988, TS,
WP, 06, 2024081100,   , MTWC, 0, 374N, 1444E,  50,  986, TS,
WP, 06, 2024081106,   , MTWC, 0, 377N, 1438E,  55,  984, TS,
WP, 06, 2024081112,   , MTWC, 0, 378N, 1432E,  65,  982, TS,
WP, 06, 2024081118,   , MTWC, 0, 382N, 1425E,  65,  982, TS,
WP, 06, 2024081200,   , MTWC, 0, 389N, 1416E,  55,  985, TS,
WP, 06, 2024081206,   , MTWC, 0, 398N, 1408E,  45,  988, TS,
WP, 06, 2024081212,   , MTWC, 0, 405N, 1397E,  35,  991, TS,
WP, 06, 2024081218,   , MTWC, 0, 410N, 1392E,  30,  994, TD,
WP, 06, 2024081300,   , MTWC, 0, 415N, 1390E,  30,  995, EX,
WP, 06, 2024081306,   , MTWC, 0, 419N, 1390E,  30,  995, EX,
WP, 06, 2024081312,   , MTWC, 0, 420N, 1391E,  25,  998, EX,
WP, 06, 2024081318,   , MTWC, 0, 420N, 1393E,  25,  999, EX,
WP, 06, 2024081400,   , MTWC, 0, 416N, 1397E,  25,  999, EX,
WP, 06, 2024081406,   , MTWC, 0, 412N, 1405E,  20, 1002, EX,
WP, 06, 2024081412,   , MTWC, 0, 412N, 1415E,  20, 1003, EX,
WP, 06, 2024081418,   , MTWC, 0, 414N, 1428E,  15, 1006, EX,
WP, 06, 2024081500,   , MTWC, 0, 419N, 1444E,  15, 1007, EX,
WP, 06, 2024081506,   , MTWC, 0, 425N, 1460E,  15, 1007, EX,
