WP, 07, 2024080918,   , MTWC, 0, 256N, 1543E,  15, 1008, TD, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Son-Tinh,
WP, 07, 2024081000,   , MTWC, 0, 260N, 1542E,  20, 1006, TD,
WP, 07, 2024081006,   , MTWC, 0, 263N, 1542E,  25, 1004, TD,
WP, 07, 2024081012,   , MTWC, 0, 266N, 1544E,  30, 1002, TD,
WP, 07, 2024081018,   , MTWC, 0, 269N, 1546E,  35, 1000, TS,
WP, 07, 2024081100,   , MTWC, 0, 272N, 1548E,  35,  999, TS,
WP, 07, 2024081106,   , MTWC, 0, 277N, 1551E,  40,  997, TS,
WP, 07, 2024081112,   , MTWC, 0, 289N, 1550E,  45,  995, TS,
WP, 07, 2024081118,   , MTWC, 0, 304N, 1542E,  45,  995, TS,
WP, 07, 2024081200,   , MTWC, 0, 314N, 1530E,  45,  994, TS,
WP, 07, 2024081206,   , MTWC, 0, 324N, 1516E,  45,  994, TS,
WP, 07, 2024081212,   , MTWC, 0, 332N, 1503E,  40,  996, TS,
WP, 07, 2024081218,   , MTWC, 0, 342N, 1490E,  35,  998, TS,
WP, 07, 2024081300,   , MTWC, 0, 353N, 1479E,  30, 1000, TD,
WP, 07, 2024081306,   , MTWC, 0, 361N, 1469E,  30, 1000, TD,
WP, 07, 2024081312,   , MTWC, 0, 372N, 1459E,  30, 1001, LO,
WP, 07, 2024081318,   , MTWC, 0, 387N, 1456E,  30, 1001, LO,
WP, 07, 2024081400,   , MTWC, 0, 400N, 1457E,  30, 1001, LO,
WP, 07, 2024081406,   , MTWC, 0, 415N, 1466E,  25, 1003, LO,
WP, 07, 2024081412,   , MTWC, 0, 435N, 1481E,  25, 1003, EX,
WP, 07, 2024081418,   , MTWC, 0, 448N, 1503E,  25, 1004, EX,
WP, 07, 2024081500,   , MTWC, 0, 456N, 1537E,  25, 1004, EX,
WP, 07, 2024081506,   , MTWC, 0, 460N, 1580E,  25, 1004, EX,
WP, 07, 2024081512,   , MTWC, 0, 460N, 1614E,  30, 1002, EX,
WP, 07, 2024081518,   , MTWC, 0, 458N, 1650E,  35, 1000, EX,
WP, 07, 2024081600,   , MTWC, 0, 456N, 1690E,  40,  998, EX,
WP, 07, 2024081606,   , MTWC, 0, 457N, 1736E,  45,  994, EX,
WP, 07, 2024081612,   , MTWC, 0, 466N, 1770E,  45,  993, EX,
WP, 07, 2024081618,   , MTWC, 0, 489N, 1795W,  45,  992, EX,
WP, 07, 2024081700,   , MTWC, 0, 530N, 1776W,  40,  992, EX,
WP, 07, 2024081706,   , MTWC, 0, 550N, 1782W,  40,  993, EX,
WP, 07, 2024081712,   , MTWC, 0, 566N, 1796W,  40,  993, EX,
WP, 07, 2024081718,   , MTWC, 0, 562N, 1800E,  45,  991, EX,
WP, 07, 2024081800,   , MTWC, 0, 566N, 1776W,  45,  990, EX,
WP, 07, 2024081806,   , MTWC, 0, 573N, 1747W,  45,  992, EX,
WP, 07, 2024081812,   , MTWC, 0, 588N, 1706W,  40,  994, EX,
WP, 07, 2024081818,   , MTWC, 0, 608N, 1667W,  40,  996, EX,
WP, 07, 2024081900,   , MTWC, 0, 634N, 1643W,  35,  998, EX,
WP, 07, 2024081906,   , MTWC, 0, 650N, 1622W,  30, 1000, EX,
WP, 07, 2024081912,   , MTWC, 0, 663N, 1590W,  25, 1002, EX,
