WP, 08, 2024081100,   , MTWC, 0, 216N, 1330E,  20, 1005, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Ampil,
WP, 08, 2024081106,   , MTWC, 0, 219N, 1340E,  20, 1005, DB,
WP, 08, 2024081112,   , MTWC, 0, 222N, 1349E,  20, 1004, DB,
WP, 08, 2024081118,   , MTWC, 0, 224N, 1356E,  25, 1002, TD,
WP, 08, 2024081200,   , MTWC, 0, 226N, 1361E,  30, 1000, TD,
WP, 08, 2024081206,   , MTWC, 0, 230N, 1366E,  30,  999, TD,
WP, 08, 2024081212,   , MTWC, 0, 235N, 1372E,  35,  996, TS,
WP, 08, 2024081218,   , MTWC, 0, 240N, 1377E,  40,  993, TS,
WP, 08, 2024081300,   , MTWC, 0, 245N, 1381E,  45,  990, TS,
WP, 08, 2024081306,   , MTWC, 0, 249N, 1385E,  50,  987, TS,
WP, 08, 2024081312,   , MTWC, 0, 252N, 1390E,  60,  981, TS,
WP, 08, 2024081318,   , MTWC, 0, 255N, 1396E,  65,  978, TY,
WP, 08, 2024081400,   , MTWC, 0, 259N, 1402E,  70,  974, TY,
WP, 08, 2024081406,   , MTWC, 0, 266N, 1408E,  75,  970, TY,
WP, 08, 2024081412,   , MTWC, 0, 275N, 1412E,  80,  966, TY,
WP, 08, 2024081418,   , MTWC, 0, 285N, 1413E,  80,  964, TY,
WP, 08, 2024081500,   , MTWC, 0, 295N, 1412E,  85,  960, TY,
WP, 08, 2024081506,   , MTWC, 0, 305N, 1411E,  90,  956, TY,
WP, 08, 2024081512,   , MTWC, 0, 315N, 1409E, 105,  944, TY,
WP, 08, 2024081518,   , MTWC, 0, 325N, 1408E, 110,  936, TY,
WP, 08, 2024081600,   , MTWC, 0, 334N, 1407E, 105,  944, TY,
WP, 08, 2024081606,   , MTWC, 0, 341N, 1411E, 100,  946, TY,
WP, 08, 2024081612,   , MTWC, 0, 349N, 1419E, 100,  949, TY,
WP, 08, 2024081618,   , MTWC, 0, 358N, 1427E,  95,  952, TY,
WP, 08, 2024081700,   , MTWC, 0, 365N, 1439E,  90,  955, TY,
WP, 08, 2024081706,   , MTWC, 0, 370N, 1454E,  85,  958, TY,
WP, 08, 2024081712,   , MTWC, 0, 375N, 1476E,  80,  961, TY,
WP, 08, 2024081718,   , MTWC, 0, 381N, 1503E,  70,  967, TY,
WP, 08, 2024081800,   , MTWC, 0, 393N, 1530E,  70,  967, TY,
WP, 08, 2024081806,   , MTWC, 0, 405N, 1555E,  70,  968, TY,
WP, 08, 2024081812,   , MTWC, 0, 418N, 1580E,  70,  968, TY,
WP, 08, 2024081818,   , MTWC, 0, 431N, 1607E,  70,  968, TY,
WP, 08, 2024081900,   , MTWC, 0, 445N, 1632E,  65,  967, EX,
WP, 08, 2024081906,   , MTWC, 0, 459N, 1657E,  65,  967, EX,
WP, 08, 2024081912,   , MTWC, 0, 482N, 1685E,  65,  964, EX,
WP, 08, 2024081918,   , MTWC, 0, 515N, 1709E,  70,  960, EX,
WP, 08, 2024082000,   , MTWC, 0, 543N, 1710E,  70,  958, EX,
WP, 08, 2024082006,   , MTWC, 0, 557N, 1710E,  65,  958, EX,
WP, 08, 2024082012,   , MTWC, 0, 570N, 1714E,  65,  958, EX,
WP, 08, 2024082018,   , MTWC, 0, 580N, 1728E,  60,  960, EX,
WP, 08, 2024082100,   , MTWC, 0, 589N, 1755E,  60,  962, EX,
WP, 08, 2024082106,   , MTWC, 0, 603N, 1785E,  55,  966, EX,
WP, 08, 2024082112,   , MTWC, 0, 622N, 1778W,  50,  970, EX,
WP, 08, 2024082118,   , MTWC, 0, 640N, 1738W,  45,  974, EX,
WP, 08, 2024082200,   , MTWC, 0, 655N, 1695W,  40,  978, EX,
WP, 08, 2024082206,   , MTWC, 0, 672N, 1648W,  40,  980, EX,
WP, 08, 2024082212,   , MTWC, 0, 696N, 1591W,  35,  985, EX,
WP, 08, 2024082218,   , MTWC, 0, 710N, 1533W,  30,  990, EX,
WP, 08, 2024082300,   , MTWC, 0, 715N, 1482W,  25,  994, EX,
WP, 08, 2024082306,   , MTWC, 0, 714N, 1448W,  25,  996, EX,
