WP, 09, 2024081118,   , MTWC, 0, 237N, 1474E,  20, 1001, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Wukong,
WP, 09, 2024081200,   , MTWC, 0, 241N, 1480E,  25, 1000, TD,
WP, 09, 2024081206,   , MTWC, 0, 245N, 1485E,  30,  998, TD,
WP, 09, 2024081212,   , MTWC, 0, 251N, 1490E,  35,  996, TS,
WP, 09, 2024081218,   , MTWC, 0, 260N, 1496E,  40,  993, TS,
WP, 09, 2024081300,   , MTWC, 0, 267N, 1502E,  45,  991, TS,
WP, 09, 2024081306,   , MTWC, 0, 272N, 1505E,  45,  991, TS,
WP, 09, 2024081312,   , MTWC, 0, 278N, 1504E,  45,  991, TS,
WP, 09, 2024081318,   , MTWC, 0, 285N, 1499E,  40,  992, TS,
WP, 09, 2024081400,   , MTWC, 0, 295N, 1488E,  40,  992, TS,
WP, 09, 2024081406,   , MTWC, 0, 307N, 1478E,  35,  993, LO,
WP, 09, 2024081412,   , MTWC, 0, 322N, 1470E,  35,  994, LO,
WP, 09, 2024081418,   , MTWC, 0, 340N, 1466E,  30,  996, LO,
WP, 09, 2024081500,   , MTWC, 0, 358N, 1465E,  30,  997, LO,
WP, 09, 2024081506,   , MTWC, 0, 370N, 1468E,  25,  999, EX,
WP, 09, 2024081512,   , MTWC, 0, 378N, 1480E,  25, 1000, EX,
WP, 09, 2024081518,   , MTWC, 0, 385N, 1498E,  20, 1002, EX,
WP, 09, 2024081600,   , MTWC, 0, 392N, 1522E,  15, 1005, EX,
