WP, 10, 2024081712,   , MTWC, 0, 235N, 1246E,  15, 1005, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Jongdari,
WP, 10, 2024081718,   , MTWC, 0, 237N, 1250E,  20, 1002, DB,
WP, 10, 2024081800,   , MTWC, 0, 240N, 1253E,  25,  999, TD,
WP, 10, 2024081806,   , MTWC, 0, 243N, 1256E,  30,  997, TD,
WP, 10, 2024081812,   , MTWC, 0, 245N, 1258E,  35,  995, TS,
WP, 10, 2024081818,   , MTWC, 0, 247N, 1259E,  40,  993, TS,
WP, 10, 2024081900,   , MTWC, 0, 252N, 1259E,  40,  993, TS,
WP, 10, 2024081906,   , MTWC, 0, 260N, 1260E,  45,  992, TS,
WP, 10, 2024081912,   , MTWC, 0, 274N, 1260E,  45,  992, TS,
WP, 10, 2024081918,   , MTWC, 0, 292N, 1258E,  45,  992, TS,
WP, 10, 2024082000,   , MTWC, 0, 310N, 1254E,  35,  994, TS,
WP, 10, 2024082006,   , MTWC, 0, 327N, 1254E,  30,  996, WV,
WP, 10, 2024082012,   , MTWC, 0, 345N, 1255E,  30,  997, WV,
WP, 10, 2024082018,   , MTWC, 0, 360N, 1259E,  25,  999, WV,
WP, 10, 2024082100,   , MTWC, 0, 378N, 1266E,  25,  999, WV,
WP, 10, 2024082106,   , MTWC, 0, 390N, 1280E,  25, 1000, EX,
WP, 10, 2024082112,   , MTWC, 0, 400N, 1300E,  25, 1000, EX,
WP, 10, 2024082118,   , MTWC, 0, 410N, 1320E,  25, 1000, EX,
WP, 10, 2024082200,   , MTWC, 0, 420N, 1341E,  20, 1002, EX,
WP, 10, 2024082206,   , MTWC, 0, 429N, 1364E,  20, 1002, EX,
WP, 10, 2024082212,   , MTWC, 0, 436N, 1380E,  20, 1003, EX,
