WP, 11, 2024082006,   , MTWC, 0, 150N, 1466E,  20, 1010, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Shanshan,
WP, 11, 2024082012,   , MTWC, 0, 153N, 1456E,  20, 1010, DB,
WP, 11, 2024082018,   , MTWC, 0, 156N, 1448E,  20, 1010, DB,
WP, 11, 2024082100,   , MTWC, 0, 159N, 1442E,  25, 1008, TD,
WP, 11, 2024082106,   , MTWC, 0, 163N, 1436E,  25, 1007, TD,
WP, 11, 2024082112,   , MTWC, 0, 167N, 1431E,  30, 1004, TD,
WP, 11, 2024082118,   , MTWC, 0, 170N, 1424E,  35, 1001, TS,
WP, 11, 2024082200,   , MTWC, 0, 172N, 1417E,  40,  998, TS,
WP, 11, 2024082206,   , MTWC, 0, 171N, 1412E,  45,  995, TS,
WP, 11, 2024082212,   , MTWC, 0, 168N, 1410E,  50,  993, TS,
WP, 11, 2024082218,   , MTWC, 0, 170N, 1409E,  50,  991, TS,
WP, 11, 2024082300,   , MTWC, 0, 173N, 1409E,  55,  988, TS,
WP, 11, 2024082306,   , MTWC, 0, 177N, 1410E,  55,  987, TS,
WP, 11, 2024082312,   , MTWC, 0, 182N, 1411E,  55,  986, TS,
WP, 11, 2024082318,   , MTWC, 0, 188N, 1413E,  60,  983, TS,
WP, 11, 2024082400,   , MTWC, 0, 199N, 1414E,  60,  980, TS,
WP, 11, 2024082406,   , MTWC, 0, 212N, 1413E,  65,  977, TY,
WP, 11, 2024082412,   , MTWC, 0, 226N, 1410E,  70,  974, TY,
WP, 11, 2024082418,   , MTWC, 0, 238N, 1404E,  75,  972, TY,
WP, 11, 2024082500,   , MTWC, 0, 248N, 1392E,  75,  970, TY,
WP, 11, 2024082506,   , MTWC, 0, 258N, 1379E,  80,  968, TY,
WP, 11, 2024082512,   , MTWC, 0, 266N, 1365E,  85,  964, TY,
WP, 11, 2024082518,   , MTWC, 0, 269N, 1350E,  85,  964, TY,
WP, 11, 2024082600,   , MTWC, 0, 271N, 1336E,  95,  962, TY,
WP, 11, 2024082606,   , MTWC, 0, 274N, 1326E,  90,  958, TY,
WP, 11, 2024082612,   , MTWC, 0, 276N, 1317E,  95,  950, TY,
WP, 11, 2024082618,   , MTWC, 0, 279N, 1311E, 105,  944, TY,
WP, 11, 2024082700,   , MTWC, 0, 282N, 1306E, 105,  943, TY,
WP, 11, 2024082706,   , MTWC, 0, 284N, 1303E, 110,  940, TY,
WP, 11, 2024082712,   , MTWC, 0, 285N, 1301E, 120,  936, TY,
WP, 11, 2024082718,   , MTWC, 0, 288N, 1300E, 122,  933, TY,
WP, 11, 2024082800,   , MTWC, 0, 293N, 1301E, 110,  940, TY,
WP, 11, 2024082806,   , MTWC, 0, 300N, 1301E, 105,  944, TY,
WP, 11, 2024082812,   , MTWC, 0, 306N, 1300E,  95,  952, TY,
WP, 11, 2024082818,   , MTWC, 0, 313N, 1300E,  80,  964, TY,
WP, 11, 2024082900,   , MTWC, 0, 320N, 1301E,  70,  972, TY,
WP, 11, 2024082906,   , MTWC, 0, 327N, 1302E,  50,  984, TS,
WP, 11, 2024082912,   , MTWC, 0, 332N, 1305E,  40,  990, TS,
WP, 11, 2024082918,   , MTWC, 0, 333N, 1309E,  35,  992, TS,
WP, 11, 2024083000,   , MTWC, 0, 334N, 1314E,  30,  993, TD,
WP, 11, 2024083006,   , MTWC, 0, 335N, 1320E,  30,  993, TD,
WP, 11, 2024083012,   , MTWC, 0, 335N, 1328E,  30,  992, TD,
WP, 11, 2024083018,   , MTWC, 0, 335N, 1339E,  30,  992, TD,
WP, 11, 2024083100,   , MTWC, 0, 334N, 1351E,  30,  992, TD,
WP, 11, 2024083106,   , MTWC, 0, 332N, 1365E,  30,  992, TD,
WP, 11, 2024083112,   , MTWC, 0, 331N, 1370E,  30,  992, TD,
WP, 11, 2024083118,   , MTWC, 0, 328N, 1368E,  30,  992, LO,
WP, 11, 2024090100,   , MTWC, 0, 330N, 1366E,  25,  994, LO,
WP, 11, 2024090106,   , MTWC, 0, 338N, 1366E,  25,  994, LO,
WP, 11, 2024090112,   , MTWC, 0, 350N, 1365E,  25,  995, LO,
WP, 11, 2024090118,   , MTWC, 0, 360N, 1366E,  20,  998, LO,
WP, 11, 2024090200,   , MTWC, 0, 365N, 1369E,  15, 1001, LO,
WP, 11, 2024090206,   , MTWC, 0, 369N, 1375E,  15, 1002, LO,
