WP, 12, 2024083018,   , MTWC, 0,  94N, 1316E,  20, 1003, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Yagi,
WP, 12, 2024083100,   , MTWC, 0, 100N, 1305E,  20, 1003, DB,
WP, 12, 2024083106,   , MTWC, 0, 105N, 1295E,  20, 1003, DB,
WP, 12, 2024083112,   , MTWC, 0, 110N, 1284E,  20, 1002, DB,
WP, 12, 2024083118,   , MTWC, 0, 116N, 1272E,  25, 1000, TD,
WP, 12, 2024090100,   , MTWC, 0, 121N, 1262E,  30,  998, TD,
WP, 12, 2024090106,   , MTWC, 0, 127N, 1252E,  35,  996, TS,
WP, 12, 2024090112,   , MTWC, 0, 135N, 1243E,  45,  993, TS,
WP, 12, 2024090118,   , MTWC, 0, 144N, 1234E,  50,  990, TS,
WP, 12, 2024090200,   , MTWC, 0, 152N, 1227E,  55,  988, TS,
WP, 12, 2024090206,   , MTWC, 0, 161N, 1223E,  55,  987, TS,
WP, 12, 2024090212,   , MTWC, 0, 171N, 1216E,  45,  991, TS,
WP, 12, 2024090218,   , MTWC, 0, 178N, 1205E,  40,  995, TS,
WP, 12, 2024090300,   , MTWC, 0, 183N, 1196E,  45,  992, TS,
WP, 12, 2024090306,   , MTWC, 0, 184N, 1190E,  45,  989, TS,
WP, 12, 2024090312,   , MTWC, 0, 184N, 1185E,  50,  986, TS,
WP, 12, 2024090318,   , MTWC, 0, 186N, 1181E,  55,  982, TS,
WP, 12, 2024090400,   , MTWC, 0, 188N, 1177E,  75,  970, TY,
WP, 12, 2024090406,   , MTWC, 0, 190N, 1173E,  90,  958, TY,
WP, 12, 2024090409,   , MTWC, 0, 191N, 1171E, 100,  950, TY,
WP, 12, 2024090412,   , MTWC, 0, 191N, 1168E, 120,  934, TY,
WP, 12, 2024090418,   , MTWC, 0, 192N, 1163E, 130,  920, ST,
WP, 12, 2024090421,   , MTWC, 0, 191N, 1159E, 140,  910, ST,
WP, 12, 2024090500,   , MTWC, 0, 191N, 1156E, 130,  918, ST,
WP, 12, 2024090506,   , MTWC, 0, 192N, 1150E, 120,  924, TY,
WP, 12, 2024090512,   , MTWC, 0, 192N, 1142E, 125,  920, TY,
WP, 12, 2024090515,   , MTWC, 0, 192N, 1136E, 140,  905, ST,
WP, 12, 2024090518,   , MTWC, 0, 192N, 1131E, 140,  903, ST,
WP, 12, 2024090600,   , MTWC, 0, 193N, 1122E, 130,  908, ST,
WP, 12, 2024090606,   , MTWC, 0, 196N, 1113E, 122,  915, TY,
WP, 12, 2024090608,   , MTWC, 0, 197N, 1109E, 120,  918, TY,
WP, 12, 2024090612,   , MTWC, 0, 199N, 1102E, 115,  922, TY,
WP, 12, 2024090618,   , MTWC, 0, 202N, 1090E, 115,  925, TY,
WP, 12, 2024090700,   , MTWC, 0, 205N, 1080E, 120,  922, TY,
WP, 12, 2024090703,   , MTWC, 0, 206N, 1073E, 125,  918, TY,
WP, 12, 2024090706,   , MTWC, 0, 206N, 1069E, 120,  920, TY,
WP, 12, 2024090707,   , MTWC, 0, 207N, 1067E, 110,  932, TY,
WP, 12, 2024090712,   , MTWC, 0, 208N, 1060E,  80,  960, TY,
WP, 12, 2024090718,   , MTWC, 0, 210N, 1051E,  50,  988, TS,
WP, 12, 2024090800,   , MTWC, 0, 213N, 1043E,  40,  995, TS,
WP, 12, 2024090806,   , MTWC, 0, 216N, 1038E,  30,  999, TD,
WP, 12, 2024090812,   , MTWC, 0, 218N, 1034E,  30, 1000, TD,
WP, 12, 2024090818,   , MTWC, 0, 219N, 1029E,  25, 1002, TD,
WP, 12, 2024090900,   , MTWC, 0, 219N, 1024E,  20, 1004, DB,
WP, 12, 2024090906,   , MTWC, 0, 217N, 1018E,  20, 1004, DB,
WP, 12, 2024090912,   , MTWC, 0, 215N, 1012E,  20, 1004, DB,
WP, 12, 2024090918,   , MTWC, 0, 212N, 1004E,  20, 1004, DB,
WP, 12, 2024091000,   , MTWC, 0, 208N,  998E,  20, 1005, DB,
WP, 12, 2024091006,   , MTWC, 0, 204N,  994E,  20, 1005, DB,
WP, 12, 2024091012,   , MTWC, 0, 202N,  988E,  20, 1005, DB,
WP, 12, 2024091018,   , MTWC, 0, 202N,  982E,  20, 1005, DB,
WP, 12, 2024091100,   , MTWC, 0, 203N,  974E,  20, 1005, DB,
WP, 12, 2024091106,   , MTWC, 0, 205N,  967E,  20, 1005, DB,
WP, 12, 2024091112,   , MTWC, 0, 206N,  960E,  20, 1005, DB,
WP, 12, 2024091118,   , MTWC, 0, 206N,  953E,  20, 1005, DB,
WP, 12, 2024091200,   , MTWC, 0, 205N,  943E,  20, 1005, DB,
WP, 12, 2024091206,   , MTWC, 0, 205N,  933E,  20, 1005, DB,
WP, 12, 2024091212,   , MTWC, 0, 206N,  924E,  25, 1002, TD,
WP, 12, 2024091218,   , MTWC, 0, 208N,  917E,  30,  999, TD,
WP, 12, 2024091300,   , MTWC, 0, 211N,  912E,  30,  998, TD,
WP, 12, 2024091306,   , MTWC, 0, 215N,  908E,  35,  995, TS,
WP, 12, 2024091312,   , MTWC, 0, 219N,  905E,  40,  992, TS,
WP, 12, 2024091318,   , MTWC, 0, 223N,  901E,  40,  992, TS,
WP, 12, 2024091400,   , MTWC, 0, 226N,  896E,  40,  993, TS,
WP, 12, 2024091406,   , MTWC, 0, 228N,  891E,  40,  993, TS,
WP, 12, 2024091412,   , MTWC, 0, 229N,  887E,  35,  995, TS,
WP, 12, 2024091418,   , MTWC, 0, 230N,  884E,  35,  996, TS,
WP, 12, 2024091500,   , MTWC, 0, 230N,  882E,  30,  998, TD,
WP, 12, 2024091506,   , MTWC, 0, 230N,  879E,  30,  998, TD,
WP, 12, 2024091512,   , MTWC, 0, 230N,  875E,  30,  999, TD,
WP, 12, 2024091518,   , MTWC, 0, 229N,  870E,  30,  999, TD,
WP, 12, 2024091600,   , MTWC, 0, 229N,  864E,  25, 1001, TD,
WP, 12, 2024091606,   , MTWC, 0, 229N,  857E,  25, 1001, TD,
WP, 12, 2024091612,   , MTWC, 0, 230N,  849E,  25, 1002, TD,
WP, 12, 2024091618,   , MTWC, 0, 232N,  840E,  25, 1002, TD,
WP, 12, 2024091700,   , MTWC, 0, 236N,  830E,  25, 1002, TD,
WP, 12, 2024091706,   , MTWC, 0, 240N,  820E,  20, 1004, DB,
WP, 12, 2024091712,   , MTWC, 0, 245N,  810E,  20, 1004, DB,
WP, 12, 2024091718,   , MTWC, 0, 249N,  800E,  20, 1004, DB,
WP, 12, 2024091800,   , MTWC, 0, 252N,  791E,  20, 1005, DB,
WP, 12, 2024091806,   , MTWC, 0, 255N,  784E,  20, 1005, DB,
WP, 12, 2024091812,   , MTWC, 0, 258N,  780E,  15, 1007, DB,
WP, 12, 2024091818,   , MTWC, 0, 262N,  778E,  15, 1008, DB,
WP, 12, 2024091900,   , MTWC, 0, 266N,  779E,  15, 1008, DB,
