WP, 13, 2024090112,   , MTWC, 0, 227N, 1463E,  20, 1010, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Leepi,
WP, 13, 2024090118,   , MTWC, 0, 230N, 1463E,  20, 1010, DB,
WP, 13, 2024090200,   , MTWC, 0, 233N, 1464E,  20, 1010, DB,
WP, 13, 2024090206,   , MTWC, 0, 236N, 1465E,  20, 1009, DB,
WP, 13, 2024090212,   , MTWC, 0, 240N, 1467E,  20, 1009, DB,
WP, 13, 2024090218,   , MTWC, 0, 244N, 1470E,  25, 1007, TD,
WP, 13, 2024090300,   , MTWC, 0, 248N, 1472E,  25, 1006, TD,
WP, 13, 2024090306,   , MTWC, 0, 252N, 1474E,  25, 1006, TD,
WP, 13, 2024090312,   , MTWC, 0, 258N, 1474E,  30, 1004, TD,
WP, 13, 2024090318,   , MTWC, 0, 266N, 1473E,  30, 1003, TD,
WP, 13, 2024090400,   , MTWC, 0, 275N, 1470E,  35, 1001, TS,
WP, 13, 2024090406,   , MTWC, 0, 286N, 1467E,  35, 1000, TS,
WP, 13, 2024090412,   , MTWC, 0, 298N, 1464E,  40,  998, TS,
WP, 13, 2024090418,   , MTWC, 0, 310N, 1461E,  40,  998, TS,
WP, 13, 2024090500,   , MTWC, 0, 320N, 1458E,  45,  994, TS,
WP, 13, 2024090506,   , MTWC, 0, 329N, 1459E,  45,  992, TS,
WP, 13, 2024090512,   , MTWC, 0, 338N, 1463E,  55,  985, TS,
WP, 13, 2024090518,   , MTWC, 0, 348N, 1469E,  50,  988, TS,
WP, 13, 2024090600,   , MTWC, 0, 358N, 1479E,  45,  993, TS,
WP, 13, 2024090606,   , MTWC, 0, 369N, 1494E,  40,  998, TS,
WP, 13, 2024090612,   , MTWC, 0, 379N, 1512E,  35, 1001, TS,
WP, 13, 2024090618,   , MTWC, 0, 392N, 1529E,  35, 1001, TS,
WP, 13, 2024090700,   , MTWC, 0, 406N, 1548E,  30, 1000, TD,
WP, 13, 2024090706,   , MTWC, 0, 422N, 1574E,  30, 1000, EX,
WP, 13, 2024090712,   , MTWC, 0, 437N, 1606E,  35,  998, EX,
WP, 13, 2024090718,   , MTWC, 0, 454N, 1649E,  35,  997, EX,
WP, 13, 2024090800,   , MTWC, 0, 470N, 1694E,  35,  997, EX,
WP, 13, 2024090806,   , MTWC, 0, 492N, 1742E,  30,  999, EX,
WP, 13, 2024090812,   , MTWC, 0, 514N, 1792E,  25, 1001, EX,
