WP, 14, 2024090906,   , MTWC, 0, 100N, 1495E,  20, 1003, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Bebinca,
WP, 14, 2024090912,   , MTWC, 0, 102N, 1485E,  20, 1003, DB,
WP, 14, 2024090918,   , MTWC, 0, 106N, 1475E,  20, 1002, DB,
WP, 14, 2024091000,   , MTWC, 0, 112N, 1466E,  25, 1000, TD,
WP, 14, 2024091006,   , MTWC, 0, 120N, 1458E,  25,  999, TD,
WP, 14, 2024091012,   , MTWC, 0, 127N, 1452E,  30,  996, TD,
WP, 14, 2024091018,   , MTWC, 0, 133N, 1445E,  35,  993, TS,
WP, 14, 2024091100,   , MTWC, 0, 138N, 1436E,  35,  993, TS,
WP, 14, 2024091106,   , MTWC, 0, 146N, 1425E,  35,  992, TS,
WP, 14, 2024091112,   , MTWC, 0, 156N, 1415E,  40,  990, TS,
WP, 14, 2024091118,   , MTWC, 0, 167N, 1406E,  45,  988, TS,
WP, 14, 2024091200,   , MTWC, 0, 178N, 1401E,  50,  986, TS,
WP, 14, 2024091206,   , MTWC, 0, 190N, 1396E,  50,  985, TS,
WP, 14, 2024091212,   , MTWC, 0, 202N, 1390E,  45,  989, TS,
WP, 14, 2024091218,   , MTWC, 0, 212N, 1380E,  40,  992, TS,
WP, 14, 2024091300,   , MTWC, 0, 223N, 1368E,  45,  990, TS,
WP, 14, 2024091306,   , MTWC, 0, 234N, 1355E,  45,  988, TS,
WP, 14, 2024091312,   , MTWC, 0, 244N, 1341E,  50,  985, TS,
WP, 14, 2024091318,   , MTWC, 0, 252N, 1327E,  60,  979, TS,
WP, 14, 2024091400,   , MTWC, 0, 262N, 1314E,  70,  974, TY,
WP, 14, 2024091406,   , MTWC, 0, 271N, 1302E,  75,  972, TY,
WP, 14, 2024091412,   , MTWC, 0, 280N, 1292E,  80,  970, TY,
WP, 14, 2024091418,   , MTWC, 0, 288N, 1282E,  85,  968, TY,
WP, 14, 2024091500,   , MTWC, 0, 296N, 1270E,  85,  967, TY,
WP, 14, 2024091506,   , MTWC, 0, 301N, 1258E,  90,  964, TY,
WP, 14, 2024091512,   , MTWC, 0, 303N, 1245E,  90,  964, TY,
WP, 14, 2024091518,   , MTWC, 0, 304N, 1231E,  90,  966, TY,
WP, 14, 2024091600,   , MTWC, 0, 308N, 1218E,  85,  969, TY,
WP, 14, 2024091606,   , MTWC, 0, 312N, 1206E,  75,  976, TY,
WP, 14, 2024091612,   , MTWC, 0, 316N, 1194E,  65,  984, TY,
WP, 14, 2024091618,   , MTWC, 0, 320N, 1182E,  55,  990, TS,
WP, 14, 2024091700,   , MTWC, 0, 324N, 1170E,  40,  998, TS,
WP, 14, 2024091706,   , MTWC, 0, 328N, 1161E,  30, 1000, TD,
WP, 14, 2024091712,   , MTWC, 0, 332N, 1155E,  25, 1002, TD,
WP, 14, 2024091718,   , MTWC, 0, 335N, 1150E,  20, 1004, DB,
WP, 14, 2024091800,   , MTWC, 0, 337N, 1148E,  20, 1004, DB,
WP, 14, 2024091806,   , MTWC, 0, 338N, 1147E,  20, 1005, DB,
WP, 14, 2024091812,   , MTWC, 0, 337N, 1145E,  15, 1007, DB,
WP, 14, 2024091818,   , MTWC, 0, 334N, 1142E,  15, 1008, DB,
