WP, 15, 2024091312,   , MTWC, 0, 150N, 1460E,  20, 1002, MD, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Pulasan,
WP, 15, 2024091318,   , MTWC, 0, 148N, 1452E,  20, 1002, MD,
WP, 15, 2024091400,   , MTWC, 0, 145N, 1446E,  20, 1002, MD,
WP, 15, 2024091406,   , MTWC, 0, 141N, 1440E,  25, 1000, MD,
WP, 15, 2024091412,   , MTWC, 0, 137N, 1434E,  30,  999, MD,
WP, 15, 2024091418,   , MTWC, 0, 134N, 1430E,  35,  997, MD,
WP, 15, 2024091500,   , MTWC, 0, 135N, 1428E,  35,  997, MD,
WP, 15, 2024091506,   , MTWC, 0, 137N, 1428E,  35,  996, MD,
WP, 15, 2024091512,   , MTWC, 0, 139N, 1429E,  40,  993, MD,
WP, 15, 2024091518,   , MTWC, 0, 142N, 1431E,  40,  992, MD,
WP, 15, 2024091600,   , MTWC, 0, 146N, 1432E,  45,  990, MD,
WP, 15, 2024091606,   , MTWC, 0, 152N, 1432E,  45,  990, MD,
WP, 15, 2024091612,   , MTWC, 0, 160N, 1428E,  50,  989, MD,
WP, 15, 2024091618,   , MTWC, 0, 173N, 1418E,  55,  986, MD,
WP, 15, 2024091700,   , MTWC, 0, 189N, 1402E,  60,  983, MD,
WP, 15, 2024091706,   , MTWC, 0, 208N, 1382E,  70,  980, MD,
WP, 15, 2024091712,   , MTWC, 0, 220N, 1356E,  75,  979, MD,
WP, 15, 2024091718,   , MTWC, 0, 230N, 1333E,  75,  979, MD,
WP, 15, 2024091800,   , MTWC, 0, 240N, 1316E,  55,  981, TS,
WP, 15, 2024091806,   , MTWC, 0, 250N, 1300E,  50,  984, TS,
WP, 15, 2024091812,   , MTWC, 0, 260N, 1285E,  45,  987, TS,
WP, 15, 2024091818,   , MTWC, 0, 273N, 1270E,  45,  987, TS,
WP, 15, 2024091900,   , MTWC, 0, 286N, 1254E,  45,  988, TS,
WP, 15, 2024091906,   , MTWC, 0, 298N, 1238E,  45,  988, TS,
WP, 15, 2024091912,   , MTWC, 0, 306N, 1223E,  40,  992, TS,
WP, 15, 2024091918,   , MTWC, 0, 312N, 1210E,  40,  993, TS,
WP, 15, 2024092000,   , MTWC, 0, 318N, 1204E,  35,  996, TS,
WP, 15, 2024092006,   , MTWC, 0, 324N, 1203E,  35,  996, TS,
WP, 15, 2024092012,   , MTWC, 0, 328N, 1208E,  35,  995, TS,
WP, 15, 2024092018,   , MTWC, 0, 331N, 1220E,  35,  993, TS,
WP, 15, 2024092100,   , MTWC, 0, 335N, 1238E,  40,  991, TS,
WP, 15, 2024092106,   , MTWC, 0, 340N, 1256E,  40,  991, EX,
WP, 15, 2024092112,   , MTWC, 0, 346N, 1280E,  40,  990, EX,
WP, 15, 2024092118,   , MTWC, 0, 352N, 1314E,  40,  990, EX,
WP, 15, 2024092200,   , MTWC, 0, 360N, 1362E,  35,  992, EX,
WP, 15, 2024092206,   , MTWC, 0, 372N, 1416E,  30,  994, EX,
WP, 15, 2024092212,   , MTWC, 0, 386N, 1474E,  25,  996, EX,
