WP, 17, 2024091812,   , MTWC, 0, 190N, 1350E,  20, 1000, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Seventeen,
WP, 17, 2024091818,   , MTWC, 0, 193N, 1338E,  20, 1000, DB,
WP, 17, 2024091900,   , MTWC, 0, 196N, 1325E,  20,  999, DB,
WP, 17, 2024091906,   , MTWC, 0, 199N, 1312E,  20,  999, DB,
WP, 17, 2024091912,   , MTWC, 0, 202N, 1300E,  20,  999, DB,
WP, 17, 2024091918,   , MTWC, 0, 206N, 1288E,  25,  996, TD,
WP, 17, 2024092000,   , MTWC, 0, 212N, 1276E,  30,  993, TD,
WP, 17, 2024092006,   , MTWC, 0, 220N, 1265E,  30,  994, TD,
WP, 17, 2024092012,   , MTWC, 0, 230N, 1254E,  25,  996, TD,
WP, 17, 2024092018,   , MTWC, 0, 242N, 1242E,  30,  994, TD,
WP, 17, 2024092100,   , MTWC, 0, 253N, 1230E,  40,  990, TS,
WP, 17, 2024092106,   , MTWC, 0, 256N, 1221E,  35,  993, TS,
WP, 17, 2024092112,   , MTWC, 0, 257N, 1214E,  25, 1000, TD,
WP, 17, 2024092118,   , MTWC, 0, 252N, 1207E,  20, 1002, DB,
WP, 17, 2024092200,   , MTWC, 0, 247N, 1200E,  20, 1003, DB,
