WP, 19, 2024092406,   , MTWC, 0, 140N, 1499E,  20, 1009, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Jebi,
WP, 19, 2024092412,   , MTWC, 0, 141N, 1498E,  20, 1009, DB,
WP, 19, 2024092418,   , MTWC, 0, 143N, 1498E,  20, 1008, DB,
WP, 19, 2024092500,   , MTWC, 0, 146N, 1497E,  20, 1008, DB,
WP, 19, 2024092506,   , MTWC, 0, 150N, 1494E,  25, 1006, TD,
WP, 19, 2024092512,   , MTWC, 0, 155N, 1490E,  25, 1006, TD,
WP, 19, 2024092518,   , MTWC, 0, 160N, 1484E,  30, 1004, TD,
WP, 19, 2024092600,   , MTWC, 0, 164N, 1478E,  30, 1003, TD,
WP, 19, 2024092606,   , MTWC, 0, 167N, 1472E,  35, 1001, TS,
WP, 19, 2024092612,   , MTWC, 0, 170N, 1467E,  40,  999, TS,
WP, 19, 2024092618,   , MTWC, 0, 173N, 1462E,  40,  999, TS,
WP, 19, 2024092700,   , MTWC, 0, 176N, 1458E,  40,  998, TS,
WP, 19, 2024092706,   , MTWC, 0, 180N, 1453E,  35, 1000, TS,
WP, 19, 2024092712,   , MTWC, 0, 184N, 1447E,  35, 1000, TS,
WP, 19, 2024092718,   , MTWC, 0, 190N, 1441E,  35, 1001, TS,
WP, 19, 2024092800,   , MTWC, 0, 198N, 1436E,  30, 1003, TD,
WP, 19, 2024092806,   , MTWC, 0, 206N, 1430E,  30, 1004, TD,
WP, 19, 2024092812,   , MTWC, 0, 214N, 1426E,  35, 1002, TS,
WP, 19, 2024092818,   , MTWC, 0, 221N, 1422E,  35, 1002, TS,
WP, 19, 2024092900,   , MTWC, 0, 228N, 1418E,  35, 1001, TS,
WP, 19, 2024092906,   , MTWC, 0, 236N, 1413E,  35, 1001, TS,
WP, 19, 2024092912,   , MTWC, 0, 246N, 1409E,  40,  999, TS,
WP, 19, 2024092918,   , MTWC, 0, 255N, 1406E,  40,  998, TS,
WP, 19, 2024093000,   , MTWC, 0, 265N, 1405E,  45,  995, TS,
WP, 19, 2024093006,   , MTWC, 0, 276N, 1406E,  55,  987, TS,
WP, 19, 2024093012,   , MTWC, 0, 289N, 1408E,  65,  982, TY,
WP, 19, 2024093018,   , MTWC, 0, 304N, 1411E,  70,  979, TY,
WP, 19, 2024100100,   , MTWC, 0, 322N, 1415E,  80,  974, TY,
WP, 19, 2024100106,   , MTWC, 0, 344N, 1421E,  85,  971, TY,
WP, 19, 2024100112,   , MTWC, 0, 367N, 1434E,  90,  968, TY,
WP, 19, 2024100118,   , MTWC, 0, 393N, 1456E,  80,  973, TY,
WP, 19, 2024100200,   , MTWC, 0, 419N, 1488E,  70,  982, TY,
WP, 19, 2024100206,   , MTWC, 0, 450N, 1530E,  60,  986, TS,
WP, 19, 2024100212,   , MTWC, 0, 485N, 1584E,  50,  990, EX,
WP, 19, 2024100218,   , MTWC, 0, 512N, 1644E,  40,  994, EX,
WP, 19, 2024100300,   , MTWC, 0, 530N, 1706E,  30,  998, EX,
