WP, 20, 2024092518,   , MTWC, 0, 233N, 1280E,  20, 1005, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Krathon,
WP, 20, 2024092600,   , MTWC, 0, 226N, 1278E,  20, 1005, DB,
WP, 20, 2024092606,   , MTWC, 0, 221N, 1276E,  20, 1004, DB,
WP, 20, 2024092612,   , MTWC, 0, 217N, 1273E,  20, 1004, DB,
WP, 20, 2024092618,   , MTWC, 0, 212N, 1269E,  25, 1002, TD,
WP, 20, 2024092700,   , MTWC, 0, 207N, 1265E,  25, 1001, TD,
WP, 20, 2024092706,   , MTWC, 0, 202N, 1262E,  30,  999, TD,
WP, 20, 2024092712,   , MTWC, 0, 197N, 1260E,  30,  998, TD,
WP, 20, 2024092718,   , MTWC, 0, 192N, 1258E,  35,  996, TS,
WP, 20, 2024092800,   , MTWC, 0, 188N, 1256E,  40,  994, TS,
WP, 20, 2024092806,   , MTWC, 0, 184N, 1254E,  45,  992, TS,
WP, 20, 2024092812,   , MTWC, 0, 182N, 1251E,  50,  989, TS,
WP, 20, 2024092818,   , MTWC, 0, 182N, 1247E,  55,  986, TS,
WP, 20, 2024092900,   , MTWC, 0, 185N, 1243E,  65,  980, TY,
WP, 20, 2024092906,   , MTWC, 0, 190N, 1238E,  75,  976, TY,
WP, 20, 2024092912,   , MTWC, 0, 196N, 1232E,  90,  968, TY,
WP, 20, 2024092918,   , MTWC, 0, 200N, 1226E, 100,  959, TY,
WP, 20, 2024093000,   , MTWC, 0, 202N, 1220E, 105,  951, TY,
WP, 20, 2024093006,   , MTWC, 0, 204N, 1213E, 115,  944, TY,
WP, 20, 2024093012,   , MTWC, 0, 205N, 1206E, 122,  936, TY,
WP, 20, 2024093018,   , MTWC, 0, 206N, 1200E, 130,  927, ST,
WP, 20, 2024100100,   , MTWC, 0, 206N, 1195E, 132,  924, ST,
WP, 20, 2024100106,   , MTWC, 0, 208N, 1193E, 128,  929, TY,
WP, 20, 2024100112,   , MTWC, 0, 211N, 1192E, 115,  941, TY,
WP, 20, 2024100118,   , MTWC, 0, 214N, 1192E, 105,  955, TY,
WP, 20, 2024100200,   , MTWC, 0, 216N, 1192E,  95,  965, TY,
WP, 20, 2024100206,   , MTWC, 0, 218N, 1194E,  85,  972, TY,
WP, 20, 2024100212,   , MTWC, 0, 220N, 1196E,  80,  980, TY,
WP, 20, 2024100218,   , MTWC, 0, 222N, 1198E,  80,  982, TY,
WP, 20, 2024100300,   , MTWC, 0, 224N, 1201E,  85,  979, TY,
WP, 20, 2024100305,   , MTWC, 0, 225N, 1203E,  90,  976, TY,
WP, 20, 2024100306,   , MTWC, 0, 226N, 1205E,  80,  983, TY,
WP, 20, 2024100312,   , MTWC, 0, 227N, 1208E,  40, 1002, TS,
WP, 20, 2024100318,   , MTWC, 0, 226N, 1209E,  25, 1012, TD,
WP, 20, 2024100400,   , MTWC, 0, 224N, 1208E,  15, 1018, DB,
