WP, 22, 2024101906,   , MTWC, 0, 150N, 1415E,  20, 1001, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Trami,
WP, 22, 2024101912,   , MTWC, 0, 150N, 1402E,  20, 1001, DB,
WP, 22, 2024101918,   , MTWC, 0, 150N, 1389E,  20, 1001, DB,
WP, 22, 2024102000,   , MTWC, 0, 149N, 1376E,  25, 1000, TD,
WP, 22, 2024102006,   , MTWC, 0, 147N, 1363E,  25, 1000, TD,
WP, 22, 2024102012,   , MTWC, 0, 144N, 1349E,  30,  998, TD,
WP, 22, 2024102018,   , MTWC, 0, 141N, 1335E,  30,  998, TD,
WP, 22, 2024102100,   , MTWC, 0, 138N, 1320E,  30,  997, TD,
WP, 22, 2024102106,   , MTWC, 0, 135N, 1304E,  35,  995, TS,
WP, 22, 2024102112,   , MTWC, 0, 132N, 1291E,  40,  993, TS,
WP, 22, 2024102118,   , MTWC, 0, 132N, 1280E,  45,  990, TS,
WP, 22, 2024102200,   , MTWC, 0, 133N, 1271E,  50,  984, TS,
WP, 22, 2024102206,   , MTWC, 0, 137N, 1263E,  60,  978, TS,
WP, 22, 2024102212,   , MTWC, 0, 142N, 1255E,  65,  976, TY,
WP, 22, 2024102218,   , MTWC, 0, 147N, 1248E,  65,  976, TY,
WP, 22, 2024102300,   , MTWC, 0, 152N, 1241E,  60,  979, TS,
WP, 22, 2024102306,   , MTWC, 0, 158N, 1234E,  55,  982, TS,
WP, 22, 2024102312,   , MTWC, 0, 164N, 1228E,  50,  985, TS,
WP, 22, 2024102318,   , MTWC, 0, 169N, 1221E,  45,  988, TS,
WP, 22, 2024102400,   , MTWC, 0, 169N, 1214E,  40,  991, TS,
WP, 22, 2024102406,   , MTWC, 0, 168N, 1206E,  40,  992, TS,
WP, 22, 2024102412,   , MTWC, 0, 167N, 1199E,  40,  992, TS,
WP, 22, 2024102418,   , MTWC, 0, 167N, 1190E,  45,  989, TS,
WP, 22, 2024102500,   , MTWC, 0, 170N, 1181E,  50,  986, TS,
WP, 22, 2024102506,   , MTWC, 0, 173N, 1171E,  55,  983, TS,
WP, 22, 2024102512,   , MTWC, 0, 173N, 1160E,  60,  980, TS,
WP, 22, 2024102518,   , MTWC, 0, 172N, 1147E,  65,  977, TY,
WP, 22, 2024102600,   , MTWC, 0, 170N, 1132E,  75,  972, TY,
WP, 22, 2024102606,   , MTWC, 0, 171N, 1116E,  70,  974, TY,
WP, 22, 2024102612,   , MTWC, 0, 171N, 1102E,  60,  980, TS,
WP, 22, 2024102618,   , MTWC, 0, 170N, 1092E,  55,  983, TS,
WP, 22, 2024102700,   , MTWC, 0, 166N, 1083E,  50,  986, TS,
WP, 22, 2024102706,   , MTWC, 0, 160N, 1075E,  50,  989, TS,
WP, 22, 2024102712,   , MTWC, 0, 154N, 1070E,  45,  992, TS,
WP, 22, 2024102718,   , MTWC, 0, 151N, 1072E,  35,  998, TS,
WP, 22, 2024102800,   , MTWC, 0, 153N, 1076E,  30, 1001, TD,
WP, 22, 2024102806,   , MTWC, 0, 156N, 1080E,  30, 1001, TD,
WP, 22, 2024102812,   , MTWC, 0, 159N, 1084E,  25, 1002, TD,
WP, 22, 2024102818,   , MTWC, 0, 162N, 1088E,  25, 1002, TD,
WP, 22, 2024102900,   , MTWC, 0, 164N, 1091E,  20, 1004, DB,
WP, 22, 2024102906,   , MTWC, 0, 165N, 1093E,  20, 1004, DB,
WP, 22, 2024102912,   , MTWC, 0, 166N, 1095E,  20, 1005, DB,
WP, 22, 2024102918,   , MTWC, 0, 168N, 1094E,  15, 1007, DB,
WP, 22, 2024103000,   , MTWC, 0, 169N, 1092E,  15, 1007, DB,
WP, 22, 2024103006,   , MTWC, 0, 170N, 1090E,  15, 1008, DB,
WP, 22, 2024103012,   , MTWC, 0, 169N, 1089E,  15, 1008, DB,
