WP, 24, 2024110206,   , MTWC, 0,  74N, 1426E,  20, 1007, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Yinxing,
WP, 24, 2024110212,   , MTWC, 0,  78N, 1413E,  20, 1007, DB,
WP, 24, 2024110218,   , MTWC, 0,  82N, 1400E,  20, 1006, DB,
WP, 24, 2024110300,   , MTWC, 0,  87N, 1388E,  25, 1004, TD,
WP, 24, 2024110306,   , MTWC, 0,  94N, 1375E,  30, 1002, TD,
WP, 24, 2024110312,   , MTWC, 0, 102N, 1361E,  35, 1000, TS,
WP, 24, 2024110318,   , MTWC, 0, 110N, 1347E,  45,  996, TS,
WP, 24, 2024110400,   , MTWC, 0, 120N, 1332E,  55,  992, TS,
WP, 24, 2024110406,   , MTWC, 0, 130N, 1316E,  65,  988, TY,
WP, 24, 2024110412,   , MTWC, 0, 141N, 1302E,  75,  983, TY,
WP, 24, 2024110418,   , MTWC, 0, 151N, 1288E,  90,  974, TY,
WP, 24, 2024110500,   , MTWC, 0, 160N, 1275E, 100,  966, TY,
WP, 24, 2024110506,   , MTWC, 0, 167N, 1264E,  95,  972, TY,
WP, 24, 2024110512,   , MTWC, 0, 172N, 1255E,  85,  976, TY,
WP, 24, 2024110518,   , MTWC, 0, 177N, 1251E,  90,  973, TY,
WP, 24, 2024110600,   , MTWC, 0, 180N, 1248E, 100,  966, TY,
WP, 24, 2024110606,   , MTWC, 0, 181N, 1244E, 105,  961, TY,
WP, 24, 2024110612,   , MTWC, 0, 182N, 1240E, 115,  952, TY,
WP, 24, 2024110618,   , MTWC, 0, 182N, 1236E, 120,  944, TY,
WP, 24, 2024110700,   , MTWC, 0, 184N, 1231E, 125,  934, TY,
WP, 24, 2024110706,   , MTWC, 0, 185N, 1224E, 130,  927, ST,
WP, 24, 2024110712,   , MTWC, 0, 185N, 1215E, 115,  944, TY,
WP, 24, 2024110718,   , MTWC, 0, 184N, 1205E,  80,  976, TY,
WP, 24, 2024110800,   , MTWC, 0, 183N, 1193E,  70,  983, TY,
WP, 24, 2024110806,   , MTWC, 0, 184N, 1181E,  75,  982, TY,
WP, 24, 2024110812,   , MTWC, 0, 185N, 1169E,  90,  976, TY,
WP, 24, 2024110818,   , MTWC, 0, 187N, 1159E, 100,  968, TY,
WP, 24, 2024110900,   , MTWC, 0, 189N, 1149E, 115,  964, TY,
WP, 24, 2024110906,   , MTWC, 0, 190N, 1140E, 115,  962, TY,
WP, 24, 2024110912,   , MTWC, 0, 191N, 1134E, 115,  963, TY,
WP, 24, 2024110918,   , MTWC, 0, 191N, 1132E, 105,  969, TY,
WP, 24, 2024111000,   , MTWC, 0, 189N, 1130E,  95,  973, TY,
WP, 24, 2024111006,   , MTWC, 0, 186N, 1128E,  85,  979, TY,
WP, 24, 2024111012,   , MTWC, 0, 182N, 1124E,  70,  988, TY,
WP, 24, 2024111018,   , MTWC, 0, 176N, 1119E,  55,  994, TS,
WP, 24, 2024111100,   , MTWC, 0, 170N, 1113E,  45,  998, TS,
WP, 24, 2024111106,   , MTWC, 0, 164N, 1107E,  40, 1000, TS,
WP, 24, 2024111112,   , MTWC, 0, 157N, 1103E,  40, 1001, TS,
WP, 24, 2024111118,   , MTWC, 0, 151N, 1100E,  35, 1003, TS,
WP, 24, 2024111200,   , MTWC, 0, 146N, 1096E,  35, 1005, TS,
WP, 24, 2024111206,   , MTWC, 0, 142N, 1092E,  30, 1007, TD,
WP, 24, 2024111212,   , MTWC, 0, 139N, 1087E,  30, 1008, TD,
WP, 24, 2024111218,   , MTWC, 0, 137N, 1080E,  25, 1010, DB,
WP, 24, 2024111300,   , MTWC, 0, 136N, 1072E,  20, 1012, DB,
