WP, 25, 2024110718,   , MTWC, 0,  98N, 1690E,  20, 1011, WV, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Man-yi,
WP, 25, 2024110800,   , MTWC, 0, 106N, 1670E,  20, 1010, WV,
WP, 25, 2024110806,   , MTWC, 0, 114N, 1650E,  20, 1010, WV,
WP, 25, 2024110812,   , MTWC, 0, 121N, 1632E,  25, 1008, WV,
WP, 25, 2024110818,   , MTWC, 0, 128N, 1616E,  35, 1004, TS,
WP, 25, 2024110900,   , MTWC, 0, 136N, 1602E,  45, 1000, TS,
WP, 25, 2024110906,   , MTWC, 0, 143N, 1590E,  45, 1000, TS,
WP, 25, 2024110912,   , MTWC, 0, 149N, 1581E,  50,  998, TS,
WP, 25, 2024110918,   , MTWC, 0, 154N, 1572E,  55,  995, TS,
WP, 25, 2024111000,   , MTWC, 0, 158N, 1563E,  65,  990, TS,
WP, 25, 2024111006,   , MTWC, 0, 159N, 1555E,  65,  989, TS,
WP, 25, 2024111012,   , MTWC, 0, 159N, 1548E,  55,  992, TS,
WP, 25, 2024111018,   , MTWC, 0, 154N, 1541E,  50,  995, TS,
WP, 25, 2024111100,   , MTWC, 0, 149N, 1533E,  45,  999, TS,
WP, 25, 2024111106,   , MTWC, 0, 144N, 1524E,  40, 1002, TS,
WP, 25, 2024111112,   , MTWC, 0, 141N, 1514E,  40, 1003, TS,
WP, 25, 2024111118,   , MTWC, 0, 140N, 1502E,  40, 1001, TS,
WP, 25, 2024111200,   , MTWC, 0, 140N, 1490E,  40, 1001, TS,
WP, 25, 2024111206,   , MTWC, 0, 141N, 1476E,  45, 1000, TS,
WP, 25, 2024111212,   , MTWC, 0, 140N, 1463E,  45,  998, TS,
WP, 25, 2024111218,   , MTWC, 0, 134N, 1450E,  50,  996, TS,
WP, 25, 2024111300,   , MTWC, 0, 125N, 1440E,  40, 1000, TS,
WP, 25, 2024111306,   , MTWC, 0, 121N, 1428E,  40,  999, TS,
WP, 25, 2024111312,   , MTWC, 0, 118N, 1414E,  45,  996, TS,
WP, 25, 2024111318,   , MTWC, 0, 114N, 1400E,  50,  993, TS,
WP, 25, 2024111400,   , MTWC, 0, 110N, 1385E,  55,  990, TS,
WP, 25, 2024111406,   , MTWC, 0, 106N, 1370E,  60,  987, TS,
WP, 25, 2024111412,   , MTWC, 0, 103N, 1353E,  65,  984, TY,
WP, 25, 2024111418,   , MTWC, 0, 103N, 1336E,  70,  981, TY,
WP, 25, 2024111500,   , MTWC, 0, 104N, 1320E,  80,  975, TY,
WP, 25, 2024111506,   , MTWC, 0, 107N, 1305E,  90,  968, TY,
WP, 25, 2024111512,   , MTWC, 0, 112N, 1290E, 105,  955, TY,
WP, 25, 2024111518,   , MTWC, 0, 119N, 1277E, 120,  940, TY,
WP, 25, 2024111600,   , MTWC, 0, 126N, 1265E, 140,  920, ST,
WP, 25, 2024111601,   , MTWC, 0, 128N, 1263E, 150,  916, ST,
WP, 25, 2024111606,   , MTWC, 0, 133N, 1255E, 145,  920, ST,
WP, 25, 2024111612,   , MTWC, 0, 138N, 1247E, 140,  930, ST,
WP, 25, 2024111618,   , MTWC, 0, 144N, 1238E, 125,  940, TY,
WP, 25, 2024111700,   , MTWC, 0, 149N, 1228E, 130,  936, ST,
WP, 25, 2024111703,   , MTWC, 0, 152N, 1225E, 140,  932, ST,
WP, 25, 2024111706,   , MTWC, 0, 156N, 1217E, 140,  932, ST,
WP, 25, 2024111709,   , MTWC, 0, 160N, 1213E, 105,  962, TY,
WP, 25, 2024111712,   , MTWC, 0, 165N, 1206E,  85,  976, TY,
WP, 25, 2024111718,   , MTWC, 0, 172N, 1194E,  70,  985, TY,
WP, 25, 2024111800,   , MTWC, 0, 181N, 1182E,  50,  994, TS,
WP, 25, 2024111806,   , MTWC, 0, 186N, 1171E,  55,  992, TS,
WP, 25, 2024111812,   , MTWC, 0, 188N, 1161E,  65,  988, TY,
WP, 25, 2024111818,   , MTWC, 0, 188N, 1151E,  60,  990, TS,
WP, 25, 2024111900,   , MTWC, 0, 189N, 1141E,  55,  993, TS,
WP, 25, 2024111906,   , MTWC, 0, 187N, 1130E,  45,  999, TS,
WP, 25, 2024111912,   , MTWC, 0, 183N, 1120E,  35, 1004, LO,
WP, 25, 2024111918,   , MTWC, 0, 176N, 1113E,  30, 1006, LO,
WP, 25, 2024112000,   , MTWC, 0, 166N, 1106E,  25, 1008, LO,
WP, 25, 2024112006,   , MTWC, 0, 154N, 1102E,  20, 1010, LO,
WP, 25, 2024112012,   , MTWC, 0, 140N, 1100E,  15, 1012, LO,
