WP, 28, 2024122018,   , MTWC, 0,  75N, 1170E,  20, 1004, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Pabuk,
WP, 28, 2024122100,   , MTWC, 0,  79N, 1168E,  20, 1004, DB,
WP, 28, 2024122106,   , MTWC, 0,  84N, 1165E,  20, 1003, DB,
WP, 28, 2024122112,   , MTWC, 0,  89N, 1161E,  25, 1001, TD,
WP, 28, 2024122118,   , MTWC, 0,  95N, 1156E,  30,  999, TD,
WP, 28, 2024122200,   , MTWC, 0, 100N, 1150E,  35,  996, TS,
WP, 28, 2024122206,   , MTWC, 0, 104N, 1144E,  40,  993, TS,
WP, 28, 2024122212,   , MTWC, 0, 108N, 1139E,  40,  994, TS,
WP, 28, 2024122218,   , MTWC, 0, 110N, 1134E,  35,  996, TS,
WP, 28, 2024122300,   , MTWC, 0, 112N, 1130E,  35,  998, TS,
WP, 28, 2024122306,   , MTWC, 0, 112N, 1127E,  35,  998, TS,
WP, 28, 2024122312,   , MTWC, 0, 114N, 1125E,  35,  999, TS,
WP, 28, 2024122318,   , MTWC, 0, 116N, 1123E,  35,  999, TS,
WP, 28, 2024122400,   , MTWC, 0, 117N, 1121E,  35,  997, TS,
WP, 28, 2024122406,   , MTWC, 0, 117N, 1119E,  40,  994, TS,
WP, 28, 2024122412,   , MTWC, 0, 115N, 1116E,  45,  992, TS,
WP, 28, 2024122418,   , MTWC, 0, 112N, 1112E,  35,  998, TS,
WP, 28, 2024122500,   , MTWC, 0, 107N, 1107E,  30, 1000, TD,
WP, 28, 2024122506,   , MTWC, 0, 100N, 1103E,  30, 1001, LO,
WP, 28, 2024122512,   , MTWC, 0,  94N, 1098E,  25, 1003, LO,
WP, 28, 2024122518,   , MTWC, 0,  90N, 1090E,  20, 1005, LO,
WP, 28, 2024122600,   , MTWC, 0,  86N, 1081E,  20, 1005, LO,
WP, 28, 2024122606,   , MTWC, 0,  83N, 1070E,  20, 1006, LO,
WP, 28, 2024122612,   , MTWC, 0,  81N, 1058E,  15, 1008, LO,
WP, 28, 2024122618,   , MTWC, 0,  79N, 1045E,  15, 1008, LO,
WP, 28, 2024122700,   , MTWC, 0,  77N, 1031E,  15, 1009, LO,
WP, 28, 2024122706,   , MTWC, 0,  76N, 1015E,  15, 1009, LO,
